Ticker: CPB  Created on: 12/6/2014 5:23:55 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 43.61, 43.71, 43.33, 43.65, 2443900, 43.65, 0, 1, 43.63, -999
20141204, 43.94, 44.09, 43.41, 43.65, 3316600, 43.65, 0, 1, 43.795, -999
20141203, 44.44, 44.48, 43.01, 43.79, 5543000, 43.79, 0, 1, 44.115, -999
20141202, 44.98, 45.12, 44.41, 44.51, 2529100, 44.51, 0, 1, 44.745, -999
20141201, 44.99, 45.29, 44.87, 45.06, 2165700, 45.06, 0, 1, 45.025, -999
20141128, 44.59, 45.71, 44.54, 45.28, 1128300, 45.28, 0, 1, 44.935, -999
20141126, 44.53, 44.78, 44, 44.45, 1909000, 44.45, 0, 1, 44.49, -999
20141125, 44.55, 45.39, 44.42, 44.64, 3271700, 44.64, 0, 1, 44.595, -999
20141124, 44.81, 44.97, 44.39, 44.59, 1492900, 44.59, 0, 1, 44.7, -999
20141121, 45.04, 45.11, 44.6, 44.83, 1184000, 44.83, 0, 1, 44.935, -999
20141120, 44.75, 45.07, 44.62, 44.71, 774300, 44.71, 0, 1, 44.73, -999
20141119, 44.47, 44.85, 44.31, 44.83, 946300, 44.83, 0, 1, 44.65, -999
20141118, 44.56, 44.73, 44.39, 44.56, 883000, 44.56, 0, 1, 44.56, -999
20141117, 43.73, 44.66, 43.73, 44.56, 1332500, 44.56, 0, 1, 44.145, -999
20141114, 43.85, 44.11, 43.65, 43.75, 1119400, 43.75, 0, 1, 43.8, -999
20141113, 44.01, 44.14, 43.75, 43.85, 1051500, 43.85, 0, 1, 43.93, -999
20141112, 44.01, 44.04, 43.56, 43.87, 1967100, 43.87, 0, 1, 43.94, -999
20141111, 44.38, 44.7, 44.27, 44.39, 756200, 44.39, 0, 1, 44.385, -999
20141110, 44.2, 44.45, 43.96, 44.39, 963200, 44.39, 0, 1, 44.295, -999
20141107, 44.45, 44.6, 43.86, 44.1, 3183000, 44.1, 0, 1, 44.275, -999
20141106, 45.04, 45.2, 44.48, 44.69, 1855700, 44.69, 0, 1, 44.865, -999
20141105, 44.87, 44.99, 44.64, 44.87, 1033500, 44.87, 0, 1, 44.87, -999
20141104, 44.37, 44.75, 44.29, 44.46, 1615800, 44.46, 0, 1, 44.415, -999
20141103, 44.01, 44.42, 44.01, 44.33, 1637600, 44.33, 0, 1, 44.17, -999
20141031, 44.51, 44.52, 44.06, 44.17, 1048900, 44.17, 0, 1, 44.34, -999
20141030, 43.27, 44.07, 43.27, 43.91, 850600, 43.91, 0, 1, 43.59, -999
20141029, 43.73, 43.83, 43.05, 43.45, 866900, 43.45, 0, 1, 43.59, -999
20141028, 43.74, 43.84, 43.56, 43.74, 652900, 43.74, 0, 1, 43.74, -999
20141027, 43.09, 43.79, 42.99, 43.63, 1007500, 43.63, 0, 1, 43.36, -999
20141024, 43, 43.2, 42.85, 43.17, 659800, 43.17, 0, 1, 43.085, -999
20141023, 43.16, 43.23, 42.92, 42.97, 572300, 42.97, 0, 1, 43.065, -999
20141022, 43, 43.19, 42.88, 42.92, 1110500, 42.92, 0, 1, 42.96, -999
20141021, 42.87, 43.11, 42.65, 42.9, 786200, 42.9, 0, 1, 42.885, -999
20141020, 41.99, 42.84, 41.95, 42.75, 766400, 42.75, 0, 1, 42.37, -999
20141017, 41.89, 42.23, 41.55, 42.04, 846400, 42.04, 0, 1, 41.965, -999
20141016, 41.26, 41.79, 41.15, 41.6, 1129300, 41.6, 0, 1, 41.43, -999
20141015, 41.93, 42.19, 41.32, 41.96, 1434700, 41.96, 0, 1, 41.945, -999
20141014, 42.04, 42.57, 42.01, 42.29, 1129400, 42.29, 0, 1, 42.165, -999
20141013, 42.03, 42.41, 41.91, 41.94, 911800, 41.94, 0, 1, 41.985, -999
20141010, 42.02, 42.47, 41.8, 42.19, 1860300, 42.19, 0, 1, 42.105, -999
20141009, 42.49, 42.74, 41.83, 41.88, 1184200, 41.88, 0, 1, 42.185, -999
20141008, 42, 42.66, 41.92, 42.63, 1052800, 42.63, 0.312, 1, 42.315, -999
