Ticker: CRM  Created on: 12/6/2014 5:25:59 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 58.98, 59.14, 58.56, 58.85, 2732000, 58.85, 0, 1, 58.915, -999
20141204, 58.66, 59.12, 58.54, 58.95, 3087400, 58.95, 0, 1, 58.805, -999
20141203, 59.42, 59.58, 58.54, 58.88, 3056600, 58.88, 0, 1, 59.15, -999
20141202, 59.48, 59.73, 58.58, 59.25, 4931200, 59.25, 0, 1, 59.365, -999
20141201, 59.09, 59.81, 58.96, 59.08, 4349700, 59.08, 0, 1, 59.085, -999
20141128, 57.93, 60.29, 57.75, 59.87, 4469000, 59.87, 0, 1, 58.9, -999
20141126, 59.28, 59.42, 58.91, 59.23, 3257300, 59.23, 0, 1, 59.255, -999
20141125, 57.97, 59.38, 57.94, 59.34, 5876100, 59.34, 0, 1, 58.655, -999
20141124, 57.29, 58.24, 56.8, 58.09, 9220200, 58.09, 0, 1, 57.69, -999
20141121, 58.89, 59.58, 57.66, 58.19, 10342700, 58.19, 0, 1, 58.54, -999
20141120, 59.43, 59.68, 57.81, 58.3, 15514900, 58.3, 0, 1, 58.865, -999
20141119, 62.18, 62.21, 60.45, 61.02, 7140900, 61.02, 0, 1, 61.6, -999
20141118, 62.51, 63.32, 62.16, 62.47, 4129800, 62.47, 0, 1, 62.49, -999
20141117, 63.73, 64.1, 62.45, 62.51, 3333700, 62.51, 0, 1, 63.12, -999
20141114, 63.19, 63.93, 62.38, 63.91, 3150500, 63.91, 0, 1, 63.55, -999
20141113, 64, 64.22, 62.73, 63.16, 3025200, 63.16, 0, 1, 63.58, -999
20141112, 63.79, 63.93, 63.26, 63.77, 2364100, 63.77, 0, 1, 63.78, -999
20141111, 64.45, 64.74, 63.45, 64.06, 2026800, 64.06, 0, 1, 64.255, -999
20141110, 64.05, 64.54, 63.13, 64.45, 2563700, 64.45, 0, 1, 64.25, -999
20141107, 63.61, 64.64, 63.45, 63.97, 3639500, 63.97, 0, 1, 63.79, -999
20141106, 62.08, 63.45, 61.88, 63.09, 3994200, 63.09, 0, 1, 62.585, -999
20141105, 63.97, 64.01, 61.59, 61.91, 4971200, 61.91, 0, 1, 62.94, -999
20141104, 63.44, 63.96, 62.99, 63.57, 2655100, 63.57, 0, 1, 63.505, -999
20141103, 63.92, 64.5, 63.43, 63.59, 3815600, 63.59, 0, 1, 63.755, -999
20141031, 62.99, 64.6, 62.94, 63.99, 7418900, 63.99, 0, 1, 63.49, -999
20141030, 60.6, 61.87, 60.22, 61.72, 2935000, 61.72, 0, 1, 61.16, -999
20141029, 61.18, 61.3, 60.36, 60.97, 3781600, 60.97, 0, 1, 61.075, -999
20141028, 59.97, 61.72, 59.86, 61.53, 6070100, 61.53, 0, 1, 60.75, -999
20141027, 59.37, 59.37, 58.41, 59.11, 2850900, 59.11, 0, 1, 59.24, -999
20141024, 57.95, 59.68, 57.8, 59.57, 4268000, 59.57, 0, 1, 58.76, -999
20141023, 56.83, 58.93, 56.8, 57.88, 5139900, 57.88, 0, 1, 57.355, -999
20141022, 56.77, 57.19, 56.01, 56.25, 3960500, 56.25, 0, 1, 56.51, -999
20141021, 56.4, 57.45, 56.03, 57.24, 4283700, 57.24, 0, 1, 56.82, -999
20141020, 54.75, 56.38, 54.69, 56.03, 3805600, 56.03, 0, 1, 55.39, -999
20141017, 54.74, 56.28, 54.66, 55.63, 5410300, 55.63, 0, 1, 55.185, -999
20141016, 51.97, 54.22, 51.69, 53.87, 5464200, 53.87, 0, 1, 52.92, -999
20141015, 51.95, 53.4, 51.04, 53.09, 7010000, 53.09, 0, 1, 52.52, -999
20141014, 53.92, 54.29, 52.42, 52.72, 5739700, 52.72, 0, 1, 53.32, -999
20141013, 54.75, 54.98, 52.7, 53.23, 5442200, 53.23, 0, 1, 53.99, -999
20141010, 57.07, 57.89, 54.76, 54.77, 5873000, 54.77, 0, 1, 55.92, -999
20141009, 57.75, 59.4, 56.92, 57.13, 5436800, 57.13, 0, 1, 57.44, -999
20141008, 57, 58.06, 55.95, 57.9, 3417000, 57.9, 0, 1, 57.45, -999
20141007, 57.91, 58.13, 56.88, 56.91, 2470800, 56.91, 0, 1, 57.41, -999
20141006, 58.96, 59.09, 57.73, 58.3, 3295100, 58.3, 0, 1, 58.63, -999
20141003, 57.63, 58.56, 57.49, 58.46, 5317700, 58.46, 0, 1, 58.045, -999
20141002, 56.41, 57.1, 56.2, 56.64, 4604400, 56.64, 0, 1, 56.525, -999
20141001, 57.29, 57.37, 56.39, 56.73, 4546700, 56.73, 0, 1, 57.01, -999
20140930, 57.17, 57.68, 56.71, 57.53, 3922200, 57.53, 0, 1, 57.35, -999
20140929, 55.56, 57.39, 55.29, 57.23, 4540800, 57.23, 0, 1, 56.395, -999
20140926, 56.01, 56.68, 55.83, 56.56, 2830800, 56.56, 0, 1, 56.285, -999
20140925, 57.56, 57.78, 55.8, 55.92, 4901400, 55.92, 0, 1, 56.74, -999
20140924, 56.95, 57.84, 56.6, 57.66, 4153700, 57.66, 0, 1, 57.305, -999
20140923, 57.18, 57.8, 56.8, 56.81, 4010800, 56.81, 0, 1, 56.995, -999
20140922, 58.05, 58.23, 56.6, 57.32, 5440900, 57.32, 0, 1, 57.685, -999
20140919, 58.32, 58.8, 57.73, 58.24, 6455500, 58.24, 0, 1, 58.28, -999
