Ticker: CSCO  Created on: 12/6/2014 5:24:03 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 27.79, 27.85, 27.4, 27.5, 26685000, 27.5, 0, 1, 27.645, -999
20141204, 27.92, 27.99, 27.58, 27.77, 23797800, 27.77, 0, 1, 27.845, -999
20141203, 27.71, 27.99, 27.51, 27.95, 27858600, 27.95, 0, 1, 27.83, -999
20141202, 27.6, 27.96, 27.6, 27.82, 28202300, 27.82, 0, 1, 27.71, -999
20141201, 27.5, 27.61, 27.33, 27.59, 19488700, 27.59, 0, 1, 27.545, -999
20141128, 27.52, 27.78, 27.36, 27.64, 18138900, 27.64, 0, 1, 27.58, -999
20141126, 27.3, 27.46, 27.14, 27.43, 19466000, 27.43, 0, 1, 27.365, -999
20141125, 27.03, 27.3, 27.03, 27.28, 28093400, 27.28, 0, 1, 27.155, -999
20141124, 26.88, 27.12, 26.88, 27.03, 26851200, 27.03, 0, 1, 26.955, -999
20141121, 26.95, 27.05, 26.67, 26.88, 31912100, 26.88, 0, 1, 26.915, -999
20141120, 26.49, 26.84, 26.35, 26.81, 23439000, 26.81, 0, 1, 26.65, -999
20141119, 26.58, 26.62, 26.3, 26.59, 19881900, 26.59, 0, 1, 26.585, -999
20141118, 26.5, 26.74, 26.4, 26.6, 27223100, 26.6, 0, 1, 26.55, -999
20141117, 26.11, 26.55, 26, 26.47, 33224000, 26.47, 0, 1, 26.29, -999
20141114, 25.76, 26.34, 25.65, 26.32, 48663000, 26.32, 0, 1, 26.04, -999
20141113, 24.93, 25.89, 24.88, 25.68, 57131700, 25.68, 0, 1, 25.305, -999
20141112, 24.91, 25.19, 24.88, 25.11, 42195700, 25.11, 0, 1, 25.01, -999
20141111, 25.2, 25.21, 25.02, 25.15, 19801700, 25.15, 0, 1, 25.175, -999
20141110, 25.04, 25.23, 24.88, 25.15, 32072000, 25.15, 0, 1, 25.095, -999
20141107, 25.3, 25.4, 25.16, 25.33, 34001900, 25.33, 0, 1, 25.315, -999
20141106, 25.1, 25.28, 25.02, 25.26, 18373700, 25.26, 0, 1, 25.18, -999
20141105, 24.97, 25.17, 24.84, 25.15, 21979600, 25.15, 0, 1, 25.06, -999
20141104, 24.6, 24.91, 24.58, 24.88, 24620900, 24.88, 0, 1, 24.74, -999
20141103, 24.45, 24.59, 24.45, 24.58, 16383400, 24.58, 0, 1, 24.515, -999
20141031, 24.59, 24.64, 24.18, 24.47, 30379100, 24.47, 0, 1, 24.53, -999
20141030, 24, 24.15, 23.88, 24.08, 32212000, 24.08, 0, 1, 24.04, -999
20141029, 24.01, 24.3, 23.92, 24.1, 18885500, 24.1, 0, 1, 24.055, -999
20141028, 23.82, 24.07, 23.82, 24.07, 17765300, 24.07, 0, 1, 23.945, -999
20141027, 23.62, 23.81, 23.6, 23.76, 16862700, 23.76, 0, 1, 23.69, -999
20141024, 23.6, 23.8, 23.46, 23.78, 19942900, 23.78, 0, 1, 23.69, -999
