Ticker: CSX  Created on: 12/6/2014 5:24:12 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 36.65, 37.35, 36.63, 36.95, 5494700, 36.95, 0, 1, 36.8, -999
20141204, 37.3, 37.53, 36.37, 36.54, 7560500, 36.54, 0, 1, 36.92, -999
20141203, 36.58, 37.44, 36.56, 37.26, 9509100, 37.26, 0, 1, 36.92, -999
20141202, 34.65, 36.51, 34.6, 36.46, 11969600, 36.46, 0, 1, 35.555, -999
20141201, 35.95, 36.07, 34.62, 35.06, 13854800, 35.06, 0, 1, 35.505, -999
20141128, 37.84, 37.89, 36.32, 36.49, 6717700, 36.49, 0, 1, 37.165, -999
20141126, 37.83, 37.99, 37.73, 37.91, 2558000, 37.91, 0, 1, 37.87, -999
20141125, 37.81, 37.99, 37.75, 37.88, 3897200, 37.88, 0, 1, 37.845, -999
20141124, 37.65, 37.94, 37.65, 37.88, 4632500, 37.72, 0, 1, 37.685, -999
20141121, 37.7, 37.71, 37.36, 37.56, 5442800, 37.4, 0, 1, 37.55, -999
20141120, 36.79, 37.3, 36.69, 37.29, 4387000, 37.13, 0, 1, 36.96, -999
20141119, 36.61, 36.9, 36.31, 36.87, 4227400, 36.71, 0, 1, 36.66, -999
20141118, 36.41, 36.89, 36.41, 36.67, 4378000, 36.52, 0, 1, 36.465, -999
20141117, 36.58, 36.77, 36.46, 36.67, 3122700, 36.52, 0, 1, 36.55, -999
20141114, 36.57, 36.85, 36.51, 36.79, 3894700, 36.63, 0, 1, 36.6, -999
20141113, 36.84, 36.96, 36.43, 36.63, 4972400, 36.48, 0, 1, 36.66, -999
20141112, 36.55, 36.84, 36.4, 36.77, 7237500, 36.61, 0, 1, 36.58, -999
20141111, 36.55, 36.76, 36.33, 36.71, 6521800, 36.55, 0, 1, 36.55, -999
20141110, 35.62, 36.58, 35.6, 36.56, 7539500, 36.41, 0, 1, 36.015, -999
20141107, 35.22, 35.58, 35.22, 35.45, 11893300, 35.3, 0, 1, 35.26, -999
20141106, 34.64, 35.24, 34.64, 35.13, 6048500, 34.98, 0, 1, 34.81, -999
20141105, 34.63, 34.78, 34.39, 34.58, 14856200, 34.43, 0, 1, 34.53, -999
20141104, 34.83, 35.28, 34.58, 34.6, 17315200, 34.45, 0, 1, 34.64, -999
20141103, 35.74, 35.75, 35.06, 35.37, 5472100, 35.22, 0, 1, 35.48, -999
20141031, 35.73, 35.95, 35.46, 35.63, 6253700, 35.48, 0, 1, 35.605, -999
20141030, 35.39, 35.67, 35.02, 35.29, 6752000, 35.14, 0, 1, 35.265, -999
20141029, 35.3, 35.5, 34.94, 35.4, 5464800, 35.25, 0, 1, 35.275, -999
20141028, 35.17, 35.5, 34.97, 35.29, 5540300, 35.14, 0, 1, 35.155, -999
20141027, 35.26, 35.37, 34.78, 34.97, 5792100, 34.82, 0, 1, 35.04, -999
20141024, 34.87, 35.34, 34.63, 35.3, 5082500, 35.15, 0, 1, 35.01, -999
20141023, 34.47, 35.36, 34.43, 34.82, 8917200, 34.67, 0, 1, 34.57, -999
20141022, 34.1, 34.29, 33.71, 33.98, 12060500, 33.84, 0, 1, 33.97, -999
20141021, 33.82, 34.42, 33.68, 34.2, 13051700, 34.06, 0, 1, 33.94, -999
20141020, 32.37, 33.59, 32.33, 33.51, 19288100, 33.37, 0, 1, 32.87, -999
20141017, 33.27, 34, 33.24, 33.86, 10143700, 33.72, 0, 1, 33.495, -999
20141016, 32.64, 33.74, 32.49, 32.98, 15307600, 32.84, 0, 1, 32.74, -999
20141015, 31.01, 33.25, 31, 32.98, 16090800, 32.84, 0, 1, 31.925, -999
20141014, 31.78, 32.99, 31.78, 32.61, 19076000, 32.47, 0, 1, 32.125, -999
20141013, 33.51, 34.09, 31.61, 31.7, 40334900, 31.57, 0, 1, 32.54, -999
20141010, 30.77, 30.77, 29.75, 29.94, 12252600, 29.81, 0, 1, 30.29, -999
20141009, 31.28, 31.46, 30.63, 30.73, 7717300, 30.6, 0, 1, 30.94, -999
20141008, 31.06, 31.54, 30.71, 31.49, 7420600, 31.36, 0, 1, 31.21, -999
20141007, 31.9, 31.9, 31.08, 31.1, 5709000, 30.97, 0, 1, 31.435, -999
20141006, 32.15, 32.33, 32, 32.07, 6435500, 31.93, 0, 1, 32.04, -999
20141003, 31.64, 32.01, 31.54, 31.93, 4383400, 31.8, 0, 1, 31.72, -999
20141002, 31.24, 31.45, 30.96, 31.34, 8520400, 31.21, 0, 1, 31.225, -999
20141001, 31.86, 31.89, 30.79, 31.09, 10564000, 30.96, 0, 1, 31.41, -999
20140930, 32.2, 32.48, 32, 32.06, 6115500, 31.92, 0, 1, 32.06, -999
20140929, 31.99, 32.35, 31.88, 32.26, 4665500, 32.12, 0, 1, 32.055, -999
20140926, 31.79, 32.51, 31.77, 32.32, 6257000, 32.18, 0, 1, 31.985, -999
20140925, 32.03, 32.04, 31.62, 31.78, 5971700, 31.65, 0, 1, 31.84, -999
20140924, 31.79, 32.11, 31.76, 32.04, 7612100, 31.9, 0, 1, 31.845, -999
20140923, 31.98, 32.06, 31.72, 31.72, 5021900, 31.59, 0, 1, 31.785, -999
20140922, 32.42, 32.5, 32.03, 32.06, 5652900, 31.92, 0, 1, 32.17, -999
20140919, 32.62, 32.66, 32.3, 32.46, 5378100, 32.32, 0, 1, 32.47, -999
20140918, 32.37, 32.51, 32.27, 32.39, 3749500, 32.25, 0, 1, 32.31, -999
20140917, 31.9, 32.46, 31.9, 32.34, 8609300, 32.2, 0, 1, 32.05, -999
20140916, 31.51, 31.9, 31.4, 31.87, 4746000, 31.74, 0, 1, 31.625, -999
20140915, 31.37, 31.52, 31.23, 31.49, 4421000, 31.36, 0, 1, 31.365, -999
20140912, 31.4, 31.45, 31.12, 31.29, 6509800, 31.16, 0, 1, 31.28, -999
20140911, 31, 31.38, 30.91, 31.36, 7161700, 31.23, 0, 1, 31.115, -999
20140910, 31.2, 31.34, 30.91, 31, 4302500, 30.87, 0, 1, 31.035, -999
20140909, 31.21, 31.26, 31.01, 31.1, 3132000, 30.97, 0, 1, 31.09, -999
20140908, 31.45, 31.49, 31.1, 31.19, 3653000, 31.06, 0, 1, 31.255, -999
20140905, 31.24, 31.5, 31.09, 31.49, 4155100, 31.36, 0, 1, 31.3, -999
20140904, 31.17, 31.5, 31.06, 31.21, 5465200, 31.08, 0, 1, 31.125, -999
20140903, 31.2, 31.38, 31.06, 31.11, 6443500, 30.98, 0, 1, 31.09, -999
