Ticker: CTL  Created on: 12/6/2014 5:23:59 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 40.11, 40.11, 39.51, 39.68, 3106300, 39.68, 0, 1, 39.895, -999
20141204, 40.03, 40.28, 39.68, 40.05, 3527400, 40.05, 0, 1, 40.04, -999
20141203, 40.62, 40.87, 39.8, 40.06, 4758700, 40.06, 0, 1, 40.34, -999
20141202, 41.02, 41.28, 40.57, 40.72, 4086800, 40.72, 0, 1, 40.87, -999
20141201, 40.82, 41.5, 40.78, 41.1, 3648200, 41.1, 0, 1, 40.96, -999
20141128, 40.7, 40.98, 40.61, 40.77, 1337800, 40.77, 0, 1, 40.735, -999
20141126, 39.8, 40.74, 39.7, 40.57, 2565600, 40.57, 0, 1, 40.185, -999
20141125, 40.25, 40.25, 39.22, 39.69, 4870000, 39.69, 0, 1, 39.97, -999
20141124, 40.76, 40.8, 39.93, 40.28, 2767900, 40.28, 0, 1, 40.52, -999
20141121, 40.81, 40.82, 40.35, 40.47, 3902000, 40.47, 0, 1, 40.64, -999
20141120, 40.3, 40.6, 40.3, 40.5, 2756200, 40.5, 0, 1, 40.4, -999
20141119, 41.09, 41.13, 40.77, 41.12, 2649700, 40.58, 0, 1, 40.835, -999
20141118, 40.87, 41.22, 40.63, 41.09, 2211600, 40.55, 0, 1, 40.71, -999
20141117, 40.85, 41.02, 40.38, 40.95, 2547800, 40.41, 0, 1, 40.63, -999
20141114, 40.92, 41.04, 40.59, 40.79, 2203100, 40.25, 0, 1, 40.585, -999
20141113, 40.55, 41.19, 40.5, 40.92, 2607700, 40.38, 0, 1, 40.465, -999
20141112, 39.9, 40.53, 39.79, 40.5, 3113500, 39.97, 0, 1, 39.935, -999
20141111, 39.95, 40.12, 39.74, 39.97, 2487400, 39.45, 0, 1, 39.7, -999
20141110, 39.49, 39.9, 39.17, 39.84, 3590700, 39.32, 0, 1, 39.405, -999
20141107, 39, 39.44, 38.33, 39.43, 6073200, 38.91, 0, 1, 38.955, -999
20141106, 40.55, 41.3, 38.62, 39, 8155500, 38.49, 0, 1, 39.52, -999
20141105, 41.87, 41.87, 41.43, 41.65, 2699000, 41.1, 0, 1, 41.485, -999
20141104, 41.81, 41.95, 41.42, 41.63, 1894500, 41.08, 0, 1, 41.445, -999
20141103, 41.53, 41.97, 41.4, 41.81, 2222100, 41.26, 0, 1, 41.395, -999
20141031, 41.91, 41.99, 41.16, 41.48, 3770700, 40.94, 0, 1, 41.425, -999
20141030, 40.99, 41.5, 40.81, 41.49, 1933900, 40.95, 0, 1, 40.97, -999
20141029, 41.07, 41.33, 40.72, 40.99, 1918300, 40.45, 0, 1, 40.76, -999
20141028, 40.47, 41.04, 40.41, 41.03, 1930800, 40.49, 0, 1, 40.48, -999
20141027, 39.94, 40.47, 39.94, 40.4, 2150200, 39.87, 0, 1, 39.905, -999
20141024, 39.97, 40.1, 39.67, 39.93, 2660100, 39.41, 0, 1, 39.69, -999
20141023, 40.31, 40.35, 39.85, 39.94, 2035700, 39.42, 0, 1, 39.865, -999
20141022, 39.87, 40.33, 39.75, 40.09, 2118100, 39.56, 0, 1, 39.715, -999
20141021, 39.38, 39.87, 39.24, 39.7, 2490500, 39.18, 0, 1, 39.28, -999
20141020, 38.9, 39.33, 38.65, 39.28, 2024900, 38.76, 0, 1, 38.83, -999
20141017, 38.62, 39.11, 38.25, 38.86, 3894900, 38.35, 0, 1, 38.485, -999
20141016, 37.94, 38.77, 37.64, 38.3, 4020400, 37.8, 0, 1, 37.87, -999
20141015, 38.37, 38.81, 37.64, 38.61, 4014900, 38.1, 0, 1, 38.235, -999
20141014, 38.67, 39.07, 38.51, 38.83, 3825100, 38.32, 0, 1, 38.495, -999
20141013, 39.01, 39.17, 38.39, 38.41, 4048700, 37.91, 0, 1, 38.46, -999
20141010, 39.82, 39.89, 39.13, 39.13, 3339200, 38.62, 0, 1, 39.22, -999
20141009, 40.79, 40.88, 39.71, 39.73, 3002800, 39.21, 0, 1, 40, -999
20141008, 40.21, 40.85, 39.92, 40.82, 3066300, 40.28, 0, 1, 40.245, -999
20141007, 40.57, 40.57, 40.05, 40.08, 2988300, 39.55, 0, 1, 40.06, -999
20141006, 41.15, 41.24, 40.64, 40.68, 3092200, 40.15, 0, 1, 40.65, -999
20141003, 40.95, 41.05, 40.65, 41, 2497700, 40.46, 0, 1, 40.705, -999
20141002, 40.48, 40.89, 40.13, 40.76, 2542500, 40.22, 0, 1, 40.35, -999
20141001, 40.72, 40.89, 40.38, 40.42, 2943900, 39.89, 0, 1, 40.305, -999
20140930, 40.39, 40.93, 40.33, 40.89, 3303800, 40.35, 0, 1, 40.37, -999
20140929, 40.01, 40.56, 39.83, 40.4, 3763100, 39.87, 0, 1, 39.94, -999
20140926, 40.05, 40.41, 39.67, 40.31, 2785200, 39.78, 0, 1, 39.915, -999
