Ticker: CVC  Created on: 12/6/2014 5:23:54 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 21.1, 21.6, 21.1, 21.32, 3349500, 21.32, 0, 1, 21.21, -999
20141204, 21.09, 21.27, 20.76, 21.11, 4829100, 21.11, 0, 1, 21.1, -999
20141203, 20.41, 21.97, 20.24, 21.15, 11391600, 21.15, 0, 1, 20.78, -999
20141202, 20.15, 20.47, 20.12, 20.41, 2200400, 20.41, 0, 1, 20.28, -999
20141201, 20.32, 20.34, 19.99, 20.02, 2159200, 20.02, 0, 1, 20.17, -999
20141128, 20.28, 20.37, 20.13, 20.32, 1148700, 20.32, 0, 1, 20.3, -999
20141126, 19.97, 20.21, 19.86, 20.2, 1871600, 20.2, 0, 1, 20.085, -999
20141125, 19.74, 19.94, 19.58, 19.91, 2076400, 19.91, 0, 1, 19.825, -999
20141124, 19.29, 19.7, 19.27, 19.67, 1745200, 19.67, 0, 1, 19.48, -999
20141121, 19.06, 19.37, 19.01, 19.25, 2738600, 19.25, 0, 1, 19.155, -999
20141120, 18.92, 19.11, 18.79, 18.8, 1960000, 18.8, 0, 1, 18.86, -999
20141119, 18.97, 19.04, 18.73, 18.93, 1943900, 18.93, 0, 1, 18.95, -999
20141118, 18.73, 19.17, 18.68, 19.13, 3635900, 18.98, 0, 1, 18.855, -999
20141117, 18.41, 18.76, 18.4, 18.69, 1976900, 18.54, 0, 1, 18.475, -999
20141114, 18.34, 18.56, 18.26, 18.54, 2033200, 18.39, 0, 1, 18.365, -999
20141113, 18.19, 18.41, 18.18, 18.28, 2696300, 18.14, 0, 1, 18.165, -999
20141112, 18.04, 18.23, 17.99, 18.15, 3351500, 18.01, 0, 1, 18.025, -999
20141111, 18.6, 18.63, 18.01, 18.09, 4855900, 17.95, 0, 1, 18.275, -999
20141110, 18.95, 19.04, 18.32, 18.6, 5999200, 18.45, 0, 1, 18.7, -999
20141107, 18.32, 19.2, 18.27, 18.92, 7781500, 18.77, 0, 1, 18.545, -999
20141106, 18.57, 18.99, 17.73, 18.25, 5756200, 18.11, 0, 1, 18.34, -999
20141105, 18.6, 18.7, 18.26, 18.46, 2946600, 18.32, 0, 1, 18.46, -999
20141104, 18.64, 18.68, 18.09, 18.37, 2386700, 18.23, 0, 1, 18.435, -999
20141103, 18.67, 18.86, 18.62, 18.74, 2100100, 18.59, 0, 1, 18.63, -999
20141031, 19.01, 19.14, 18.59, 18.62, 4009300, 18.47, 0, 1, 18.74, -999
20141030, 18.71, 18.83, 18.53, 18.75, 1287100, 18.6, 0, 1, 18.655, -999
20141029, 18.8, 18.93, 18.6, 18.82, 1152500, 18.67, 0, 1, 18.735, -999
20141028, 18.55, 18.94, 18.48, 18.81, 1692300, 18.66, 0, 1, 18.605, -999
20141027, 18.59, 18.59, 18.34, 18.44, 1701000, 18.3, 0, 1, 18.445, -999
20141024, 18.44, 18.68, 18.33, 18.59, 1802100, 18.44, 0, 1, 18.44, -999
20141023, 18.23, 18.6, 18.12, 18.45, 1789200, 18.31, 0, 1, 18.27, -999
20141022, 18.35, 18.52, 18.02, 18.04, 1520900, 17.9, 0, 1, 18.125, -999
20141021, 17.85, 18.36, 17.77, 18.33, 2161400, 18.19, 0, 1, 18.02, -999
20141020, 17.4, 17.75, 17.35, 17.72, 1563900, 17.58, 0, 1, 17.49, -999
20141017, 17.41, 17.52, 17.27, 17.43, 2091400, 17.29, 0, 1, 17.35, -999
20141016, 17.28, 17.51, 17.16, 17.29, 2464500, 17.15, 0, 1, 17.215, -999
20141015, 17.17, 17.52, 16.94, 17.43, 3358400, 17.29, 0, 1, 17.23, -999
20141014, 17.39, 17.59, 17.23, 17.44, 1931000, 17.3, 0, 1, 17.345, -999
20141013, 17.41, 17.6, 17.23, 17.24, 2534100, 17.1, 0, 1, 17.255, -999
20141010, 17.41, 17.81, 17.32, 17.48, 3678900, 17.34, 0, 1, 17.375, -999
20141009, 18, 18.03, 17.33, 17.37, 3410400, 17.23, 0, 1, 17.615, -999
20141008, 17.29, 18.11, 17.28, 18.07, 3356100, 17.93, 0, 1, 17.61, -999
20141007, 17.36, 17.56, 17.22, 17.31, 2628600, 17.17, 0, 1, 17.265, -999
20141006, 17.81, 17.9, 17.4, 17.45, 3582500, 17.31, 0, 1, 17.56, -999
20141003, 17.45, 17.83, 17.38, 17.77, 2035900, 17.63, 0, 1, 17.54, -999
20141002, 17.29, 17.45, 17.05, 17.38, 2382100, 17.24, 0, 1, 17.265, -999
20141001, 17.52, 17.54, 17.22, 17.3, 2827200, 17.16, 0, 1, 17.34, -999
20140930, 17.61, 17.7, 17.41, 17.51, 1674700, 17.37, 0, 1, 17.49, -999
20140929, 17.7, 17.88, 17.64, 17.65, 2475700, 17.51, 0, 1, 17.605, -999
20140926, 17.86, 17.89, 17.69, 17.79, 1382700, 17.65, 0, 1, 17.755, -999
20140925, 18.01, 18.13, 17.72, 17.84, 1979800, 17.7, 0, 1, 17.855, -999
20140924, 18.37, 18.38, 17.68, 18.05, 4007600, 17.91, 0, 1, 18.14, -999
20140923, 18.56, 18.66, 18.28, 18.29, 2017400, 18.15, 0, 1, 18.355, -999
20140922, 19.15, 19.16, 18.55, 18.59, 1712900, 18.44, 0, 1, 18.795, -999
20140919, 19.1, 19.27, 18.99, 19.17, 1806700, 19.02, 0, 1, 19.06, -999
20140918, 19.36, 19.36, 18.99, 19.01, 1323100, 18.86, 0, 1, 19.11, -999
20140917, 19.23, 19.38, 19.15, 19.26, 1263300, 19.11, 0, 1, 19.17, -999
20140916, 19.11, 19.21, 18.95, 19.19, 1449700, 19.04, 0, 1, 19.075, -999
20140915, 19.13, 19.28, 19.07, 19.12, 1118600, 18.97, 0, 1, 19.05, -999
20140912, 19.12, 19.22, 18.98, 19.15, 2323600, 19, 0, 1, 19.06, -999
20140911, 18.82, 19.22, 18.82, 19.15, 1834300, 19, 0, 1, 18.91, -999
20140910, 19.07, 19.21, 18.84, 18.92, 2267600, 18.77, 0, 1, 18.92, -999
20140909, 19.06, 19.18, 18.97, 19.1, 2005900, 18.95, 0, 1, 19.005, -999
20140908, 19.1, 19.35, 19.03, 19.13, 2572800, 18.98, 0, 1, 19.04, -999
20140905, 18.67, 19.14, 18.67, 19.14, 2748900, 18.99, 0, 1, 18.83, -999
20140904, 18.71, 18.88, 18.59, 18.73, 1940600, 18.58, 0, 1, 18.645, -999
20140903, 18.59, 18.67, 18.41, 18.66, 2053700, 18.51, 0, 1, 18.55, -999
20140902, 18.54, 18.62, 18.26, 18.52, 1848800, 18.37, 0, 1, 18.455, -999
20140829, 18.35, 18.52, 18.26, 18.51, 1351200, 18.36, 0, 1, 18.355, -999
20140828, 18.25, 18.39, 18.18, 18.29, 1791300, 18.15, 0, 1, 18.2, -999
20140827, 18.17, 18.55, 18.17, 18.31, 2201300, 18.17, 0, 1, 18.17, -999
20140826, 17.98, 18.22, 17.87, 18.22, 1641100, 18.08, 0, 1, 18.03, -999
20140825, 18.39, 18.46, 17.91, 17.92, 1952700, 17.78, 0, 1, 18.085, -999
20140822, 18.43, 18.5, 18.31, 18.34, 1322400, 18.2, 0, 1, 18.315, -999
20140821, 18.34, 18.47, 18.28, 18.42, 973300, 18.28, 0, 1, 18.31, -999
20140820, 18.4, 18.55, 18.29, 18.34, 1203400, 18.2, 0, 1, 18.3, -999
20140819, 18.32, 18.52, 18.23, 18.47, 2132300, 18.33, 0, 1, 18.325, -999
20140818, 18.32, 18.34, 18.15, 18.28, 1197800, 18.14, 0, 1, 18.23, -999
20140815, 18.23, 18.29, 18.02, 18.18, 1526400, 18.04, 0, 1, 18.135, -999
20140814, 17.86, 18.14, 17.81, 18.14, 1872300, 18, 0, 1, 17.93, -999
20140813, 17.84, 17.9, 17.67, 17.84, 2749300, 17.7, 0.15, 1, 17.77, -999
20140812, 18.06, 18.06, 17.93, 17.98, 2655400, 17.69, 0, 1, 17.875, -999
20140811, 18.01, 18.19, 17.97, 18.02, 2646700, 17.73, 0, 1, 17.87, -999
20140808, 18.26, 18.31, 17.88, 17.99, 4411300, 17.7, 0, 1, 17.98, -999
20140807, 18.41, 18.71, 18.06, 18.17, 5781800, 17.88, 0, 1, 18.145, -999
20140806, 18.16, 18.46, 18.06, 18.33, 6222100, 18.03, 0, 1, 18.095, -999
20140805, 18.31, 19.16, 17.54, 18.08, 11900200, 17.79, 0, 1, 18.05, -999
20140804, 19.29, 19.53, 18.96, 19.45, 5074300, 19.14, 0, 1, 19.215, -999
20140801, 19.26, 19.4, 18.99, 19.17, 2965600, 18.86, 0, 1, 19.06, -999
20140731, 19.4, 19.63, 19.19, 19.22, 5489100, 18.91, 0, 1, 19.155, -999
20140730, 19.26, 19.55, 19.18, 19.54, 3511000, 19.23, 0, 1, 19.245, -999
20140729, 19.61, 20.42, 19.43, 19.54, 7519700, 19.23, 0, 1, 19.42, -999
20140728, 19.01, 19.12, 18.92, 19.1, 1881000, 18.79, 0, 1, 18.9, -999
20140725, 19.03, 19.08, 18.82, 18.95, 1867700, 18.64, 0, 1, 18.835, -999
20140724, 19.2, 19.23, 19.04, 19.13, 1793400, 18.82, 0, 1, 19.01, -999
20140723, 19.02, 19.13, 18.82, 19.09, 1930700, 18.78, 0, 1, 18.9, -999
20140722, 19.02, 19.29, 18.96, 19.03, 3238700, 18.72, 0, 1, 18.87, -999
20140721, 18.7, 19.05, 18.66, 18.93, 3537400, 18.62, 0, 1, 18.66, -999
20140718, 18.45, 18.8, 18.36, 18.76, 1632500, 18.46, 0, 1, 18.455, -999
20140717, 18.46, 18.58, 18.33, 18.38, 1656800, 18.08, 0, 1, 18.27, -999
20140716, 18.34, 18.69, 18.33, 18.54, 2803900, 18.24, 0, 1, 18.29, -999
20140715, 18.29, 18.36, 18.12, 18.2, 1875300, 17.91, 0, 1, 18.1, -999
20140714, 18.18, 18.41, 18.12, 18.35, 1648000, 18.05, 0, 1, 18.115, -999
20140711, 18.07, 18.2, 17.98, 18.12, 1629900, 17.83, 0, 1, 17.95, -999
20140710, 17.72, 18.21, 17.7, 18.12, 2648000, 17.83, 0, 1, 17.775, -999
20140709, 17.69, 18.01, 17.65, 17.86, 2422700, 17.57, 0, 1, 17.63, -999
20140708, 18.07, 18.15, 17.66, 17.67, 1801400, 17.39, 0, 1, 17.73, -999
20140707, 18.22, 18.28, 17.95, 18.13, 1951200, 17.84, 0, 1, 18.03, -999
20140703, 17.97, 18.3, 17.88, 18.29, 1968400, 18, 0, 1, 17.985, -999
