Ticker: CVS  Created on: 12/6/2014 5:24:13 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 90, 90.73, 89.64, 90.7, 3028600, 90.7, 0, 1, 90.35, -999
20141204, 89.52, 89.97, 89.04, 89.84, 4141500, 89.84, 0, 1, 89.68, -999
20141203, 89.89, 90.25, 88.95, 89.14, 4429200, 89.14, 0, 1, 89.515, -999
20141202, 90.11, 90.47, 89.9, 90.09, 3668600, 90.09, 0, 1, 90.1, -999
20141201, 91.42, 91.42, 89.98, 90.16, 3782700, 90.16, 0, 1, 90.79, -999
20141128, 91.21, 92, 91.14, 91.36, 1966200, 91.36, 0, 1, 91.285, -999
20141126, 90.65, 90.92, 90.22, 90.89, 2112300, 90.89, 0, 1, 90.77, -999
20141125, 91.08, 91.08, 90.13, 90.29, 3907700, 90.29, 0, 1, 90.685, -999
20141124, 89.79, 91.11, 89.67, 90.87, 4193800, 90.87, 0, 1, 90.33, -999
20141121, 89.62, 89.97, 89.23, 89.33, 4319400, 89.33, 0, 1, 89.475, -999
20141120, 89.42, 89.71, 88.94, 89.25, 3513100, 89.25, 0, 1, 89.335, -999
20141119, 90.06, 90.37, 89.34, 89.59, 4060500, 89.59, 0, 1, 89.825, -999
20141118, 90.04, 90.45, 89.73, 90.12, 3938900, 90.12, 0, 1, 90.08, -999
20141117, 89.13, 90.13, 89.13, 90.12, 4021200, 90.12, 0, 1, 89.625, -999
20141114, 90.1, 90.25, 89.03, 89.13, 5289500, 89.13, 0, 1, 89.615, -999
20141113, 89.46, 90.14, 89.4, 90.13, 3489000, 90.13, 0, 1, 89.795, -999
20141112, 89.61, 89.8, 89.02, 89.29, 3000700, 89.29, 0, 1, 89.45, -999
20141111, 89.33, 90.18, 89.31, 89.76, 3330300, 89.76, 0, 1, 89.545, -999
20141110, 88.11, 89.21, 87.92, 89.19, 3489200, 89.19, 0, 1, 88.65, -999
20141107, 88.17, 88.41, 87.74, 88.38, 3651200, 88.38, 0, 1, 88.275, -999
20141106, 87.6, 88.48, 87.35, 88.43, 3994900, 88.43, 0, 1, 88.015, -999
20141105, 86.33, 87.88, 85.68, 87.5, 5460700, 87.5, 0, 1, 86.915, -999
20141104, 84.85, 86.21, 83.61, 85.47, 6300000, 85.47, 0, 1, 85.16, -999
20141103, 86.03, 86.68, 85.91, 86.12, 5217300, 86.12, 0, 1, 86.075, -999
20141031, 86.68, 87.16, 85.72, 85.81, 6211000, 85.81, 0, 1, 86.245, -999
20141030, 84.85, 85.95, 84.78, 85.55, 3101900, 85.55, 0, 1, 85.2, -999
20141029, 85.07, 85.74, 84.58, 85.19, 3379100, 85.19, 0, 1, 85.13, -999
20141028, 85.2, 85.26, 84.7, 85.2, 3386900, 85.2, 0, 1, 85.2, -999
20141027, 84.29, 85.22, 84.21, 84.84, 3602500, 84.84, 0, 1, 84.565, -999
20141024, 83.68, 84.35, 83.42, 84.29, 2709200, 84.29, 0, 1, 83.985, -999
20141023, 83.92, 84.45, 83.43, 83.6, 3969400, 83.6, 0, 1, 83.76, -999
20141022, 83.08, 83.79, 82.84, 83.25, 5206000, 83.25, 0, 1, 83.165, -999
20141021, 81.76, 83.1, 81.51, 82.92, 5166000, 82.92, 0.275, 1, 82.34, -999
20141020, 80.06, 81.97, 79.85, 81.76, 5721400, 81.49, 0, 1, 80.775, -999
20141017, 79.87, 80.17, 78.97, 79.96, 5568000, 79.69, 0, 1, 79.78, -999
20141016, 77.7, 79.65, 77.4, 78.81, 7354300, 78.54, 0, 1, 78.12, -999
20141015, 79.69, 79.98, 77.51, 78.99, 9026300, 78.72, 0, 1, 79.205, -999
20141014, 80.66, 81.28, 80.39, 80.68, 7812900, 80.41, 0, 1, 80.535, -999
20141013, 82.52, 82.52, 80.02, 80.12, 7516200, 79.85, 0, 1, 81.185, -999
20141010, 82.19, 83.45, 81.68, 82.48, 7263100, 82.2, 0, 1, 82.195, -999
20141009, 82.53, 83.2, 81.92, 81.95, 5075700, 81.67, 0, 1, 82.1, -999
20141008, 81.29, 82.56, 81.05, 82.52, 4846500, 82.24, 0, 1, 81.765, -999
20141007, 81.02, 82, 80.84, 81.03, 4676200, 80.76, 0, 1, 80.89, -999
20141006, 81.56, 81.92, 81.08, 81.34, 3370500, 81.07, 0, 1, 81.315, -999
20141003, 80.43, 81.4, 80.1, 81.33, 5630700, 81.06, 0, 1, 80.745, -999
20141002, 79.23, 80.26, 79.02, 80.06, 6297000, 79.79, 0, 1, 79.51, -999
20141001, 79.45, 79.83, 79.05, 79.14, 6973100, 78.87, 0, 1, 79.16, -999
20140930, 80, 80.31, 79.45, 79.59, 4049100, 79.32, 0, 1, 79.66, -999
20140929, 79.74, 80.2, 79.27, 80.03, 3026900, 79.76, 0, 1, 79.75, -999
20140926, 79.62, 80.44, 79.61, 80.29, 3917500, 80.02, 0, 1, 79.82, -999
20140925, 80.58, 80.79, 79.71, 79.84, 3899100, 79.57, 0, 1, 80.075, -999
20140924, 80.35, 80.89, 80.14, 80.82, 4268700, 80.55, 0, 1, 80.45, -999
20140923, 80.56, 80.75, 79.82, 79.99, 3684000, 79.72, 0, 1, 80.14, -999
20140922, 81.23, 81.28, 80.47, 80.6, 3534200, 80.33, 0, 1, 80.78, -999
20140919, 81.67, 81.75, 81.03, 81.37, 5876000, 81.1, 0, 1, 81.385, -999
20140918, 81.94, 82.13, 81.05, 81.18, 4831000, 80.91, 0, 1, 81.425, -999
20140917, 81.9, 82.49, 81.75, 82.24, 3570100, 81.96, 0, 1, 81.93, -999
20140916, 81.16, 82.57, 81.15, 82.22, 3832000, 81.94, 0, 1, 81.55, -999
20140915, 81.05, 81.28, 80.9, 81.24, 4369500, 80.97, 0, 1, 81.01, -999
20140912, 81.36, 81.36, 80.33, 80.57, 2867800, 80.3, 0, 1, 80.83, -999
20140911, 80.76, 81.22, 80.75, 81.09, 3926300, 80.82, 0, 1, 80.79, -999
20140910, 80.78, 81.19, 80.59, 80.91, 2751100, 80.64, 0, 1, 80.71, -999
20140909, 81.5, 81.56, 80.57, 80.86, 3849300, 80.59, 0, 1, 81.045, -999
20140908, 81.72, 82.12, 81.15, 81.4, 3357600, 81.13, 0, 1, 81.425, -999
20140905, 80.47, 81.65, 80.11, 81.64, 3567400, 81.37, 0, 1, 80.92, -999
20140904, 80.43, 81.16, 80.02, 80.31, 4924000, 80.04, 0, 1, 80.235, -999
20140903, 79.89, 80.62, 79.67, 80.36, 3512200, 80.09, 0, 1, 79.99, -999
20140902, 79.47, 79.79, 79.22, 79.73, 2565800, 79.46, 0, 1, 79.465, -999
20140829, 79.5, 79.8, 79.28, 79.45, 2416200, 79.18, 0, 1, 79.34, -999
20140828, 79.31, 79.6, 78.97, 79.43, 1811400, 79.16, 0, 1, 79.235, -999
20140827, 79.48, 79.75, 79.25, 79.43, 2093100, 79.16, 0, 1, 79.32, -999
