Ticker: C  Created on: 12/6/2014 5:24:04 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 55.52, 56.49, 55.46, 56.08, 21929600, 56.08, 0, 1, 55.8, -999
20141204, 54.97, 55.43, 54.69, 55.18, 13407400, 55.18, 0, 1, 55.075, -999
20141203, 54.47, 55.28, 54.31, 55.21, 21221500, 55.21, 0, 1, 54.84, -999
20141202, 53.51, 54.47, 53.51, 54.36, 15957100, 54.36, 0, 1, 53.935, -999
20141201, 53.8, 53.91, 53.05, 53.35, 13825700, 53.35, 0, 1, 53.575, -999
20141128, 54, 54.18, 53.83, 53.97, 5876800, 53.97, 0, 1, 53.985, -999
20141126, 54.45, 54.48, 54, 54.13, 8704200, 54.13, 0, 1, 54.29, -999
20141125, 54.4, 54.52, 54.06, 54.33, 13212100, 54.33, 0, 1, 54.365, -999
20141124, 53.94, 54.49, 53.76, 54.4, 13726500, 54.4, 0, 1, 54.17, -999
20141121, 54.07, 54.35, 53.61, 53.66, 15139600, 53.66, 0, 1, 53.865, -999
20141120, 53.25, 53.57, 53.11, 53.52, 9721200, 53.52, 0, 1, 53.385, -999
20141119, 53.83, 53.83, 53.38, 53.66, 8664900, 53.66, 0, 1, 53.745, -999
20141118, 53.56, 54.17, 53.51, 53.81, 12907700, 53.81, 0, 1, 53.685, -999
20141117, 53.06, 53.64, 53.05, 53.57, 10189100, 53.57, 0, 1, 53.315, -999
20141114, 53.31, 53.6, 53.26, 53.38, 11339200, 53.38, 0, 1, 53.345, -999
20141113, 53.48, 53.58, 52.98, 53.44, 12667000, 53.44, 0, 1, 53.46, -999
20141112, 53.34, 53.62, 53.07, 53.42, 10271400, 53.42, 0, 1, 53.38, -999
20141111, 53.9, 54.09, 53.76, 53.81, 9524300, 53.81, 0, 1, 53.855, -999
20141110, 53.57, 53.89, 53.54, 53.89, 11235500, 53.89, 0, 1, 53.73, -999
20141107, 53.86, 54.01, 53.54, 53.75, 13479200, 53.75, 0, 1, 53.805, -999
20141106, 53.97, 54.3, 53.81, 53.99, 13621300, 53.99, 0, 1, 53.98, -999
20141105, 53.59, 54.11, 53.26, 54.02, 18546200, 54.02, 0, 1, 53.805, -999
20141104, 53.28, 53.32, 52.63, 53.19, 13618000, 53.19, 0, 1, 53.235, -999
