Ticker: DAL  Created on: 12/6/2014 5:24:15 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 46.86, 47.63, 46.78, 47.28, 15019400, 47.28, 0, 1, 47.07, -999
20141204, 46.07, 46.94, 45.55, 46.42, 14723100, 46.42, 0, 1, 46.245, -999
20141203, 45.14, 45.5, 43.9, 44.75, 11034800, 44.75, 0, 1, 44.945, -999
20141202, 44.93, 46.28, 44.05, 44.67, 18295800, 44.67, 0, 1, 44.8, -999
20141201, 46.55, 46.73, 44.85, 45.62, 14652000, 45.62, 0, 1, 46.085, -999
20141128, 46.39, 47.19, 46.08, 46.67, 16204600, 46.67, 0, 1, 46.53, -999
20141126, 44.23, 44.42, 44.04, 44.24, 8587400, 44.24, 0, 1, 44.235, -999
20141125, 43.57, 44.33, 43.31, 44.08, 11304000, 44.08, 0, 1, 43.825, -999
20141124, 43.47, 44.07, 43.15, 43.51, 10597500, 43.51, 0, 1, 43.49, -999
20141121, 44.17, 44.29, 42.91, 43.09, 14745400, 43.09, 0, 1, 43.63, -999
20141120, 44, 44.64, 43.7, 43.96, 9075500, 43.96, 0, 1, 43.98, -999
20141119, 44.33, 44.95, 43.86, 44.45, 9761600, 44.45, 0, 1, 44.39, -999
20141118, 43.53, 45.21, 43.53, 44.79, 12945300, 44.79, 0, 1, 44.16, -999
20141117, 43.66, 44.19, 43.38, 43.43, 7964900, 43.43, 0, 1, 43.545, -999
20141114, 43.94, 44.14, 43.55, 43.75, 7981300, 43.75, 0, 1, 43.845, -999
20141113, 43.58, 44.41, 43.46, 44.08, 11267300, 44.08, 0, 1, 43.83, -999
20141112, 43.4, 43.79, 42.9, 43.4, 9503400, 43.4, 0, 1, 43.4, -999
20141111, 43.57, 44.28, 43.51, 43.84, 11653700, 43.84, 0, 1, 43.705, -999
20141110, 42.29, 43.4, 42.01, 43.37, 11142000, 43.37, 0, 1, 42.83, -999
20141107, 42.95, 43, 42.42, 42.69, 10192800, 42.69, 0, 1, 42.82, -999
20141106, 42.12, 43.61, 42.08, 42.9, 16694400, 42.9, 0, 1, 42.51, -999
20141105, 42.78, 42.78, 41.48, 41.87, 13025000, 41.87, 0, 1, 42.325, -999
20141104, 41.5, 42.86, 41.5, 42.32, 19149900, 42.23, 0, 1, 41.865, -999
20141103, 40.28, 40.74, 40.23, 40.61, 10764800, 40.52, 0, 1, 40.4, -999
20141031, 39.93, 40.4, 39.54, 40.23, 14619000, 40.14, 0, 1, 40.035, -999
20141030, 39.64, 39.82, 38.83, 39.14, 14629000, 39.06, 0, 1, 39.35, -999
20141029, 39.72, 39.83, 38.85, 39.58, 13198100, 39.5, 0, 1, 39.61, -999
