Ticker: DFS  Created on: 12/6/2014 5:24:17 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 65.13, 65.6, 64.71, 64.85, 3295200, 64.85, 0, 1, 64.99, -999
20141204, 65.16, 65.27, 64.71, 64.96, 1794000, 64.96, 0, 1, 65.06, -999
20141203, 65.33, 65.7, 64.92, 65.18, 1835700, 65.18, 0, 1, 65.255, -999
20141202, 65.11, 65.5, 65.01, 65.41, 1937600, 65.41, 0, 1, 65.26, -999
20141201, 65.54, 65.62, 65.04, 65.25, 1758900, 65.25, 0, 1, 65.395, -999
20141128, 64.93, 65.64, 64.89, 65.55, 1643600, 65.55, 0, 1, 65.24, -999
20141126, 65.46, 65.54, 64.72, 64.97, 2099700, 64.97, 0, 1, 65.215, -999
20141125, 65.34, 65.6, 65.17, 65.34, 1996400, 65.34, 0, 1, 65.34, -999
20141124, 64.48, 65.34, 64.48, 65.16, 2269800, 65.16, 0, 1, 64.82, -999
20141121, 64.8, 65.14, 64.2, 64.31, 2633500, 64.31, 0, 1, 64.555, -999
20141120, 64.01, 64.64, 63.75, 64.18, 3115100, 64.18, 0, 1, 64.095, -999
20141119, 64.97, 64.97, 64.1, 64.4, 2397700, 64.4, 0, 1, 64.685, -999
20141118, 65.15, 65.5, 64.96, 64.98, 2098600, 64.98, 0, 1, 65.065, -999
20141117, 64.67, 65.31, 64.46, 65.24, 2221900, 65.24, 0, 1, 64.955, -999
20141114, 64.97, 65.35, 64.85, 64.98, 1885600, 64.98, 0, 1, 64.975, -999
20141113, 65.46, 66.06, 64.74, 65.24, 3301800, 65.24, 0, 1, 65.35, -999
20141112, 66, 66.3, 65.72, 66.01, 1618900, 66.01, 0, 1, 66.005, -999
20141111, 66.45, 66.75, 66.17, 66.38, 1774700, 66.38, 0, 1, 66.415, -999
20141110, 66.03, 66.34, 65.82, 66.34, 1795500, 66.34, 0, 1, 66.185, -999
20141107, 65.66, 66.1, 65.51, 66.03, 1948600, 66.03, 0, 1, 65.845, -999
