Ticker: DG  Created on: 12/6/2014 5:24:17 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 67.99, 68.87, 67.83, 68.21, 7449400, 68.21, 0, 1, 68.1, -999
20141204, 65.51, 68.92, 65.41, 67.79, 6979300, 67.79, 0, 1, 66.65, -999
20141203, 67.52, 67.58, 66.55, 66.69, 5157100, 66.69, 0, 1, 67.105, -999
20141202, 66.98, 67.58, 66.75, 67.27, 4298900, 67.27, 0, 1, 67.125, -999
20141201, 66.96, 67.01, 66.28, 66.32, 2849800, 66.32, 0, 1, 66.64, -999
20141128, 66.55, 67.57, 66.41, 66.74, 2323200, 66.74, 0, 1, 66.645, -999
20141126, 65.69, 66.14, 65.66, 65.91, 2480200, 65.91, 0, 1, 65.8, -999
20141125, 66.99, 66.99, 65.38, 65.38, 7026800, 65.38, 0, 1, 66.185, -999
20141124, 67.74, 67.74, 66.63, 66.75, 2886000, 66.75, 0, 1, 67.245, -999
20141121, 67.35, 67.95, 66.93, 67.45, 3891800, 67.45, 0, 1, 67.4, -999
20141120, 66.41, 67.33, 66.1, 66.55, 5672200, 66.55, 0, 1, 66.48, -999
20141119, 64.79, 66.29, 62.62, 66.1, 14828300, 66.1, 0, 1, 65.445, -999
20141118, 65.16, 66.21, 65.01, 66.17, 3577100, 66.17, 0, 1, 65.665, -999
20141117, 64.65, 65.41, 64.6, 65.3, 4826100, 65.3, 0, 1, 64.975, -999
20141114, 65.02, 65.24, 64.39, 64.65, 2221900, 64.65, 0, 1, 64.835, -999
20141113, 65.3, 65.44, 64.63, 64.84, 2084300, 64.84, 0, 1, 65.07, -999
20141112, 65.43, 65.51, 64.26, 64.9, 3157300, 64.9, 0, 1, 65.165, -999
20141111, 64.5, 65.61, 64.34, 65.54, 5502900, 65.54, 0, 1, 65.02, -999
20141110, 64.27, 65.17, 64.24, 64.46, 2483800, 64.46, 0, 1, 64.365, -999
20141107, 63.88, 64.62, 63.66, 64.41, 3323700, 64.41, 0, 1, 64.145, -999
20141106, 63.52, 64.2, 63.23, 64.01, 2121700, 64.01, 0, 1, 63.765, -999
20141105, 64.25, 64.4, 63.25, 63.32, 1680000, 63.32, 0, 1, 63.785, -999
20141104, 62.85, 64.1, 62.85, 64, 4212400, 64, 0, 1, 63.425, -999
20141103, 62.88, 63.3, 62.5, 63.1, 2650800, 63.1, 0, 1, 62.99, -999
20141031, 63.11, 63.42, 62.42, 62.67, 1964000, 62.67, 0, 1, 62.89, -999
20141030, 61.9, 62.75, 61.82, 62.45, 1888300, 62.45, 0, 1, 62.175, -999
20141029, 62.57, 62.79, 61.6, 61.97, 2169900, 61.97, 0, 1, 62.27, -999
20141028, 62.39, 62.67, 61.78, 62.67, 1808700, 62.67, 0, 1, 62.53, -999
20141027, 62.39, 62.45, 61.73, 62.11, 2046600, 62.11, 0, 1, 62.25, -999
