Ticker: DHI  Created on: 12/6/2014 5:24:53 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 24.53, 25.04, 24.45, 24.89, 5538100, 24.89, 0, 1, 24.71, -999
20141204, 25.1, 25.13, 24.54, 24.57, 7921000, 24.57, 0, 1, 24.835, -999
20141203, 25.34, 25.57, 25.07, 25.1, 5381900, 25.1, 0, 1, 25.22, -999
20141202, 25.15, 25.47, 25.08, 25.37, 3463400, 25.37, 0, 1, 25.26, -999
20141201, 25.49, 25.49, 25.05, 25.1, 4397300, 25.1, 0, 1, 25.295, -999
20141128, 25.48, 25.65, 25.19, 25.49, 2038000, 25.49, 0, 1, 25.485, -999
20141126, 25.49, 25.56, 25.08, 25.36, 2948000, 25.36, 0, 1, 25.425, -999
20141125, 25.6, 25.84, 25.47, 25.53, 5109700, 25.47, 0, 1, 25.535, -999
20141124, 25.6, 25.89, 25.53, 25.58, 5810700, 25.52, 0, 1, 25.56, -999
20141121, 25.67, 25.94, 25.49, 25.49, 8477300, 25.43, 0, 1, 25.55, -999
20141120, 24.75, 25.59, 24.64, 25.3, 9452100, 25.24, 0, 1, 24.995, -999
20141119, 24.57, 24.93, 24.57, 24.86, 4962400, 24.8, 0, 1, 24.685, -999
20141118, 24.53, 24.75, 24.44, 24.63, 4053200, 24.57, 0, 1, 24.55, -999
20141117, 24.24, 24.6, 24.2, 24.49, 3969000, 24.43, 0, 1, 24.335, -999
20141114, 24.24, 24.61, 24.16, 24.38, 3851000, 24.32, 0, 1, 24.28, -999
20141113, 24, 24.4, 24, 24.29, 5674000, 24.23, 0, 1, 24.115, -999
20141112, 23.59, 24.21, 23.51, 24.01, 8018800, 23.95, 0, 1, 23.77, -999
20141111, 23.3, 24.27, 23.25, 23.95, 11141300, 23.89, 0, 1, 23.595, -999
20141110, 23.46, 23.79, 23.37, 23.43, 8041800, 23.37, 0, 1, 23.415, -999
20141107, 22.95, 23.36, 22.74, 23.13, 5586200, 23.07, 0, 1, 23.01, -999
20141106, 22.51, 22.97, 22.43, 22.94, 4814700, 22.88, 0, 1, 22.695, -999
20141105, 22.69, 22.81, 22.32, 22.51, 4344200, 22.45, 0, 1, 22.57, -999
20141104, 22.93, 22.99, 22.59, 22.64, 3537000, 22.58, 0, 1, 22.755, -999
20141103, 22.79, 22.98, 22.61, 22.97, 4330700, 22.91, 0, 1, 22.85, -999
20141031, 23.06, 23.22, 22.6, 22.79, 5185400, 22.73, 0, 1, 22.895, -999
20141030, 22.84, 22.91, 22.43, 22.81, 4175900, 22.75, 0, 1, 22.795, -999
20141029, 23.12, 23.31, 22.61, 22.92, 5901200, 22.86, 0, 1, 22.99, -999
20141028, 22.94, 23.31, 22.72, 23.22, 4639900, 23.16, 0, 1, 23.05, -999
20141027, 22.96, 22.98, 22.5, 22.93, 3868400, 22.87, 0, 1, 22.915, -999
20141024, 22.88, 23.05, 22.34, 22.96, 4199400, 22.9, 0, 1, 22.89, -999
20141023, 22.82, 23.26, 22.28, 22.94, 5707900, 22.88, 0, 1, 22.85, -999
20141022, 22.49, 22.84, 22.37, 22.7, 5915900, 22.64, 0, 1, 22.565, -999
20141021, 22.14, 22.58, 22.01, 22.5, 7016300, 22.44, 0, 1, 22.29, -999
20141020, 21.52, 22.24, 21.46, 22.11, 9361200, 22.06, 0, 1, 21.79, -999
20141017, 20.63, 21.69, 20.34, 21.56, 14826300, 21.51, 0, 1, 21.07, -999
20141016, 20.3, 21.07, 20.24, 20.31, 10198900, 20.26, 0, 1, 20.28, -999
20141015, 19.77, 20.82, 19.66, 20.63, 11017600, 20.58, 0, 1, 20.175, -999
20141014, 19.58, 20.4, 19.58, 20.03, 6623000, 19.98, 0, 1, 19.78, -999
20141013, 19.98, 20.21, 19.29, 19.49, 7539000, 19.44, 0, 1, 19.71, -999
20141010, 20.59, 20.64, 19.72, 19.84, 10877200, 19.79, 0, 1, 20.19, -999
20141009, 20.98, 21.18, 20.61, 20.64, 4822100, 20.59, 0, 1, 20.785, -999
20141008, 20.74, 21.11, 20.48, 21, 5871000, 20.95, 0, 1, 20.845, -999
20141007, 20.81, 21.15, 20.68, 20.74, 3890200, 20.69, 0, 1, 20.75, -999
20141006, 20.88, 21.15, 20.86, 20.94, 3257700, 20.89, 0, 1, 20.885, -999
20141003, 20.66, 20.94, 20.58, 20.73, 4204800, 20.68, 0, 1, 20.67, -999
20141002, 20.34, 20.54, 20.08, 20.5, 5267300, 20.45, 0, 1, 20.395, -999
20141001, 20.51, 20.51, 20.24, 20.32, 4095800, 20.27, 0, 1, 20.39, -999
