Ticker: DHR  Created on: 12/6/2014 5:24:13 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 84.41, 84.99, 84.4, 84.88, 1415800, 84.88, 0, 1, 84.645, -999
20141204, 84.44, 84.68, 84.02, 84.58, 2020200, 84.58, 0, 1, 84.51, -999
20141203, 83.76, 84.98, 83.64, 84.85, 2563200, 84.85, 0, 1, 84.305, -999
20141202, 83.44, 83.72, 83.12, 83.58, 2618900, 83.58, 0, 1, 83.51, -999
20141201, 83.11, 83.33, 82.58, 83.07, 2942700, 83.07, 0, 1, 83.09, -999
20141128, 83.43, 83.96, 83.36, 83.56, 1759400, 83.56, 0, 1, 83.495, -999
20141126, 83.74, 83.74, 83.22, 83.45, 1512100, 83.45, 0, 1, 83.595, -999
20141125, 83.49, 83.64, 83.31, 83.38, 2125600, 83.38, 0, 1, 83.435, -999
20141124, 83.59, 83.62, 83.13, 83.51, 1542700, 83.51, 0, 1, 83.55, -999
20141121, 83.46, 83.82, 83.23, 83.59, 2683600, 83.59, 0, 1, 83.525, -999
20141120, 81.93, 82.65, 81.56, 82.51, 1633000, 82.51, 0, 1, 82.22, -999
20141119, 82.58, 82.77, 82.15, 82.57, 1487500, 82.57, 0, 1, 82.575, -999
20141118, 82.5, 82.91, 82.28, 82.58, 1901500, 82.58, 0, 1, 82.54, -999
20141117, 82.17, 82.55, 81.96, 82.37, 1826300, 82.37, 0, 1, 82.27, -999
20141114, 82.14, 82.48, 82.06, 82.23, 1938900, 82.23, 0, 1, 82.185, -999
20141113, 82.33, 82.59, 81.99, 82.4, 4515800, 82.4, 0, 1, 82.365, -999
20141112, 83.05, 83.09, 82.05, 82.36, 4673800, 82.36, 0, 1, 82.705, -999
20141111, 81.55, 81.69, 80.94, 81.41, 1878300, 81.41, 0, 1, 81.48, -999
20141110, 81.18, 81.5, 81.01, 81.29, 1967300, 81.29, 0, 1, 81.235, -999
20141107, 81.28, 81.32, 80.63, 81.19, 1712900, 81.19, 0, 1, 81.235, -999
20141106, 80.97, 81.31, 80.49, 81.26, 1614400, 81.26, 0, 1, 81.115, -999
20141105, 80.71, 80.87, 79.86, 80.77, 1767900, 80.77, 0, 1, 80.74, -999
20141104, 79.98, 80.25, 79.65, 79.99, 1888000, 79.99, 0, 1, 79.985, -999
20141103, 80.35, 80.38, 79.73, 79.97, 2551200, 79.97, 0, 1, 80.16, -999
20141031, 80.37, 80.69, 80.05, 80.4, 4125900, 80.4, 0, 1, 80.385, -999
20141030, 78.98, 79.89, 78.74, 79.71, 1996500, 79.71, 0, 1, 79.345, -999
20141029, 79.55, 79.92, 78.98, 79.3, 3523200, 79.3, 0, 1, 79.425, -999
20141028, 78.39, 79.77, 78.31, 79.74, 3613900, 79.74, 0, 1, 79.065, -999
20141027, 77.46, 77.97, 77.38, 77.87, 1661300, 77.87, 0, 1, 77.665, -999
20141024, 77.31, 78, 77.1, 77.96, 1867200, 77.96, 0, 1, 77.635, -999
20141023, 76.53, 77.82, 76.4, 77.36, 3242100, 77.36, 0, 1, 76.945, -999
20141022, 76.73, 76.73, 75.54, 75.57, 3516800, 75.57, 0, 1, 76.15, -999
20141021, 75.09, 76.36, 75.06, 76.25, 3184700, 76.25, 0, 1, 75.67, -999
20141020, 74.63, 74.91, 73.99, 74.73, 2954800, 74.73, 0, 1, 74.68, -999
20141017, 75, 75.48, 74.23, 74.79, 4072000, 74.79, 0, 1, 74.895, -999
20141016, 71.77, 74.54, 71.21, 74.19, 6907900, 74.19, 0, 1, 72.98, -999
20141015, 70.69, 72.4, 70.12, 71.98, 6199600, 71.98, 0, 1, 71.335, -999
20141014, 71.99, 72.86, 71.57, 72, 4809400, 72, 0, 1, 71.995, -999
20141013, 72.24, 73.16, 71.58, 71.7, 5988100, 71.7, 0, 1, 71.97, -999
20141010, 72.77, 73.21, 71.24, 71.86, 6186000, 71.86, 0, 1, 72.315, -999
20141009, 74.67, 74.67, 72.74, 72.77, 4224700, 72.77, 0, 1, 73.72, -999
20141008, 73.47, 74.64, 72.91, 74.59, 3751800, 74.59, 0, 1, 74.03, -999
20141007, 74.7, 74.7, 73.23, 73.27, 2933900, 73.27, 0, 1, 73.985, -999
20141006, 75.25, 75.6, 74.67, 74.89, 1971200, 74.89, 0, 1, 75.07, -999
20141003, 75.21, 75.55, 74.84, 74.94, 4298700, 74.94, 0, 1, 75.075, -999
20141002, 74.52, 74.79, 73.83, 74.43, 4595500, 74.43, 0, 1, 74.475, -999
20141001, 75.7, 75.96, 74.45, 74.58, 3145900, 74.58, 0, 1, 75.14, -999
20140930, 75.73, 77.15, 75.64, 75.98, 5267300, 75.98, 0, 1, 75.855, -999
20140929, 75.23, 75.98, 74.94, 75.79, 3042800, 75.79, 0, 1, 75.51, -999
20140926, 75.7, 76.04, 75.5, 75.91, 3048500, 75.91, 0, 1, 75.805, -999
20140925, 77.39, 77.48, 75.63, 75.64, 3806200, 75.64, 0, 1, 76.515, -999
20140924, 77.45, 77.92, 77.16, 77.73, 3168800, 77.73, 0.1, 1, 77.59, -999
20140923, 77.98, 78.11, 77.41, 77.42, 2107500, 77.32, 0, 1, 77.65, -999
20140922, 79.17, 79.17, 78.05, 78.16, 2098400, 78.06, 0, 1, 78.615, -999
20140919, 79.85, 80, 79.34, 79.45, 4823500, 79.35, 0, 1, 79.6, -999
20140918, 78.8, 79.43, 78.71, 79.36, 2833000, 79.26, 0, 1, 79.03, -999
20140917, 77.8, 79.24, 77.69, 78.73, 4212100, 78.63, 0, 1, 78.215, -999
20140916, 76.44, 77.66, 76.15, 77.57, 3094800, 77.47, 0, 1, 76.955, -999
20140915, 77.03, 77.56, 76.55, 76.63, 4159500, 76.53, 0, 1, 76.78, -999
20140912, 77.25, 77.28, 76.82, 76.88, 1911700, 76.78, 0, 1, 77.015, -999
20140911, 76.67, 77.33, 76.55, 77.28, 1649000, 77.18, 0, 1, 76.925, -999
20140910, 76.61, 77.13, 76.48, 76.93, 1725700, 76.83, 0, 1, 76.72, -999
20140909, 77, 77.06, 76.34, 76.57, 1976900, 76.47, 0, 1, 76.735, -999
20140908, 77.01, 77.38, 76.83, 77.05, 1965100, 76.95, 0, 1, 76.98, -999
20140905, 76.03, 77.21, 75.95, 77.14, 2133800, 77.04, 0, 1, 76.535, -999
20140904, 76.64, 76.94, 76.03, 76.24, 2262900, 76.14, 0, 1, 76.39, -999
20140903, 77.02, 77.02, 76.45, 76.59, 2423600, 76.49, 0, 1, 76.755, -999
20140902, 76.67, 76.93, 76.21, 76.42, 2300500, 76.32, 0, 1, 76.495, -999
20140829, 76.59, 76.65, 76.02, 76.61, 1502900, 76.51, 0, 1, 76.55, -999
20140828, 76.35, 76.5, 75.98, 76.33, 1942800, 76.23, 0, 1, 76.29, -999
20140827, 77.06, 77.33, 76.53, 76.65, 1119700, 76.55, 0, 1, 76.805, -999
20140826, 77.48, 77.59, 77.25, 77.33, 1950700, 77.23, 0, 1, 77.355, -999
20140825, 77.33, 77.52, 77.14, 77.35, 1428200, 77.25, 0, 1, 77.29, -999
20140822, 77.13, 77.4, 77, 77.04, 2040500, 76.94, 0, 1, 77.035, -999
20140821, 77.24, 77.51, 76.92, 77.45, 1770100, 77.35, 0, 1, 77.295, -999
20140820, 76.63, 77.35, 76.43, 77.19, 2460400, 77.09, 0, 1, 76.86, -999
20140819, 76.31, 76.7, 76.12, 76.64, 1664800, 76.54, 0, 1, 76.425, -999
20140818, 75.57, 76.45, 75.37, 76.29, 2054200, 76.19, 0, 1, 75.88, -999
20140815, 75.38, 75.75, 74.65, 75.15, 4763900, 75.05, 0, 1, 75.215, -999
20140814, 74.54, 74.9, 74.4, 74.88, 2571300, 74.78, 0, 1, 74.66, -999
20140813, 74.8, 74.99, 74.46, 74.78, 2033600, 74.68, 0, 1, 74.74, -999
20140812, 74.98, 75.03, 74.16, 74.34, 3420300, 74.24, 0, 1, 74.61, -999
20140811, 75.1, 75.58, 75.03, 75.21, 2457200, 75.11, 0, 1, 75.105, -999
20140808, 74.12, 74.92, 73.8, 74.87, 2201000, 74.77, 0, 1, 74.445, -999
20140807, 74.4, 74.76, 73.79, 73.96, 2859000, 73.86, 0, 1, 74.13, -999
20140806, 73.67, 74.27, 73.4, 74.07, 4379400, 73.97, 0, 1, 73.82, -999
20140805, 73.5, 74.43, 73.15, 73.56, 3393300, 73.46, 0, 1, 73.48, -999
20140804, 73.37, 74.08, 73.06, 74, 2845300, 73.9, 0, 1, 73.635, -999
20140801, 73.9, 73.93, 73.02, 73.34, 5158200, 73.25, 0, 1, 73.575, -999
20140731, 73.75, 74.05, 73.29, 73.88, 5065500, 73.78, 0, 1, 73.765, -999
20140730, 74.27, 74.46, 73.6, 74.17, 4315500, 74.07, 0, 1, 74.17, -999
20140729, 75.1, 75.3, 73.94, 74.08, 5120400, 73.98, 0, 1, 74.54, -999
20140728, 75.53, 75.63, 74.98, 75.21, 2745700, 75.11, 0, 1, 75.32, -999
20140725, 75.59, 75.94, 75.5, 75.69, 1967600, 75.59, 0, 1, 75.59, -999
20140724, 75.72, 76.19, 75.25, 75.97, 3311200, 75.87, 0, 1, 75.795, -999
20140723, 76, 76.11, 75.41, 75.61, 3631900, 75.51, 0, 1, 75.755, -999
20140722, 75.37, 76.23, 75.37, 75.8, 5383000, 75.7, 0, 1, 75.535, -999
20140721, 74.91, 75.28, 74.57, 75.15, 4091300, 75.05, 0, 1, 74.98, -999
20140718, 74.52, 75.44, 73.82, 75.11, 5785000, 75.01, 0, 1, 74.765, -999
20140717, 75.71, 75.8, 73.99, 74.07, 10008000, 73.97, 0, 1, 74.84, -999
20140716, 78.4, 78.71, 77.88, 78.5, 2606400, 78.4, 0, 1, 78.4, -999
20140715, 78.64, 79.14, 78.09, 78.24, 2804200, 78.14, 0, 1, 78.39, -999
20140714, 78.75, 79.13, 78.44, 78.81, 2420500, 78.71, 0, 1, 78.73, -999
20140711, 78, 78.4, 77.76, 78.38, 1855900, 78.28, 0, 1, 78.14, -999
20140710, 77.64, 78.33, 77.48, 78, 2258700, 77.9, 0, 1, 77.77, -999
20140709, 78.4, 78.54, 78.01, 78.29, 2341000, 78.19, 0, 1, 78.295, -999
20140708, 78.43, 78.63, 77.99, 78.19, 2843400, 78.09, 0, 1, 78.26, -999
20140707, 79.34, 79.4, 78.38, 78.51, 2598900, 78.41, 0, 1, 78.875, -999
20140703, 79.26, 79.67, 79.09, 79.45, 2066400, 79.35, 0, 1, 79.305, -999
20140702, 79.23, 79.48, 78.56, 78.77, 2561900, 78.67, 0, 1, 78.95, -999
20140701, 79.16, 79.72, 79.12, 79.5, 2722100, 79.4, 0, 1, 79.28, -999
20140630, 79.31, 79.33, 78.56, 78.73, 3087900, 78.63, 0, 1, 78.97, -999
20140627, 78.98, 79.32, 78.76, 79.19, 2526100, 79.09, 0, 1, 79.035, -999
20140626, 79.42, 79.63, 78.68, 79.1, 1988500, 79, 0, 1, 79.21, -999
20140625, 79.07, 79.63, 78.59, 79.49, 2083100, 79.39, 0.1, 1, 79.23, -999
20140624, 80.33, 80.33, 79.25, 79.25, 2789200, 79.05, 0, 1, 79.69, -999
20140623, 80.64, 80.7, 80.21, 80.33, 2049700, 80.13, 0, 1, 80.385, -999
20140620, 80.21, 80.71, 79.83, 80.68, 4576300, 80.47, 0, 1, 80.34, -999
20140619, 80.51, 80.74, 79.97, 80.1, 3294700, 79.9, 0, 1, 80.205, -999
20140618, 80.25, 80.72, 79.8, 80.67, 1847100, 80.46, 0, 1, 80.355, -999
20140617, 80.18, 80.35, 79.92, 80.17, 1633700, 79.97, 0, 1, 80.075, -999
20140616, 80.09, 80.34, 79.89, 80.07, 2383200, 79.87, 0, 1, 79.98, -999
20140613, 80.02, 80.49, 79.92, 80.27, 1727900, 80.07, 0, 1, 80.045, -999
20140612, 79.73, 80.31, 79.71, 80.13, 2675300, 79.93, 0, 1, 79.83, -999
20140611, 80.29, 80.4, 79.95, 80.09, 1955600, 79.89, 0, 1, 80.09, -999
20140610, 80.28, 80.59, 79.98, 80.43, 1396100, 80.22, 0, 1, 80.25, -999
20140609, 80.17, 81.14, 80.15, 80.55, 3076800, 80.34, 0, 1, 80.255, -999
20140606, 79.55, 80.49, 79.49, 80.37, 2796400, 80.16, 0, 1, 79.855, -999
20140605, 78.44, 79.85, 77.93, 79.5, 2955200, 79.3, 0, 1, 78.87, -999
20140604, 78.54, 78.66, 78, 78.43, 2469600, 78.23, 0, 1, 78.385, -999
20140603, 78.33, 78.86, 78.22, 78.79, 2072600, 78.59, 0, 1, 78.46, -999
20140602, 78.6, 78.85, 77.83, 78.64, 1824200, 78.44, 0, 1, 78.52, -999
20140530, 78.34, 78.52, 78.02, 78.43, 3402400, 78.23, 0, 1, 78.285, -999
20140529, 78.68, 78.84, 78.13, 78.55, 2376800, 78.35, 0, 1, 78.515, -999
20140528, 78.72, 79.04, 78.38, 78.68, 2242900, 78.48, 0, 1, 78.6, -999
20140527, 78.95, 79, 78.47, 78.65, 2565700, 78.45, 0, 1, 78.7, -999
20140523, 78, 78.46, 77.74, 78.42, 2167900, 78.22, 0, 1, 78.11, -999
20140522, 77.33, 78.5, 76.71, 78.03, 6782600, 77.83, 0, 1, 77.58, -999
