Ticker: DLTR  Created on: 12/6/2014 5:24:18 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 69.65, 69.65, 68.04, 68.41, 2722200, 68.41, 0, 1, 69.03, -999
20141204, 69.07, 69.65, 69.03, 69.27, 2112900, 69.27, 0, 1, 69.17, -999
20141203, 67.54, 69.31, 67.23, 69.2, 3654700, 69.2, 0, 1, 68.37, -999
20141202, 66.92, 68.8, 66.92, 68.71, 2498500, 68.71, 0, 1, 67.815, -999
20141201, 68.32, 68.44, 67, 67.94, 2864300, 67.94, 0, 1, 68.13, -999
20141128, 68.41, 69.5, 68.18, 68.36, 1481500, 68.36, 0, 1, 68.385, -999
20141126, 66.65, 67.37, 66.62, 67.34, 1567700, 67.34, 0, 1, 66.995, -999
20141125, 67.38, 67.38, 66.53, 66.8, 2483900, 66.8, 0, 1, 67.09, -999
20141124, 66.6, 67.35, 66.44, 67.2, 2191300, 67.2, 0, 1, 66.9, -999
20141121, 66.84, 67.23, 66.01, 66.39, 3209200, 66.39, 0, 1, 66.615, -999
20141120, 64.42, 67.08, 64.27, 65.87, 7792200, 65.87, 0, 1, 65.145, -999
20141119, 62.4, 62.66, 61.38, 62.63, 3907400, 62.63, 0, 1, 62.515, -999
20141118, 61.47, 62.1, 61.33, 61.99, 2626800, 61.99, 0, 1, 61.73, -999
20141117, 62.08, 62.72, 61.36, 61.47, 1940700, 61.47, 0, 1, 61.775, -999
20141114, 62.18, 62.34, 61.58, 62.06, 2011500, 62.06, 0, 1, 62.12, -999
20141113, 62.05, 62.33, 61.65, 61.99, 1749400, 61.99, 0, 1, 62.02, -999
20141112, 61.43, 61.97, 61.2, 61.82, 1837700, 61.82, 0, 1, 61.625, -999
20141111, 61.74, 62.16, 61.36, 61.51, 1177400, 61.51, 0, 1, 61.625, -999
20141110, 61.73, 62.02, 61.52, 61.85, 1601400, 61.85, 0, 1, 61.79, -999
20141107, 62.2, 62.23, 61.28, 61.56, 1651100, 61.56, 0, 1, 61.88, -999
20141106, 61.25, 62.37, 61.16, 62.11, 1975400, 62.11, 0, 1, 61.68, -999
20141105, 60.72, 61.4, 60.63, 61.13, 1331800, 61.13, 0, 1, 60.925, -999
20141104, 60.65, 60.91, 60.56, 60.85, 1019400, 60.85, 0, 1, 60.75, -999
20141103, 60.84, 60.99, 60.21, 60.89, 1783000, 60.89, 0, 1, 60.865, -999
20141031, 60.54, 61, 60.23, 60.57, 3760300, 60.57, 0, 1, 60.555, -999
20141030, 58.61, 59.72, 58.48, 59.52, 1603900, 59.52, 0, 1, 59.065, -999
20141029, 59.09, 59.48, 58.29, 58.8, 1434000, 58.8, 0, 1, 58.945, -999
20141028, 58.7, 58.98, 58.19, 58.98, 1467600, 58.98, 0, 1, 58.84, -999
20141027, 58.92, 59.16, 58.62, 58.8, 1254400, 58.8, 0, 1, 58.86, -999
20141024, 58.32, 58.98, 58.14, 58.94, 1692300, 58.94, 0, 1, 58.63, -999
20141023, 57.64, 58.61, 57.55, 58.51, 2212300, 58.51, 0, 1, 58.075, -999
20141022, 58.19, 58.51, 57.53, 57.56, 1315100, 57.56, 0, 1, 57.875, -999
20141021, 57.45, 58.25, 57.29, 58.13, 1976500, 58.13, 0, 1, 57.79, -999
