Ticker: DNB  Created on: 12/6/2014 5:24:22 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 123.88, 125.16, 123.59, 124.12, 282900, 124.12, 0, 1, 124, -999
20141204, 125.58, 125.89, 123.01, 123.84, 393600, 123.84, 0, 1, 124.71, -999
20141203, 125.48, 126.1, 123.33, 125.47, 539400, 125.47, 0, 1, 125.475, -999
20141202, 125, 126.22, 124.53, 125.66, 287800, 125.66, 0, 1, 125.33, -999
20141201, 126.7, 126.7, 124.71, 125.07, 198400, 125.07, 0, 1, 125.885, -999
20141128, 126.83, 127.88, 126.39, 126.95, 105400, 126.95, 0, 1, 126.89, -999
20141126, 127.37, 127.88, 126.46, 126.96, 159500, 126.96, 0, 1, 127.165, -999
20141125, 126.91, 128.03, 126.32, 127.37, 230900, 127.37, 0, 1, 127.14, -999
20141124, 125.7, 127.05, 125.7, 126.92, 170200, 126.92, 0, 1, 126.31, -999
20141121, 126.8, 127.49, 125.44, 125.88, 184800, 125.44, 0, 1, 126.12, -999
20141120, 125, 125.91, 124.87, 125.18, 101400, 124.74, 0, 1, 124.87, -999
20141119, 126.41, 126.44, 124.99, 125.43, 131200, 124.99, 0, 1, 125.7, -999
20141118, 125.53, 127.13, 125.32, 126.64, 143600, 126.2, 0, 1, 125.865, -999
20141117, 124.74, 125.59, 124.23, 125.42, 132300, 124.98, 0, 1, 124.86, -999
20141114, 124.85, 125.39, 124.7, 125.06, 161100, 124.62, 0, 1, 124.735, -999
20141113, 125.32, 125.88, 124.6, 125.06, 117200, 124.62, 0, 1, 124.97, -999
20141112, 122.83, 125.16, 122.83, 125.01, 98500, 124.57, 0, 1, 123.7, -999
20141111, 124.4, 124.43, 123.26, 123.57, 196900, 123.14, 0, 1, 123.77, -999
20141110, 123.13, 124.4, 122.53, 124.28, 202400, 123.85, 0, 1, 123.49, -999
20141107, 122, 123.53, 121.27, 123.13, 287000, 122.7, 0, 1, 122.35, -999
20141106, 121.89, 122.37, 121.11, 122.18, 282800, 121.75, 0, 1, 121.82, -999
20141105, 123.38, 123.53, 121.03, 121.83, 299700, 121.4, 0, 1, 122.39, -999
20141104, 123.21, 124.02, 121.75, 122.36, 401300, 121.93, 0, 1, 122.57, -999
20141103, 122.7, 123.92, 122.16, 123.36, 504700, 122.93, 0, 1, 122.815, -999
20141031, 124, 124.53, 122.11, 122.81, 630500, 122.38, 0, 1, 123.19, -999
20141030, 120.85, 122.75, 120.41, 122.57, 331300, 122.14, 0, 1, 121.495, -999
20141029, 121.33, 121.43, 119.35, 120.96, 285200, 120.54, 0, 1, 120.935, -999
20141028, 120.17, 121.37, 119.78, 121.37, 260000, 120.95, 0, 1, 120.56, -999
20141027, 119.49, 120.89, 118.89, 119.91, 239000, 119.49, 0, 1, 119.49, -999
20141024, 118.9, 119.64, 118.09, 119.48, 132800, 119.06, 0, 1, 118.98, -999
20141023, 118.12, 119.63, 118.12, 118.67, 176300, 118.26, 0, 1, 118.19, -999
20141022, 118.56, 118.77, 117.29, 117.31, 164400, 116.9, 0, 1, 117.73, -999
20141021, 116.51, 118.32, 115.83, 118.32, 311900, 117.91, 0, 1, 117.21, -999
20141020, 114.75, 116.67, 114.2, 115.72, 372900, 115.32, 0, 1, 115.035, -999
20141017, 114.01, 115.65, 113.65, 115.23, 175000, 114.83, 0, 1, 114.42, -999
20141016, 109.39, 113.39, 108.86, 112.8, 626500, 112.41, 0, 1, 110.9, -999
20141015, 111.32, 111.66, 109.72, 110.67, 1330800, 110.28, 0, 1, 110.8, -999
20141014, 113.42, 114.3, 112.92, 112.99, 422300, 112.6, 0, 1, 113.01, -999
20141013, 114.56, 115.11, 112.77, 112.89, 345000, 112.5, 0, 1, 113.53, -999
20141010, 117.5, 118.64, 114.45, 114.49, 597500, 114.09, 0, 1, 115.795, -999
20141009, 119.41, 119.41, 117.19, 117.5, 334100, 117.09, 0, 1, 118.25, -999
20141008, 117.58, 119.9, 117.39, 119.6, 477600, 119.18, 0, 1, 118.38, -999
20141007, 119.13, 119.4, 117.19, 117.59, 520400, 117.18, 0, 1, 118.155, -999
20141006, 120.14, 120.81, 118.89, 119.51, 199800, 119.09, 0, 1, 119.615, -999
20141003, 117.81, 119.97, 117.5, 119.83, 246000, 119.41, 0, 1, 118.61, -999
20141002, 117.23, 117.97, 116.98, 117.51, 301900, 117.1, 0, 1, 117.165, -999
20141001, 117.54, 117.75, 117.14, 117.26, 516800, 116.85, 0, 1, 117.195, -999
20140930, 117.32, 118.18, 117.09, 117.47, 572700, 117.06, 0, 1, 117.19, -999
20140929, 115.49, 117.63, 115.2, 117.49, 185800, 117.08, 0, 1, 116.285, -999
20140926, 116.27, 117.17, 115.75, 116.91, 318300, 116.5, 0, 1, 116.385, -999
20140925, 116.33, 116.6, 115.04, 115.45, 361300, 115.05, 0, 1, 115.69, -999
20140924, 116.49, 116.92, 115.66, 116.61, 255400, 116.2, 0, 1, 116.345, -999
20140923, 117.74, 118.14, 116.52, 116.54, 413400, 116.13, 0, 1, 116.935, -999
20140922, 118.24, 118.8, 117.47, 117.89, 364000, 117.48, 0, 1, 117.86, -999
20140919, 117.96, 118.34, 117.03, 117.22, 443700, 116.81, 0, 1, 117.385, -999
20140918, 117.76, 117.9, 116.74, 117.35, 290400, 116.94, 0, 1, 117.35, -999
20140917, 117.9, 118.2, 116.91, 117.45, 347700, 117.04, 0, 1, 117.47, -999
20140916, 116.48, 118.07, 116.21, 118.02, 211000, 117.61, 0, 1, 117.045, -999
20140915, 116.65, 116.86, 115.87, 116.45, 282700, 116.04, 0, 1, 116.345, -999
20140912, 117.6, 118.06, 116.03, 116.93, 411800, 116.52, 0, 1, 117.06, -999
20140911, 116.6, 118.54, 116.11, 117.47, 399200, 117.06, 0, 1, 116.83, -999
20140910, 115.09, 117.32, 114.64, 116.84, 342300, 116.43, 0, 1, 115.76, -999
20140909, 116.29, 116.55, 114.9, 115.19, 354300, 114.79, 0, 1, 115.54, -999
20140908, 119.61, 119.74, 116.14, 116.45, 462800, 116.04, 0, 1, 117.825, -999
20140905, 119.16, 120.33, 118.4, 120.16, 298500, 119.74, 0, 1, 119.45, -999
20140904, 118.99, 119.98, 118.84, 119.07, 197300, 118.65, 0, 1, 118.82, -999
20140903, 118.54, 119.65, 118.53, 119, 411200, 118.58, 0, 1, 118.56, -999
20140902, 118.02, 119.69, 118, 118.79, 249200, 118.37, 0, 1, 118.195, -999
20140829, 118.02, 118.63, 117.24, 117.38, 402200, 116.97, 0, 1, 117.495, -999
20140828, 117.17, 117.92, 116.5, 117.72, 177500, 117.31, 0, 1, 117.24, -999
20140827, 118.53, 118.53, 117.41, 117.93, 169100, 117.52, 0, 1, 118.025, -999
20140826, 118.39, 119.37, 117.49, 118.14, 244200, 117.73, 0, 1, 118.06, -999
20140825, 118.38, 118.81, 117.7, 118.19, 181000, 117.78, 0.44, 1, 118.08, -999
20140822, 118.59, 118.73, 117.62, 118.04, 240000, 117.19, 0, 1, 117.89, -999
20140821, 118.95, 119.21, 118.25, 118.82, 294300, 117.96, 0, 1, 118.455, -999
20140820, 118.84, 119.43, 117.98, 118.89, 245700, 118.03, 0, 1, 118.435, -999
20140819, 118.67, 119.6, 118.61, 118.97, 198200, 118.11, 0, 1, 118.39, -999
20140818, 117.25, 119.44, 117.25, 118.55, 279500, 117.7, 0, 1, 117.475, -999
20140815, 117.81, 118.3, 115.8, 116.95, 298500, 116.11, 0, 1, 116.96, -999
20140814, 116.83, 117.54, 115.4, 117.5, 310700, 116.65, 0, 1, 116.74, -999
20140813, 114.27, 115.69, 113.77, 115.68, 342900, 114.85, 0, 1, 114.56, -999
20140812, 113.54, 114.16, 113.27, 113.63, 246700, 112.81, 0, 1, 113.175, -999
20140811, 113.09, 114.5, 112.96, 113.6, 300200, 112.78, 0, 1, 112.935, -999
20140808, 111.96, 113.07, 111.61, 112.84, 284400, 112.03, 0, 1, 111.995, -999
20140807, 110.28, 115.6, 109.09, 112.03, 712300, 111.22, 0, 1, 110.75, -999
20140806, 110.51, 110.94, 109.75, 110, 585800, 109.21, 0, 1, 109.86, -999
20140805, 105.79, 111.65, 105.64, 111.44, 352400, 110.64, 0, 1, 108.215, -999
20140804, 110.32, 111.04, 109.55, 110.93, 232700, 110.13, 0, 1, 110.225, -999
20140801, 109.62, 110.62, 109.03, 110.03, 380000, 109.24, 0, 1, 109.43, -999
20140731, 111.44, 112.1, 109.83, 110.03, 365200, 109.24, 0, 1, 110.34, -999
20140730, 111.05, 112.92, 110.67, 112.49, 318800, 111.68, 0, 1, 111.365, -999
20140729, 110.4, 112.08, 110.4, 110.59, 226600, 109.79, 0, 1, 110.095, -999
20140728, 111.43, 111.75, 109.94, 110.35, 239300, 109.55, 0, 1, 110.49, -999
20140725, 110.67, 111.89, 110.49, 111.57, 211300, 110.77, 0, 1, 110.72, -999
20140724, 110.75, 111.37, 110.16, 110.71, 120800, 109.91, 0, 1, 110.33, -999
20140723, 111.64, 111.64, 110.11, 110.76, 145900, 109.96, 0, 1, 110.8, -999
20140722, 111.25, 111.88, 110.72, 111.38, 245500, 110.58, 0, 1, 110.915, -999
20140721, 111.27, 111.3, 109.86, 110.64, 280400, 109.84, 0, 1, 110.555, -999
20140718, 110.62, 112.05, 110.56, 111.8, 306400, 110.99, 0, 1, 110.805, -999
20140717, 111, 111.6, 110.19, 110.39, 296900, 109.59, 0, 1, 110.295, -999
20140716, 111.22, 111.39, 110.25, 111.2, 311600, 110.4, 0, 1, 110.81, -999
20140715, 110.65, 111.69, 110.25, 110.93, 230000, 110.13, 0, 1, 110.39, -999
20140714, 111.06, 111.54, 109.97, 110.4, 236900, 109.6, 0, 1, 110.33, -999
20140711, 110.25, 110.92, 109.89, 110.12, 362100, 109.33, 0, 1, 109.79, -999
20140710, 109.11, 110.77, 108.87, 110.15, 435000, 109.36, 0, 1, 109.235, -999
20140709, 110.31, 111.25, 109.95, 110.75, 272100, 109.95, 0, 1, 110.13, -999
20140708, 111.09, 111.43, 109.89, 110.3, 276500, 109.5, 0, 1, 110.295, -999
20140707, 111.88, 112.32, 110.67, 111.38, 225300, 110.58, 0, 1, 111.23, -999
20140703, 111.26, 112.56, 111.15, 112.38, 138700, 111.57, 0, 1, 111.415, -999
20140702, 111.76, 111.8, 110.19, 111.22, 324200, 110.42, 0, 1, 111.09, -999
20140701, 110.68, 112.72, 110.59, 111.84, 437300, 111.03, 0, 1, 110.855, -999
20140630, 110.32, 110.6, 109.63, 110.2, 271800, 109.41, 0, 1, 109.865, -999
20140627, 109.82, 110.41, 109.82, 110.26, 591800, 109.47, 0, 1, 109.645, -999
20140626, 110.24, 110.5, 109.72, 110.02, 368800, 109.23, 0, 1, 109.735, -999
20140625, 109.44, 110.56, 109.25, 110.03, 387600, 109.24, 0, 1, 109.34, -999
20140624, 109.56, 110.32, 109.53, 109.91, 507500, 109.12, 0, 1, 109.34, -999
20140623, 107.72, 110.1, 107.72, 109.88, 597500, 109.09, 0, 1, 108.405, -999
20140620, 106.49, 107.97, 106.46, 107.57, 909700, 106.79, 0, 1, 106.64, -999
20140619, 106.26, 106.89, 105.49, 106.47, 207500, 105.7, 0, 1, 105.98, -999
20140618, 105.8, 106.45, 105.09, 106.27, 235800, 105.5, 0, 1, 105.65, -999
20140617, 104.11, 106.1, 104.1, 105.73, 279000, 104.97, 0, 1, 104.54, -999
20140616, 104.32, 104.88, 103.76, 104.41, 244700, 103.66, 0, 1, 103.99, -999
20140613, 103.18, 104.22, 102.81, 103.94, 292200, 103.19, 0, 1, 103.185, -999
20140612, 103.7, 103.76, 102.84, 103.18, 273300, 102.44, 0, 1, 103.07, -999
20140611, 103.2, 104.07, 102.9, 103.7, 309900, 102.95, 0, 1, 103.075, -999
20140610, 105.41, 105.41, 102.81, 103.78, 448300, 103.03, 0, 1, 104.22, -999
20140609, 106.56, 107.53, 105.63, 105.83, 322600, 105.07, 0, 1, 105.815, -999
20140606, 104.65, 106.6, 104.48, 106.36, 292100, 105.59, 0, 1, 105.12, -999
20140605, 102.7, 104.9, 102.19, 104.23, 320800, 103.48, 0, 1, 103.09, -999
20140604, 102.29, 103.88, 102.13, 102.7, 246200, 101.96, 0, 1, 102.125, -999
20140603, 102.55, 102.78, 101.77, 102.25, 220600, 101.51, 0, 1, 102.03, -999
20140602, 103.96, 103.97, 102.62, 102.88, 366400, 102.14, 0, 1, 103.05, -999
20140530, 104.5, 104.5, 102.67, 103.25, 351200, 102.51, 0, 1, 103.505, -999
20140529, 103.74, 104.84, 103.54, 104.63, 234400, 103.88, 0, 1, 103.81, -999
20140528, 106.85, 106.94, 103.69, 103.72, 429800, 102.97, 0, 1, 104.91, -999
