Ticker: DOV  Created on: 12/6/2014 5:24:19 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 75.46, 76.23, 74.74, 75.71, 2024800, 75.71, 0, 1, 75.585, -999
20141204, 76.59, 76.69, 75.64, 75.94, 1893000, 75.94, 0, 1, 76.265, -999
20141203, 76.89, 77.51, 76.72, 76.93, 3023100, 76.93, 0, 1, 76.91, -999
20141202, 73.74, 77.17, 73.74, 76.71, 3851500, 76.71, 0, 1, 75.225, -999
20141201, 74.95, 75.48, 73.33, 75.03, 3847500, 75.03, 0, 1, 74.99, -999
20141128, 79.07, 79.5, 76.23, 76.99, 3413000, 76.99, 0, 1, 78.03, -999
20141126, 82.53, 82.83, 80.94, 81.11, 1578800, 81.11, 0, 1, 81.82, -999
20141125, 82.8, 83.55, 82.24, 82.76, 2100800, 82.76, 0, 1, 82.78, -999
20141124, 82.9, 83.38, 82.28, 83.12, 1358700, 82.72, 0, 1, 82.81, -999
20141121, 83.04, 83.49, 82.41, 82.7, 1940300, 82.3, 0, 1, 82.67, -999
20141120, 80.41, 82.31, 80.16, 81.9, 1243700, 81.51, 0, 1, 80.96, -999
20141119, 80.55, 80.8, 80.06, 80.69, 804800, 80.3, 0, 1, 80.425, -999
20141118, 80.74, 81.39, 80.53, 80.71, 1176200, 80.32, 0, 1, 80.53, -999
20141117, 80.26, 81.09, 79.89, 80.87, 1170200, 80.48, 0, 1, 80.37, -999
20141114, 80.03, 80.77, 80, 80.21, 1305600, 79.82, 0, 1, 79.925, -999
20141113, 81.09, 81.13, 79.58, 80.25, 2355500, 79.86, 0, 1, 80.475, -999
20141112, 80.38, 81.41, 80.31, 81.09, 1074600, 80.7, 0, 1, 80.54, -999
20141111, 81.35, 81.5, 80.19, 80.75, 1348400, 80.36, 0, 1, 80.855, -999
20141110, 81.59, 81.74, 80.87, 81.39, 1193100, 81, 0, 1, 81.295, -999
20141107, 81.15, 81.75, 80.77, 81.53, 1340800, 81.14, 0, 1, 81.145, -999
20141106, 81.24, 81.66, 80.32, 80.97, 2360100, 80.58, 0, 1, 80.91, -999
20141105, 80.32, 81.43, 79.15, 81.25, 3722500, 80.86, 0, 1, 80.59, -999
20141104, 80.33, 80.52, 78.78, 79.09, 9031700, 78.71, 0, 1, 79.52, -999
20141103, 79.55, 80.81, 79.17, 79.78, 2447800, 79.4, 0, 1, 79.475, -999
20141031, 80.61, 80.75, 78.96, 79.44, 2381800, 79.06, 0, 1, 79.835, -999
20141030, 78.57, 79.91, 78.3, 79.44, 928000, 79.06, 0, 1, 78.815, -999
20141029, 79.68, 79.99, 78.17, 78.97, 1378200, 78.59, 0, 1, 79.135, -999
20141028, 77.63, 79.56, 77.63, 79.51, 1302000, 79.13, 0, 1, 78.38, -999
20141027, 78.34, 78.38, 77.03, 77.58, 1788300, 77.21, 0, 1, 77.775, -999
20141024, 78.27, 79.18, 77.95, 79.09, 1104300, 78.71, 0, 1, 78.49, -999
20141023, 77.22, 78.88, 77.19, 78.36, 1803900, 77.98, 0, 1, 77.6, -999
20141022, 76.79, 77.68, 76.19, 76.25, 2059400, 75.88, 0, 1, 76.335, -999
20141021, 75.46, 76.74, 75.25, 76.64, 1581600, 76.27, 0, 1, 75.865, -999
20141020, 74.56, 74.8, 73.96, 74.59, 1424700, 74.23, 0, 1, 74.395, -999
20141017, 74.47, 75.31, 73.91, 74.51, 2770000, 74.15, 0, 1, 74.31, -999
20141016, 72.06, 74.02, 70.77, 73.44, 3204900, 73.09, 0, 1, 72.575, -999
20141015, 71.15, 72.36, 70, 72.06, 2238600, 71.71, 0, 1, 71.43, -999
20141014, 72.87, 73.61, 71.55, 72.02, 2758500, 71.67, 0, 1, 72.27, -999
20141013, 75.33, 75.93, 72.32, 72.43, 2130000, 72.08, 0, 1, 73.705, -999
20141010, 76.17, 76.78, 74.75, 75.76, 1422800, 75.4, 0, 1, 75.785, -999
20141009, 78.12, 78.2, 76.08, 76.12, 1259700, 75.75, 0, 1, 76.935, -999
20141008, 76.88, 78.44, 76.41, 78.39, 2159300, 78.01, 0, 1, 77.445, -999
20141007, 79.19, 79.19, 76.69, 76.76, 1898500, 76.39, 0, 1, 77.79, -999
20141006, 80.12, 80.27, 78.9, 79.35, 1173900, 78.97, 0, 1, 79.545, -999
20141003, 80.13, 80.5, 79.75, 79.79, 1685300, 79.41, 0, 1, 79.77, -999
20141002, 79.29, 80.21, 78.74, 79.61, 1259000, 79.23, 0, 1, 79.26, -999
20141001, 80.21, 80.5, 79.16, 79.44, 1743200, 79.06, 0, 1, 79.635, -999
20140930, 81.32, 81.62, 80.25, 80.33, 1004000, 79.94, 0, 1, 80.63, -999
20140929, 80.7, 81.54, 80.33, 81.32, 922000, 80.93, 0, 1, 80.815, -999
20140926, 80.75, 81.75, 80.46, 81.51, 892100, 81.12, 0, 1, 80.935, -999
20140925, 81.5, 81.52, 80.67, 80.67, 1070600, 80.28, 0, 1, 80.89, -999
20140924, 81.84, 82.35, 80.95, 81.94, 1747900, 81.55, 0, 1, 81.695, -999
20140923, 83.9, 83.9, 81.95, 82.37, 1977700, 81.97, 0, 1, 82.935, -999
20140922, 85.03, 85.21, 83.68, 84, 725000, 83.6, 0, 1, 84.315, -999
20140919, 85.93, 86.13, 85.05, 85.33, 848200, 84.92, 0, 1, 85.425, -999
20140918, 85.01, 85.63, 84.79, 85.4, 533800, 84.99, 0, 1, 85, -999
20140917, 85.6, 85.98, 84.63, 84.72, 899600, 84.31, 0, 1, 84.955, -999
20140916, 84.97, 85.65, 84.31, 85.27, 622400, 84.86, 0, 1, 84.915, -999
20140915, 85.46, 85.73, 84.88, 85.04, 972400, 84.63, 0, 1, 85.045, -999
20140912, 87.06, 87.06, 85.6, 85.78, 747000, 85.37, 0, 1, 86.215, -999
20140911, 86.44, 87.13, 86.38, 87.03, 774200, 86.61, 0, 1, 86.525, -999
20140910, 86.94, 87.21, 86.3, 86.66, 847300, 86.24, 0, 1, 86.59, -999
20140909, 87.19, 87.39, 86.63, 86.76, 881600, 86.34, 0, 1, 86.765, -999
20140908, 87.85, 88.11, 87.15, 87.33, 826600, 86.91, 0, 1, 87.38, -999
20140905, 87.86, 88.21, 87.26, 88.15, 712800, 87.73, 0, 1, 87.795, -999
20140904, 88.26, 89.4, 87.93, 88.1, 655800, 87.68, 0, 1, 87.97, -999
20140903, 88.58, 88.63, 88.01, 88.25, 944100, 87.83, 0, 1, 88.205, -999
20140902, 88.16, 88.82, 87.84, 88.12, 604400, 87.7, 0, 1, 87.93, -999
20140829, 88.22, 88.41, 87.68, 87.87, 588700, 87.45, 0, 1, 87.835, -999
20140828, 88.22, 88.23, 87.46, 88.1, 384900, 87.68, 0, 1, 87.95, -999
20140827, 88.58, 88.92, 88.11, 88.5, 650000, 88.07, 0.4, 1, 88.325, -999
20140826, 89.71, 90.05, 89.07, 89.12, 296300, 88.29, 0, 1, 89, -999
20140825, 89.43, 90.29, 89.07, 89.73, 534000, 88.9, 0, 1, 89.165, -999
20140822, 89.92, 89.92, 88.45, 88.88, 586600, 88.06, 0, 1, 88.99, -999
20140821, 90.65, 90.65, 89.51, 89.6, 726000, 88.77, 0, 1, 89.71, -999
20140820, 89.45, 90.58, 89.31, 90.26, 700100, 89.42, 0, 1, 89.435, -999
20140819, 89.13, 89.64, 88.83, 89.46, 724300, 88.63, 0, 1, 88.88, -999
20140818, 87.99, 88.94, 87.87, 88.94, 549500, 88.11, 0, 1, 88.05, -999
20140815, 88.2, 88.31, 86.8, 87.38, 492900, 86.57, 0, 1, 87.385, -999
20140814, 87.3, 87.83, 87.15, 87.76, 415200, 86.95, 0, 1, 87.125, -999
20140813, 86.51, 87.71, 86.38, 87.24, 622100, 86.43, 0, 1, 86.47, -999
20140812, 85.72, 86.78, 85.7, 86.31, 668500, 85.51, 0, 1, 85.615, -999
20140811, 86.16, 86.61, 85.73, 86.06, 524600, 85.26, 0, 1, 85.71, -999
20140808, 84.71, 85.66, 84.11, 85.59, 969300, 84.8, 0, 1, 84.755, -999
20140807, 84.93, 85.29, 84.07, 84.25, 662700, 83.47, 0, 1, 84.2, -999
20140806, 84.36, 84.92, 84.01, 84.36, 899700, 83.58, 0, 1, 83.97, -999
20140805, 85.94, 86.13, 84.73, 85.01, 1037900, 84.22, 0, 1, 85.08, -999
20140804, 85.4, 86.48, 84.98, 86.19, 939000, 85.39, 0, 1, 85.395, -999
20140801, 85.08, 85.51, 84.3, 85.02, 1044100, 84.23, 0, 1, 84.655, -999
20140731, 86.54, 87.42, 85.75, 85.76, 1363300, 84.96, 0, 1, 85.75, -999
20140730, 87.17, 87.71, 86.48, 87.27, 1020100, 86.46, 0, 1, 86.815, -999
20140729, 87.65, 88.49, 86.93, 86.98, 829100, 86.17, 0, 1, 86.91, -999
20140728, 88.31, 88.33, 87.4, 88.11, 810600, 87.29, 0, 1, 87.8, -999
20140725, 88.5, 88.94, 88.31, 88.56, 886700, 87.74, 0, 1, 88.12, -999
20140724, 89.83, 90.08, 88.67, 88.82, 1137500, 88, 0, 1, 88.915, -999
20140723, 90.11, 90.36, 89.49, 89.57, 624000, 88.74, 0, 1, 89.425, -999
20140722, 90.03, 90.55, 89.89, 90.07, 1079600, 89.23, 0, 1, 89.63, -999
20140721, 88.69, 89.83, 88.44, 89.54, 971100, 88.71, 0, 1, 88.7, -999
20140718, 87.48, 88.84, 87.15, 88.72, 1166000, 87.9, 0, 1, 87.69, -999
20140717, 87.76, 88.49, 86.5, 87.14, 1624600, 86.33, 0, 1, 87.045, -999
20140716, 88.53, 89.31, 88.1, 88.94, 1450300, 88.11, 0, 1, 88.32, -999
20140715, 88.95, 89.14, 87.97, 88.12, 1289900, 87.3, 0, 1, 88.125, -999
20140714, 89.69, 89.69, 88.78, 88.95, 843200, 88.12, 0, 1, 88.905, -999
20140711, 88.56, 89.19, 88.06, 88.74, 891400, 87.92, 0, 1, 88.24, -999
20140710, 88.58, 88.63, 87.74, 88.45, 1379100, 87.63, 0, 1, 88.105, -999
20140709, 89.98, 90.12, 89.32, 89.58, 556600, 88.75, 0, 1, 89.365, -999
20140708, 89.97, 90.17, 89.33, 89.56, 645900, 88.73, 0, 1, 89.35, -999
20140707, 90.89, 91, 89.75, 89.97, 800300, 89.14, 0, 1, 90.015, -999
20140703, 90.88, 91.51, 90.75, 91.07, 507600, 90.22, 0, 1, 90.55, -999
20140702, 90.66, 90.92, 90.24, 90.61, 567400, 89.77, 0, 1, 90.215, -999
20140701, 91.04, 91.84, 90.92, 90.99, 757500, 90.15, 0, 1, 90.595, -999
20140630, 90.06, 91.37, 89.56, 90.95, 1096200, 90.11, 0, 1, 90.085, -999
20140627, 89.49, 89.98, 89.17, 89.87, 574300, 89.04, 0, 1, 89.265, -999
20140626, 89.89, 90.11, 88.74, 89.62, 463700, 88.79, 0, 1, 89.34, -999
20140625, 89.34, 90.07, 89.1, 89.77, 459200, 88.94, 0, 1, 89.14, -999
20140624, 89.99, 90.51, 89.39, 89.42, 631500, 88.59, 0, 1, 89.29, -999
20140623, 90.69, 90.72, 89.75, 90, 567500, 89.16, 0, 1, 89.925, -999
20140620, 90.71, 90.91, 90.01, 90.71, 1084700, 89.87, 0, 1, 90.29, -999
20140619, 89.85, 90.63, 89.36, 90.47, 686200, 89.63, 0, 1, 89.74, -999
20140618, 89.4, 90.06, 88.55, 89.9, 655400, 89.07, 0, 1, 89.235, -999
20140617, 88.93, 89.75, 88.66, 89.41, 621400, 88.58, 0, 1, 88.755, -999
20140616, 88.86, 89.28, 88.62, 89.15, 805700, 88.32, 0, 1, 88.59, -999
20140613, 88.84, 89.59, 88.57, 89.15, 815500, 88.32, 0, 1, 88.58, -999
20140612, 88.89, 89.01, 88.04, 88.81, 1279200, 87.99, 0, 1, 88.44, -999
20140611, 88.6, 89.19, 88.29, 89.06, 628300, 88.23, 0, 1, 88.415, -999
20140610, 88.66, 89.06, 87.9, 89.05, 1065400, 88.22, 0, 1, 88.44, -999
20140609, 88.29, 89.55, 87.93, 88.87, 969400, 88.05, 0, 1, 88.17, -999
20140606, 87.75, 88.76, 87.74, 88.3, 905300, 87.48, 0, 1, 87.615, -999
20140605, 86.95, 88.07, 86.59, 87.94, 515800, 87.12, 0, 1, 87.035, -999
20140604, 86.66, 87.21, 86.46, 86.81, 386800, 86, 0, 1, 86.33, -999
20140603, 87.24, 87.38, 86.59, 86.81, 576800, 86, 0, 1, 86.62, -999
20140602, 87.3, 87.83, 86.61, 87.55, 388100, 86.74, 0, 1, 87.02, -999
20140530, 87.03, 87.26, 86.59, 87.18, 577900, 86.37, 0, 1, 86.7, -999
20140529, 87.03, 87.31, 86.35, 87.18, 440100, 86.37, 0, 1, 86.7, -999
20140528, 87.08, 87.68, 86.76, 86.8, 446400, 85.99, 0.375, 1, 86.535, -999
20140527, 87.3, 88.15, 87.12, 87.47, 597300, 86.29, 0, 1, 86.795, -999
20140523, 86.2, 87.08, 86.13, 87.01, 514700, 85.83, 0, 1, 86.015, -999
20140522, 86.01, 86.77, 85.91, 86.01, 664800, 84.85, 0, 1, 85.43, -999
20140521, 85.39, 86.26, 85.32, 86.12, 541200, 84.96, 0, 1, 85.175, -999
20140520, 86.55, 86.55, 84.67, 85.07, 818400, 83.92, 0, 1, 85.235, -999
20140519, 86, 87.22, 85.9, 86.7, 769600, 85.53, 0, 1, 85.765, -999
20140516, 85.71, 86.58, 85.58, 86.41, 1051900, 85.24, 0, 1, 85.475, -999
20140515, 85.98, 86.27, 84.86, 85.77, 844000, 84.61, 0, 1, 85.295, -999
20140514, 86.6, 86.89, 86.21, 86.38, 769600, 85.21, 0, 1, 85.905, -999
20140513, 87.23, 87.24, 86.43, 86.58, 803100, 85.41, 0, 1, 86.32, -999
20140512, 85.43, 87.39, 85.43, 87.23, 737900, 86.05, 0, 1, 85.74, -999
20140509, 85.72, 85.94, 84.42, 85.26, 906600, 84.11, 0, 1, 84.915, -999
20140508, 85.89, 87.04, 85.47, 85.9, 526500, 84.74, 0, 1, 85.315, -999
20140507, 85.72, 86.02, 84.91, 85.96, 799800, 84.8, 0, 1, 85.26, -999
20140506, 85.67, 86.26, 85.15, 85.22, 711500, 84.07, 0, 1, 84.87, -999
20140505, 85.51, 86, 85.06, 85.86, 682100, 84.7, 0, 1, 85.105, -999
20140502, 86.02, 86.55, 85.75, 85.89, 743900, 84.73, 0, 1, 85.375, -999
20140501, 86.36, 86.58, 85.4, 86.02, 717400, 84.86, 0, 1, 85.61, -999
20140430, 85.65, 86.4, 85.23, 86.4, 822900, 85.23, 0, 1, 85.44, -999
20140429, 85.69, 86.09, 85.06, 85.66, 513600, 84.5, 0, 1, 85.095, -999
20140428, 85.62, 85.87, 84.22, 85.48, 919500, 84.32, 0, 1, 84.97, -999
20140425, 85.72, 85.99, 84.72, 84.9, 1196100, 83.75, 0, 1, 84.735, -999
20140424, 86.79, 86.79, 85.48, 86.19, 1060500, 85.02, 0, 1, 85.905, -999
20140423, 85.77, 86.83, 85.77, 86.35, 810500, 85.18, 0, 1, 85.475, -999
20140422, 85.81, 86.7, 85.5, 86.14, 1276100, 84.97, 0, 1, 85.39, -999
20140421, 85.06, 86.1, 84.62, 85.86, 2192600, 84.7, 0, 1, 84.88, -999
20140417, 85.66, 86.35, 81.81, 85.46, 2111000, 84.3, 0, 1, 84.98, -999
20140416, 82.82, 83.46, 82.71, 83.18, 1637800, 82.05, 0, 1, 82.435, -999
20140415, 81.85, 82.33, 80.74, 81.95, 1048400, 80.84, 0, 1, 81.345, -999
20140414, 81.66, 81.9, 80.79, 81.56, 1620300, 80.46, 0, 1, 81.06, -999
20140411, 81.78, 82.34, 80.62, 80.78, 1169600, 79.69, 0, 1, 80.735, -999
20140410, 83.57, 84.05, 81.9, 82.18, 1142300, 81.07, 0, 1, 82.32, -999
20140409, 82.45, 83.78, 82.45, 83.68, 1034600, 82.55, 0, 1, 82.5, -999
20140408, 82.23, 82.88, 81.43, 82.39, 1051900, 81.28, 0, 1, 81.755, -999
20140407, 83.17, 83.54, 81.67, 82.05, 1099400, 80.94, 0, 1, 82.055, -999
20140404, 85.9, 85.91, 83.45, 83.45, 2118800, 82.32, 0, 1, 84.11, -999
20140403, 85.2, 85.93, 84.76, 85.39, 1383200, 84.23, 0, 1, 84.715, -999
20140402, 84.86, 85.44, 83.96, 85.15, 1686100, 84, 0, 1, 84.43, -999
20140401, 82, 82.78, 81.66, 82.74, 799000, 81.62, 0, 1, 81.81, -999
20140331, 81.46, 81.79, 81.19, 81.75, 1408500, 80.64, 0, 1, 81.05, -999
20140328, 79.3, 81.68, 79.3, 80.99, 778900, 79.89, 0, 1, 79.595, -999
20140327, 80.52, 80.75, 79.94, 80.54, 820500, 79.45, 0, 1, 79.985, -999
20140326, 81.92, 82.08, 80.78, 80.81, 1308300, 79.72, 0, 1, 80.82, -999
20140325, 81.67, 81.94, 80.48, 81.28, 1775300, 80.18, 0, 1, 80.925, -999
20140324, 81.15, 81.38, 80.43, 80.87, 1491200, 79.78, 0, 1, 80.465, -999
20140321, 84.09, 84.09, 80.72, 80.72, 2702800, 79.63, 0, 1, 81.86, -999
20140320, 81.27, 81.67, 80.5, 81.47, 1707400, 80.37, 0, 1, 80.82, -999
20140319, 82, 82.17, 80.9, 81.51, 839400, 80.41, 0, 1, 81.205, -999
20140318, 81.75, 82.35, 81.54, 81.91, 1124200, 80.8, 0, 1, 81.275, -999
20140317, 80.49, 82.14, 80.49, 81.43, 1319700, 80.33, 0, 1, 80.41, -999
20140314, 80.45, 81.18, 79.73, 79.8, 1484900, 78.72, 0, 1, 79.585, -999
20140313, 81.76, 82.19, 80.19, 80.67, 1596500, 79.58, 0, 1, 80.67, -999
20140312, 80.85, 81.63, 80.67, 81.31, 1439900, 80.21, 0.375, 1, 80.53, -999
20140311, 82.68, 83.36, 81.63, 81.92, 1352700, 80.44, 0, 1, 81.56, -999
20140310, 82.04, 82.63, 81.54, 82.51, 1276300, 81.02, 0, 1, 81.53, -999
20140307, 81.87, 82.72, 81.48, 82.27, 1735400, 80.79, 0, 1, 81.33, -999
20140306, 80.03, 81.59, 80.01, 81.58, 2242000, 80.11, 0, 1, 80.07, -999
20140305, 79.88, 80.37, 79.42, 79.87, 1341900, 78.43, 0, 1, 79.155, -999
20140304, 80.41, 80.74, 79.01, 79.48, 2337800, 78.05, 0, 1, 79.23, -999
20140303, 77.89, 79.83, 77.63, 79.1, 3066200, 77.67, 0, 1.21, 77.78, -999
20140228, 92.06, 94.38, 91.92, 94.3, 2742200, 76.85, 0, 1, 84.455, -999
20140227, 90.51, 91.78, 90.51, 91.76, 1864800, 74.78, 0, 1, 82.645, -999
20140226, 90.29, 91.08, 89.88, 90.98, 1805300, 74.14, 0, 1, 82.215, -999
20140225, 89.5, 90.05, 89.42, 90, 2326700, 73.34, 0, 1, 81.42, -999
20140224, 89.14, 89.81, 88.95, 89.47, 1668400, 72.91, 0, 1, 81.025, -999
20140221, 88.56, 89.24, 88, 88.99, 2219700, 72.52, 0, 1, 80.54, -999
20140220, 86.73, 88.84, 86.46, 88.58, 2725100, 72.18, 0, 1, 79.455, -999
20140219, 86.86, 87.47, 86.47, 86.58, 2356700, 70.55, 0, 1, 78.705, -999
20140218, 86.21, 87.45, 85.99, 87.1, 2115600, 70.98, 0, 1, 78.595, -999
20140214, 85.22, 86.25, 84.92, 86.06, 1826500, 70.13, 0, 1, 77.675, -999
20140213, 84.66, 85.47, 84.5, 85.3, 2292000, 69.51, 0, 1, 77.085, -999
20140212, 85.04, 85.85, 84.71, 85.38, 1932400, 69.58, 0, 1, 77.31, -999
20140211, 84.42, 85.25, 84.19, 84.76, 1553600, 69.07, 0, 1, 76.745, -999
20140210, 85.24, 85.53, 83.99, 84.45, 1415300, 68.82, 0, 1, 77.03, -999
20140207, 83.26, 85.71, 82.85, 85.44, 2299500, 69.63, 0, 1, 76.445, -999
20140206, 83.07, 83.77, 82.57, 82.64, 1877300, 67.34, 0, 1, 75.205, -999
20140205, 83.17, 83.45, 81.68, 82.78, 2256900, 67.46, 0, 1, 75.315, -999
20140204, 83.02, 83.93, 82.47, 83.62, 1905100, 68.14, 0, 1, 75.58, -999
20140203, 86.3, 86.91, 82.81, 82.96, 2411500, 67.6, 0, 1, 76.95, -999
20140131, 86.68, 87.7, 86.29, 86.56, 2225200, 70.54, 0, 1, 78.61, -999
20140130, 87.68, 89.62, 85.83, 89.27, 1753300, 72.75, 0, 1, 80.215, -999
20140129, 90, 90.79, 89.23, 89.68, 1684800, 73.08, 0, 1, 81.54, -999
20140128, 89.92, 91.01, 89.92, 90.49, 1282200, 73.74, 0, 1, 81.83, -999
20140127, 90.58, 91.03, 89.07, 89.55, 1341800, 72.97, 0, 1, 81.775, -999
20140124, 92.46, 93.58, 90.31, 90.33, 1438200, 73.61, 0, 1, 83.035, -999
20140123, 95.49, 95.55, 93.72, 94.08, 1126900, 76.67, 0, 1, 86.08, -999
20140122, 96.14, 96.22, 95.49, 95.89, 1246400, 78.14, 0, 1, 87.14, -999
20140121, 95.94, 96.38, 95.05, 96.02, 1605300, 78.25, 0, 1, 87.095, -999
20140117, 95.83, 95.98, 94.91, 95.11, 1690700, 77.51, 0, 1, 86.67, -999
20140116, 96.17, 96.59, 94.65, 96.1, 1517200, 78.31, 0, 1, 87.24, -999
20140115, 95.58, 96.67, 95.44, 96.36, 1067900, 78.52, 0, 1, 87.05, -999
20140114, 93.59, 95.43, 93.28, 95.42, 1393900, 77.76, 0, 1, 85.675, -999
20140113, 94.07, 95.14, 92.95, 93.15, 970000, 75.91, 0, 1, 84.99, -999
20140110, 94.11, 94.7, 93.27, 94.44, 939200, 76.96, 0, 1, 85.535, -999
20140109, 94.5, 95.21, 93.78, 94.07, 1220100, 76.66, 0, 1, 85.58, -999
20140108, 94.76, 94.78, 93.93, 94.2, 1192900, 76.76, 0, 1, 85.76, -999
20140107, 94.59, 95.22, 94.33, 94.76, 840800, 77.22, 0, 1, 85.905, -999
20140106, 95.77, 95.81, 94.4, 94.59, 894800, 77.08, 0, 1, 86.425, -999
20140103, 95.45, 95.88, 94.87, 95.22, 905100, 77.6, 0, 1, 86.525, -999
20140102, 96.54, 96.74, 94.93, 95.25, 780500, 77.62, 0, 1, 87.08, -999
20131231, 96.57, 97, 96.14, 96.54, 508000, 78.67, 0, 1, 87.62, -999
20131230, 96.31, 96.57, 96.12, 96.38, 464800, 78.54, 0, 1, 87.425, -999
20131227, 96.4, 96.47, 95.9, 96.32, 387700, 78.49, 0, 1, 87.445, -999
20131226, 95.7, 96.48, 95.67, 96.12, 392300, 78.33, 0, 1, 87.015, -999
20131224, 94.81, 95.71, 94.8, 95.48, 210700, 77.81, 0, 1, 86.31, -999
20131223, 95.15, 95.5, 94.8, 94.87, 960900, 77.31, 0, 1, 86.23, -999
20131220, 93.17, 94.62, 92.85, 94.56, 1669500, 77.06, 0, 1, 85.115, -999
20131219, 91.8, 93.23, 91.3, 93.17, 1361700, 75.92, 0, 1, 83.86, -999
20131218, 91.51, 91.97, 89.76, 91.91, 1270500, 74.9, 0, 1, 83.205, -999
20131217, 92.02, 92.15, 91.13, 91.21, 1047600, 74.33, 0, 1, 83.175, -999
