Ticker: DOW  Created on: 12/6/2014 5:24:19 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 50.04, 50.78, 49.96, 50.16, 8590100, 50.16, 0, 1, 50.1, -999
20141204, 49.07, 49.9, 49.04, 49.77, 5076500, 49.77, 0, 1, 49.42, -999
20141203, 48.83, 49.67, 48.74, 49.42, 8046200, 49.42, 0, 1, 49.125, -999
20141202, 48.14, 49, 48.1, 48.81, 8861700, 48.81, 0, 1, 48.475, -999
20141201, 48.35, 48.98, 47.36, 48.12, 12618400, 48.12, 0, 1, 48.235, -999
20141128, 50.18, 50.25, 48.48, 48.67, 13310500, 48.67, 0, 1, 49.425, -999
20141126, 51.39, 51.79, 50.94, 51.76, 5730000, 51.76, 0, 1, 51.575, -999
20141125, 52.36, 52.48, 51.39, 51.39, 7953500, 51.39, 0, 1, 51.875, -999
20141124, 52.49, 52.8, 52.1, 52.26, 10126600, 52.26, 0, 1, 52.375, -999
20141121, 53.28, 53.8, 52.31, 52.84, 14188300, 52.84, 0, 1, 53.06, -999
20141120, 51, 51.55, 50.63, 51.48, 6438900, 51.48, 0, 1, 51.24, -999
20141119, 52.11, 52.4, 51.29, 51.48, 7494700, 51.48, 0, 1, 51.795, -999
20141118, 51.09, 52.18, 50.93, 52.07, 13715200, 52.07, 0, 1, 51.58, -999
20141117, 51.39, 51.44, 50.75, 51.12, 5915100, 51.12, 0, 1, 51.255, -999
20141114, 50.54, 51.51, 50.26, 51.37, 14319600, 51.37, 0, 1, 50.955, -999
20141113, 50.38, 51.35, 49.16, 49.96, 16623500, 49.96, 0, 1, 50.17, -999
20141112, 50.27, 50.97, 49.69, 49.9, 12529100, 49.9, 0, 1, 50.085, -999
20141111, 49.55, 49.99, 49.21, 49.52, 5204300, 49.52, 0, 1, 49.535, -999
20141110, 49.57, 49.84, 49.17, 49.48, 6953400, 49.48, 0, 1, 49.525, -999
20141107, 49.84, 50.13, 49.3, 49.5, 6675500, 49.5, 0, 1, 49.67, -999
20141106, 49.12, 49.9, 48.86, 49.81, 12584200, 49.81, 0, 1, 49.465, -999
20141105, 48.19, 49.2, 47.92, 49.16, 8465100, 49.16, 0, 1, 48.675, -999
20141104, 48.75, 49.22, 47.51, 47.58, 12082600, 47.58, 0, 1, 48.165, -999
20141103, 49.3, 49.95, 48.98, 49.13, 8698000, 49.13, 0, 1, 49.215, -999
20141031, 48.75, 49.44, 48.44, 49.4, 11397600, 49.4, 0, 1, 49.075, -999
20141030, 47.42, 48.66, 47.18, 48.25, 8948500, 48.25, 0, 1, 47.835, -999
20141029, 47.95, 48.1, 46.8, 47.38, 18309800, 47.38, 0, 1, 47.665, -999
20141028, 47.27, 48, 47.09, 47.98, 11217600, 47.98, 0, 1, 47.625, -999
20141027, 47.55, 47.74, 46.28, 46.49, 18949000, 46.49, 0, 1, 47.02, -999
20141024, 47.63, 48.22, 46.97, 48.21, 10564600, 48.21, 0, 1, 47.92, -999
20141023, 48.77, 48.95, 47.4, 47.68, 13676100, 47.68, 0, 1, 48.225, -999
20141022, 50.06, 50.19, 47.5, 47.61, 18448200, 47.61, 0, 1, 48.835, -999
20141021, 47.1, 48.52, 47.02, 48.21, 18560000, 48.21, 0, 1, 47.655, -999
20141020, 46.15, 46.74, 46.05, 46.51, 8238500, 46.51, 0, 1, 46.33, -999
20141017, 45.46, 46.69, 45.41, 46.05, 18513100, 46.05, 0, 1, 45.755, -999
20141016, 43.25, 45.02, 42.96, 44.76, 16287100, 44.76, 0, 1, 44.005, -999
20141015, 43.03, 44.24, 41.45, 44.09, 29099400, 44.09, 0, 1, 43.56, -999
20141014, 45.13, 45.72, 43.77, 43.93, 29068900, 43.93, 0, 1, 44.53, -999
20141013, 47.44, 47.77, 44.77, 44.89, 22660700, 44.89, 0, 1, 46.165, -999
20141010, 47.18, 48.15, 46.54, 47.57, 17910000, 47.57, 0, 1, 47.375, -999
20141009, 49.99, 50.1, 47.57, 48.23, 17857100, 48.23, 0, 1, 49.11, -999
20141008, 49.36, 50.05, 48.54, 50, 14719500, 50, 0, 1, 49.68, -999
20141007, 50.3, 50.36, 49.48, 49.5, 7290500, 49.5, 0, 1, 49.9, -999
20141006, 50.97, 51.09, 50.36, 50.5, 6390500, 50.5, 0, 1, 50.735, -999
20141003, 50.58, 51.01, 50.45, 50.62, 7424500, 50.62, 0, 1, 50.6, -999
20141002, 49.6, 50.57, 48.51, 50.42, 13720000, 50.42, 0, 1, 50.01, -999
20141001, 52.24, 52.3, 50.28, 50.45, 14802600, 50.45, 0, 1, 51.345, -999
20140930, 53.34, 53.8, 52.44, 52.44, 13830300, 52.44, 0, 1, 52.89, -999
20140929, 53.1, 53.63, 52.83, 53.42, 6773800, 53.42, 0, 1, 53.26, -999
20140926, 52.78, 53.67, 52.78, 53.57, 10304300, 53.57, 0.37, 1, 53.175, -999
20140925, 53.48, 53.67, 52.83, 53.13, 9506300, 52.76, 0, 1, 53.12, -999
20140924, 53.01, 53.74, 52.89, 53.52, 8835200, 53.15, 0, 1, 53.08, -999
20140923, 52.75, 53.35, 52.75, 52.79, 6168000, 52.42, 0, 1, 52.585, -999
20140922, 53.3, 53.65, 52.75, 52.86, 8162200, 52.49, 0, 1, 52.895, -999
20140919, 53.92, 54.33, 53.35, 53.49, 19782600, 53.12, 0, 1, 53.52, -999
20140918, 54.47, 54.58, 53.57, 53.59, 8739000, 53.22, 0, 1, 53.845, -999
20140917, 53.91, 54.5, 53.7, 54.15, 14674400, 53.77, 0, 1, 53.84, -999
20140916, 53.03, 53.8, 53, 53.48, 7815000, 53.11, 0, 1, 53.07, -999
20140915, 52.7, 53.29, 52.43, 53.04, 6778300, 52.67, 0, 1, 52.685, -999
20140912, 53.04, 53.4, 52.38, 52.67, 7772100, 52.3, 0, 1, 52.67, -999
20140911, 52.9, 53.04, 52.37, 52.88, 9608900, 52.51, 0, 1, 52.705, -999
20140910, 53.34, 53.46, 52.99, 53.36, 7230800, 52.99, 0, 1, 53.165, -999
20140909, 54.3, 54.3, 53.37, 53.46, 6089800, 53.09, 0, 1, 53.695, -999
20140908, 54.77, 54.94, 54.26, 54.31, 6391500, 53.93, 0, 1, 54.35, -999
20140905, 54.31, 54.92, 54.2, 54.8, 10364400, 54.42, 0, 1, 54.365, -999
20140904, 53.97, 54.97, 53.87, 54.29, 10109200, 53.91, 0, 1, 53.94, -999
20140903, 53.7, 54.25, 53.65, 53.9, 7804000, 53.52, 0, 1, 53.61, -999
20140902, 53.56, 53.64, 53.25, 53.55, 4842200, 53.18, 0, 1, 53.37, -999
20140829, 53.77, 53.87, 53.49, 53.55, 4223700, 53.18, 0, 1, 53.475, -999
20140828, 53.53, 53.82, 53.23, 53.64, 4923900, 53.27, 0, 1, 53.4, -999
20140827, 53.28, 53.93, 53.09, 53.64, 6567200, 53.27, 0, 1, 53.275, -999
20140826, 53.13, 53.28, 52.92, 53.1, 3683700, 52.73, 0, 1, 52.93, -999
20140825, 53.19, 53.4, 53, 53.13, 2900700, 52.76, 0, 1, 52.975, -999
20140822, 53, 53.27, 52.85, 53.11, 3351900, 52.74, 0, 1, 52.87, -999
20140821, 53.33, 53.47, 53.05, 53.07, 3637800, 52.7, 0, 1, 53.015, -999
20140820, 53.01, 53.4, 52.97, 53.3, 3712300, 52.93, 0, 1, 52.97, -999
20140819, 52.99, 53.2, 52.85, 53.08, 3642700, 52.71, 0, 1, 52.85, -999
20140818, 52.34, 52.89, 52.21, 52.88, 5434100, 52.51, 0, 1, 52.425, -999
20140815, 52.2, 52.52, 51.65, 52.02, 7730000, 51.66, 0, 1, 51.93, -999
20140814, 52.56, 52.67, 52.06, 52.13, 5175600, 51.77, 0, 1, 52.165, -999
20140813, 52.05, 52.67, 51.99, 52.5, 3929300, 52.13, 0, 1, 52.09, -999
20140812, 51.8, 52, 51.41, 51.8, 4255200, 51.44, 0, 1, 51.62, -999
20140811, 52.44, 52.8, 51.79, 51.8, 5428800, 51.44, 0, 1, 51.94, -999
20140808, 51.37, 52.3, 51.24, 52.28, 7602700, 51.92, 0, 1, 51.645, -999
20140807, 51.74, 52.13, 51.19, 51.32, 5933400, 50.96, 0, 1, 51.35, -999
20140806, 50.71, 51.55, 50.34, 51.49, 10625900, 51.13, 0, 1, 50.92, -999
20140805, 51.45, 51.82, 50.93, 51.1, 6316400, 50.74, 0, 1, 51.095, -999
20140804, 51.19, 51.83, 50.79, 51.68, 6038600, 51.32, 0, 1, 51.255, -999
20140801, 51.2, 51.25, 50.35, 50.97, 7002000, 50.62, 0, 1, 50.91, -999
20140731, 52.12, 52.12, 51, 51.07, 8559600, 50.71, 0, 1, 51.415, -999
20140730, 53.72, 53.8, 52.26, 52.48, 7250800, 52.11, 0, 1, 52.915, -999
20140729, 53.89, 54.03, 53.44, 53.45, 5504800, 53.08, 0, 1, 53.485, -999
20140728, 53.84, 54.15, 53.57, 53.7, 8733000, 53.33, 0, 1, 53.585, -999
20140725, 53.64, 54.14, 53.5, 53.71, 7353400, 53.34, 0, 1, 53.49, -999
