Ticker: DPS  Created on: 12/6/2014 5:24:19 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 71.99, 72.25, 71.58, 71.94, 1389200, 71.94, 0, 1, 71.965, -999
20141204, 72.46, 72.8, 71.97, 72.12, 1788500, 72.12, 0, 1, 72.29, -999
20141203, 73.48, 73.68, 72.29, 72.4, 2774600, 72.4, 0, 1, 72.94, -999
20141202, 72.94, 73.96, 72.7, 73.59, 2105300, 73.59, 0, 1, 73.265, -999
20141201, 72.84, 73.66, 72.46, 73.03, 1529300, 73.03, 0, 1, 72.935, -999
20141128, 73.19, 74.28, 73.19, 74, 708700, 74, 0, 1, 73.595, -999
20141126, 73.07, 73.41, 72.64, 72.89, 1329300, 72.89, 0, 1, 72.98, -999
20141125, 72.65, 73.73, 72.55, 73.26, 1764900, 73.26, 0, 1, 72.955, -999
20141124, 72.25, 72.81, 72.04, 72.69, 1673500, 72.69, 0, 1, 72.47, -999
20141121, 72.55, 72.63, 71.59, 71.98, 1815100, 71.98, 0, 1, 72.265, -999
20141120, 70.87, 72.12, 70.87, 71.76, 1494300, 71.76, 0, 1, 71.315, -999
20141119, 71.17, 71.2, 70.69, 71.18, 2333100, 71.18, 0, 1, 71.175, -999
20141118, 71.16, 71.45, 70.67, 70.9, 1970700, 70.9, 0, 1, 71.03, -999
20141117, 70, 70.77, 69.83, 70.75, 1258300, 70.75, 0, 1, 70.375, -999
20141114, 70.73, 70.77, 69.81, 70.1, 1215100, 70.1, 0, 1, 70.415, -999
20141113, 70.83, 71.5, 70.19, 70.71, 1408000, 70.71, 0, 1, 70.77, -999
20141112, 69.32, 70.74, 69.04, 70.66, 1552700, 70.66, 0, 1, 69.99, -999
20141111, 70.48, 70.56, 69.62, 69.74, 1254700, 69.74, 0, 1, 70.11, -999
20141110, 69.95, 70.56, 69.6, 70.47, 1184700, 70.47, 0, 1, 70.21, -999
20141107, 69.93, 70.35, 69.49, 69.95, 1168500, 69.95, 0, 1, 69.94, -999
20141106, 69.25, 70.03, 69.13, 69.94, 1792300, 69.94, 0, 1, 69.595, -999
20141105, 70.98, 70.99, 68.84, 69, 1889800, 69, 0, 1, 69.99, -999
20141104, 69.64, 70.54, 69.63, 70.35, 1617500, 70.35, 0, 1, 69.995, -999
20141103, 69.09, 69.69, 69.08, 69.53, 1468500, 69.53, 0, 1, 69.31, -999
20141031, 69.68, 69.88, 68.96, 69.25, 1884300, 69.25, 0, 1, 69.465, -999
20141030, 67.87, 69.26, 67.52, 68.94, 1683400, 68.94, 0, 1, 68.405, -999
20141029, 67.92, 68.14, 67.29, 67.72, 1237200, 67.72, 0, 1, 67.82, -999
20141028, 68.38, 68.71, 67.47, 67.9, 1453100, 67.9, 0, 1, 68.14, -999
20141027, 66.35, 67.96, 66.25, 67.92, 1832100, 67.92, 0, 1, 67.135, -999
20141024, 67.02, 67.49, 66.43, 66.8, 1587500, 66.8, 0, 1, 66.91, -999
20141023, 67.13, 69.35, 66.75, 66.95, 2675300, 66.95, 0, 1, 67.04, -999
20141022, 65.37, 65.63, 64.45, 65.43, 2433700, 65.43, 0, 1, 65.4, -999
20141021, 64.78, 65.66, 64.5, 65.36, 1529900, 65.36, 0, 1, 65.07, -999
20141020, 63.1, 64.95, 62.96, 64.88, 1790100, 64.88, 0, 1, 63.99, -999
20141017, 62.22, 63.31, 61.76, 63.09, 1853100, 63.09, 0, 1, 62.655, -999
20141016, 61.3, 62.14, 60.65, 61.85, 2229500, 61.85, 0, 1, 61.575, -999
20141015, 63.57, 63.9, 61.26, 62.14, 2382700, 62.14, 0, 1, 62.855, -999
20141014, 64.04, 64.6, 63.99, 64.08, 1594000, 64.08, 0, 1, 64.06, -999
20141013, 64.27, 64.62, 63.69, 63.79, 1095000, 63.79, 0, 1, 64.03, -999
20141010, 64.52, 65.19, 64.41, 64.43, 1650800, 64.43, 0, 1, 64.475, -999
20141009, 65.32, 65.77, 64.1, 64.26, 1879700, 64.26, 0, 1, 64.79, -999
20141008, 64.33, 65.24, 64.14, 65.2, 1401200, 65.2, 0, 1, 64.765, -999
20141007, 64.44, 64.98, 64.17, 64.17, 1634500, 64.17, 0, 1, 64.305, -999
20141006, 64.98, 64.98, 64.07, 64.69, 981900, 64.69, 0, 1, 64.835, -999
20141003, 64.18, 64.9, 63.6, 64.74, 1842000, 64.74, 0, 1, 64.46, -999
20141002, 63.47, 63.91, 63.35, 63.6, 2068500, 63.6, 0, 1, 63.535, -999
20141001, 64.23, 64.5, 63.56, 63.57, 1650600, 63.57, 0, 1, 63.9, -999
20140930, 64.23, 64.51, 63.87, 64.31, 1116600, 64.31, 0, 1, 64.27, -999
