Ticker: DRI  Created on: 12/6/2014 5:24:14 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 57.93, 58.55, 57.93, 58.52, 743700, 58.52, 0, 1, 58.225, -999
20141204, 58.16, 58.34, 57.74, 57.85, 1045000, 57.85, 0, 1, 58.005, -999
20141203, 57.27, 58.29, 57.17, 58.11, 1819500, 58.11, 0, 1, 57.69, -999
20141202, 57.79, 58.25, 57.46, 57.53, 1152100, 57.53, 0, 1, 57.66, -999
20141201, 56.89, 57.95, 56.8, 57.52, 1991200, 57.52, 0, 1, 57.205, -999
20141128, 56.23, 57.21, 56.17, 56.99, 682800, 56.99, 0, 1, 56.61, -999
20141126, 55.07, 55.9, 54.99, 55.86, 916300, 55.86, 0, 1, 55.465, -999
20141125, 56.37, 56.65, 54.96, 54.99, 3017700, 54.99, 0, 1, 55.68, -999
20141124, 56, 56.41, 55.84, 56.36, 1491300, 56.36, 0, 1, 56.18, -999
20141121, 56.28, 56.35, 55.81, 55.85, 1070700, 55.85, 0, 1, 56.065, -999
20141120, 55.36, 56.09, 55.36, 55.79, 1193600, 55.79, 0, 1, 55.575, -999
20141119, 55.41, 55.9, 55.4, 55.61, 1212400, 55.61, 0, 1, 55.51, -999
20141118, 55.42, 55.69, 55.32, 55.57, 1570500, 55.57, 0, 1, 55.495, -999
20141117, 55.86, 55.97, 55.43, 55.43, 1279500, 55.43, 0, 1, 55.645, -999
20141114, 56.31, 56.68, 55.83, 55.9, 1393900, 55.9, 0, 1, 56.105, -999
20141113, 56.52, 56.85, 56.02, 56.3, 1812700, 56.3, 0, 1, 56.41, -999
20141112, 55.58, 56.66, 55.54, 56.36, 2394000, 56.36, 0, 1, 55.97, -999
20141111, 54.85, 55.84, 54.85, 55.72, 3773400, 55.72, 0, 1, 55.285, -999
20141110, 53.41, 54.32, 53.23, 54.31, 1917200, 54.31, 0, 1, 53.86, -999
20141107, 53.4, 53.81, 53.1, 53.5, 1496000, 53.5, 0, 1, 53.45, -999
20141106, 52.5, 53.23, 52.44, 53.1, 1268600, 53.1, 0, 1, 52.8, -999
20141105, 52.95, 53.16, 52.55, 52.69, 1302900, 52.69, 0, 1, 52.82, -999
20141104, 52, 52.78, 51.99, 52.73, 1258200, 52.73, 0, 1, 52.365, -999
20141103, 51.81, 52.09, 51.5, 51.98, 1209600, 51.98, 0, 1, 51.895, -999
20141031, 51.77, 51.81, 51.45, 51.78, 1395700, 51.78, 0, 1, 51.775, -999
20141030, 50.74, 51.4, 48.91, 51.18, 1344000, 51.18, 0, 1, 50.96, -999
20141029, 51.86, 51.98, 50.44, 50.94, 4627200, 50.94, 0, 1, 51.4, -999
20141028, 51.57, 52.53, 51.57, 52.03, 2432600, 52.03, 0, 1, 51.8, -999
20141027, 51.02, 51.56, 51.02, 51.42, 2353900, 51.42, 0, 1, 51.22, -999
20141024, 50.29, 51.08, 50.27, 51.05, 1781500, 51.05, 0, 1, 50.67, -999
20141023, 50, 50.6, 49.81, 50.3, 2011700, 50.3, 0, 1, 50.15, -999
20141022, 49.41, 49.88, 49.41, 49.52, 1176600, 49.52, 0, 1, 49.465, -999
20141021, 49.03, 49.6, 48.63, 49.42, 1241200, 49.42, 0, 1, 49.225, -999
20141020, 48.61, 49.12, 48.42, 49.11, 1313200, 49.11, 0, 1, 48.86, -999
20141017, 48.63, 49.21, 48.32, 48.68, 1709100, 48.68, 0, 1, 48.655, -999
20141016, 47.62, 48.73, 47.53, 48.36, 2129200, 48.36, 0, 1, 47.99, -999
20141015, 47.16, 48.49, 46.7, 48.24, 2627900, 48.24, 0, 1, 47.7, -999
20141014, 47.36, 48.63, 47.36, 48.13, 2100000, 48.13, 0, 1, 47.745, -999
20141013, 48.02, 48.02, 47.06, 47.08, 3232800, 47.08, 0, 1, 47.55, -999
20141010, 49.29, 50.52, 48.34, 48.37, 2849800, 48.37, 0, 1, 48.83, -999
20141009, 49.62, 50.29, 49.17, 49.27, 1939800, 49.27, 0, 1, 49.445, -999
20141008, 49.71, 50.1, 49.24, 49.99, 2128700, 49.99, 0.55, 1, 49.85, -999
20141007, 50.7, 50.94, 50.05, 50.07, 2022400, 49.52, 0, 1, 50.11, -999
20141006, 51.64, 51.71, 51.02, 51.05, 1831800, 50.49, 0, 1, 51.065, -999
20141003, 51.88, 51.99, 51.58, 51.59, 1681800, 51.02, 0, 1, 51.45, -999
20141002, 51.3, 51.9, 51.15, 51.48, 1841900, 50.91, 0, 1, 51.105, -999
20141001, 51.32, 51.44, 50.67, 50.95, 2148000, 50.39, 0, 1, 50.855, -999
20140930, 52.03, 52.14, 51.25, 51.46, 1713700, 50.89, 0, 1, 51.46, -999
20140929, 51.61, 52.11, 51.44, 52, 1684900, 51.43, 0, 1, 51.52, -999
20140926, 51.23, 52.11, 51.17, 51.9, 1596900, 51.33, 0, 1, 51.28, -999
20140925, 51.55, 51.72, 51.21, 51.28, 1229700, 50.72, 0, 1, 51.135, -999
20140924, 50.46, 51.81, 50.44, 51.73, 2560100, 51.16, 0, 1, 50.81, -999
20140923, 50.54, 50.62, 50.05, 50.35, 1992000, 49.8, 0, 1, 50.17, -999
20140922, 50.97, 51.17, 50.37, 50.47, 1372000, 49.92, 0, 1, 50.445, -999
20140919, 50.76, 51.35, 50.73, 51.19, 2597600, 50.63, 0, 1, 50.695, -999
20140918, 49.78, 50.39, 49.43, 50.35, 1643500, 49.8, 0, 1, 49.79, -999
20140917, 49.51, 49.99, 49.5, 49.79, 1703500, 49.24, 0, 1, 49.375, -999
20140916, 49.83, 49.97, 49.39, 49.54, 1749500, 49, 0, 1, 49.415, -999
20140915, 48.06, 49.95, 47.82, 49.94, 4000100, 49.39, 0, 1, 48.725, -999
20140912, 48.96, 49.43, 47.28, 47.58, 3593700, 47.06, 0, 1, 48.01, -999
20140911, 47.77, 48.36, 47.55, 48.29, 1898500, 47.76, 0, 1, 47.765, -999
20140910, 47.72, 47.88, 47.33, 47.77, 1034300, 47.25, 0, 1, 47.485, -999
20140909, 48.03, 48.14, 47.61, 47.78, 1071700, 47.26, 0, 1, 47.645, -999
20140908, 47.85, 48.64, 47.81, 48.03, 2421300, 47.5, 0, 1, 47.675, -999
20140905, 47.81, 48.08, 47.59, 48.07, 1120300, 47.54, 0, 1, 47.675, -999
20140904, 47.51, 48.09, 47.49, 47.83, 1596500, 47.3, 0, 1, 47.405, -999
20140903, 47.96, 48, 47.4, 47.6, 857300, 47.08, 0, 1, 47.52, -999
20140902, 47.31, 48.93, 47.31, 47.75, 2276600, 47.23, 0, 1, 47.27, -999
20140829, 47.12, 47.52, 47.01, 47.32, 1324200, 46.8, 0, 1, 46.96, -999
20140828, 47.13, 47.54, 46.91, 47.15, 952600, 46.63, 0, 1, 46.88, -999
20140827, 47.75, 47.78, 47.42, 47.45, 1105600, 46.93, 0, 1, 47.34, -999
20140826, 47.42, 47.83, 47.38, 47.61, 1203600, 47.09, 0, 1, 47.255, -999
20140825, 47.77, 47.91, 47.36, 47.55, 858900, 47.03, 0, 1, 47.4, -999
20140822, 47.54, 47.71, 47.43, 47.57, 1469100, 47.05, 0, 1, 47.295, -999
20140821, 47.51, 47.64, 47.36, 47.45, 1041600, 46.93, 0, 1, 47.22, -999
20140820, 47.41, 47.98, 47.27, 47.43, 1684900, 46.91, 0, 1, 47.16, -999
20140819, 47.37, 47.72, 47.28, 47.53, 741000, 47.01, 0, 1, 47.19, -999
20140818, 46.69, 47.26, 46.67, 47.21, 1280800, 46.69, 0, 1, 46.69, -999
20140815, 47.23, 47.27, 46.03, 46.37, 1309800, 45.86, 0, 1, 46.545, -999
20140814, 46.82, 47.42, 46.76, 47.09, 883800, 46.57, 0, 1, 46.695, -999
20140813, 46.38, 46.88, 46.16, 46.79, 1355500, 46.28, 0, 1, 46.33, -999
20140812, 46.33, 46.68, 46.09, 46.36, 1673400, 45.85, 0, 1, 46.09, -999
20140811, 47.25, 47.32, 46.71, 46.85, 1749200, 46.34, 0, 1, 46.795, -999
20140808, 46.71, 47.32, 46.71, 47.21, 1635400, 46.69, 0, 1, 46.7, -999
20140807, 47.28, 47.43, 46.67, 46.79, 3785100, 46.28, 0, 1, 46.78, -999
20140806, 46.87, 47.41, 46.86, 46.92, 1739600, 46.4, 0, 1, 46.635, -999
20140805, 47.61, 48.4, 47.21, 47.29, 1853200, 46.77, 0, 1, 47.19, -999
20140804, 46.74, 47.94, 46.67, 47.86, 2857100, 47.33, 0, 1, 47.035, -999
20140801, 46.67, 46.99, 46.32, 46.66, 1645000, 46.15, 0, 1, 46.41, -999
20140731, 46.74, 46.9, 46.31, 46.75, 3090700, 46.24, 0, 1, 46.49, -999
20140730, 46.87, 46.99, 46.1, 46.31, 1916300, 45.8, 0, 1, 46.335, -999
20140729, 46.31, 46.99, 46.14, 46.88, 4167700, 46.37, 0, 1, 46.34, -999
20140728, 44.63, 45.11, 44.54, 44.92, 1315500, 44.43, 0, 1, 44.53, -999
20140725, 45.25, 45.33, 44.63, 44.66, 997100, 44.17, 0, 1, 44.71, -999
20140724, 44.46, 45.41, 44.25, 45.29, 1959200, 44.79, 0, 1, 44.625, -999
20140723, 44.21, 44.57, 44.01, 44.49, 1731900, 44, 0, 1, 44.105, -999
20140722, 44.28, 44.45, 44.06, 44.22, 1361400, 43.73, 0, 1, 44.005, -999
20140721, 44.23, 44.34, 43.77, 44.02, 1814500, 43.54, 0, 1, 43.885, -999
