Ticker: DTE  Created on: 12/6/2014 5:24:20 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 82.19, 82.75, 81.69, 82, 710700, 82, 0, 1, 82.095, -999
20141204, 82.48, 82.91, 82, 82.65, 896900, 82.65, 0, 1, 82.565, -999
20141203, 82.19, 82.54, 81.53, 82.45, 949500, 82.45, 0, 1, 82.32, -999
20141202, 81.23, 82.38, 80.71, 82.27, 989000, 82.27, 0, 1, 81.75, -999
20141201, 81.06, 82.34, 80.81, 81.54, 1178800, 81.54, 0, 1, 81.3, -999
20141128, 81.08, 82.15, 80.72, 81.46, 554000, 81.46, 0, 1, 81.27, -999
20141126, 80.63, 80.96, 80.3, 80.67, 677700, 80.67, 0, 1, 80.65, -999
20141125, 80.64, 80.64, 79.89, 80.39, 627300, 80.39, 0, 1, 80.515, -999
20141124, 80.79, 81.04, 80.42, 80.53, 1088100, 80.53, 0, 1, 80.66, -999
20141121, 81.25, 81.46, 79.8, 80.65, 1220400, 80.65, 0, 1, 80.95, -999
20141120, 81.12, 81.25, 80.42, 80.64, 953800, 80.64, 0, 1, 80.88, -999
20141119, 81.22, 81.55, 80.68, 81.21, 1130700, 81.21, 0, 1, 81.215, -999
20141118, 81.39, 81.94, 80.67, 81.51, 1795800, 81.51, 0, 1, 81.45, -999
20141117, 79.59, 81.13, 79.59, 81.1, 1020300, 81.1, 0, 1, 80.345, -999
20141114, 79.8, 80.22, 79.54, 79.87, 1030700, 79.87, 0, 1, 79.835, -999
20141113, 81.12, 81.48, 79.62, 79.78, 1650100, 79.78, 0, 1, 80.45, -999
20141112, 82.07, 82.24, 80.61, 80.9, 1580000, 80.9, 0, 1, 81.485, -999
20141111, 83.61, 83.67, 82.45, 82.79, 1170300, 82.79, 0, 1, 83.2, -999
20141110, 83.05, 83.91, 82.83, 83.85, 720500, 83.85, 0, 1, 83.45, -999
20141107, 82.73, 83.34, 82.5, 83.31, 850300, 83.31, 0, 1, 83.02, -999
20141106, 83.89, 83.89, 82.16, 82.67, 2236000, 82.67, 0, 1, 83.28, -999
20141105, 82.95, 84.42, 82.48, 84.16, 1896400, 84.16, 0, 1, 83.555, -999
20141104, 82.94, 83.47, 82.17, 82.39, 643600, 82.39, 0, 1, 82.665, -999
20141103, 82.36, 82.99, 82.28, 82.8, 967700, 82.8, 0, 1, 82.58, -999
20141031, 82.33, 82.33, 81.47, 82.16, 1135000, 82.16, 0, 1, 82.245, -999
20141030, 80.22, 82.01, 80.13, 81.99, 1355400, 81.99, 0, 1, 81.105, -999
