Ticker: DVA  Created on: 12/6/2014 5:24:14 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 75.3, 75.71, 75.22, 75.63, 730900, 75.63, 0, 1, 75.465, -999
20141204, 75.65, 75.85, 75.28, 75.3, 765400, 75.3, 0, 1, 75.475, -999
20141203, 75.59, 76.17, 75.49, 75.69, 716900, 75.69, 0, 1, 75.64, -999
20141202, 76, 76.2, 75.47, 75.7, 863800, 75.7, 0, 1, 75.85, -999
20141201, 76.47, 76.64, 75.68, 76.01, 1349600, 76.01, 0, 1, 76.24, -999
20141128, 76.25, 76.63, 76.14, 76.53, 746800, 76.53, 0, 1, 76.39, -999
20141126, 75.23, 76.44, 75.09, 76.1, 1255900, 76.1, 0, 1, 75.665, -999
20141125, 74.5, 75.09, 74.12, 75.06, 1331700, 75.06, 0, 1, 74.78, -999
20141124, 74.54, 74.76, 73.84, 74.49, 2454000, 74.49, 0, 1, 74.515, -999
20141121, 75.71, 75.8, 74.45, 74.54, 1177500, 74.54, 0, 1, 75.125, -999
20141120, 74.99, 75.29, 74.59, 75.13, 761100, 75.13, 0, 1, 75.06, -999
20141119, 75.24, 75.37, 74.59, 75.12, 898500, 75.12, 0, 1, 75.18, -999
20141118, 75.42, 75.81, 75.01, 75.23, 1834800, 75.23, 0, 1, 75.325, -999
20141117, 75.78, 75.85, 74.92, 75.51, 1369100, 75.51, 0, 1, 75.645, -999
20141114, 77, 77.53, 75.57, 75.66, 3533100, 75.66, 0, 1, 76.33, -999
20141113, 77.17, 77.36, 76.61, 77.04, 2901900, 77.04, 0, 1, 77.105, -999
20141112, 76, 77.1, 75.34, 76.72, 2949800, 76.72, 0, 1, 76.36, -999
20141111, 75.02, 76.21, 74.79, 76.13, 2277700, 76.13, 0, 1, 75.575, -999
20141110, 74.48, 74.84, 73.55, 74.72, 3443000, 74.72, 0, 1, 74.6, -999
20141107, 74.28, 74.95, 72.7, 74.49, 6676000, 74.49, 0, 1, 74.385, -999
20141106, 77.45, 78.07, 77.15, 78.03, 1168200, 78.03, 0, 1, 77.74, -999
20141105, 78.06, 78.11, 77.4, 77.51, 603300, 77.51, 0, 1, 77.785, -999
20141104, 77.83, 78.21, 77.39, 77.84, 697900, 77.84, 0, 1, 77.835, -999
20141103, 78.08, 78.41, 77.5, 78.03, 806900, 78.03, 0, 1, 78.055, -999
20141031, 78.33, 78.52, 77.75, 78.07, 793300, 78.07, 0, 1, 78.2, -999
20141030, 77.05, 77.76, 76.38, 77.62, 787800, 77.62, 0, 1, 77.335, -999
20141029, 77.68, 78.36, 77.02, 77.37, 730000, 77.37, 0, 1, 77.525, -999
20141028, 76.81, 77.76, 76.68, 77.58, 778000, 77.58, 0, 1, 77.195, -999
20141027, 76.75, 76.78, 76.23, 76.7, 599600, 76.7, 0, 1, 76.725, -999
20141024, 76.29, 76.79, 76.2, 76.73, 543800, 76.73, 0, 1, 76.51, -999
20141023, 76.33, 76.68, 75.89, 76.25, 638400, 76.25, 0, 1, 76.29, -999
20141022, 76, 76.35, 75.25, 75.28, 1047300, 75.28, 0, 1, 75.64, -999
20141021, 74.12, 75.5, 74.11, 75.5, 946300, 75.5, 0, 1, 74.81, -999
20141020, 72.75, 73.58, 72.62, 73.56, 713600, 73.56, 0, 1, 73.155, -999
20141017, 72.66, 72.98, 72.13, 72.75, 826800, 72.75, 0, 1, 72.705, -999
20141016, 71.89, 72.7, 71.5, 72.03, 1115300, 72.03, 0, 1, 71.96, -999
20141015, 73, 73.77, 71.83, 72.74, 2144000, 72.74, 0, 1, 72.87, -999
20141014, 73.71, 74.16, 73.38, 73.59, 1055400, 73.59, 0, 1, 73.65, -999
20141013, 73.31, 74.38, 73.18, 73.56, 897300, 73.56, 0, 1, 73.435, -999
20141010, 74.05, 74.74, 73.42, 73.42, 657400, 73.42, 0, 1, 73.735, -999
20141009, 75.04, 75.39, 73.99, 73.99, 1301400, 73.99, 0, 1, 74.515, -999
20141008, 73.06, 75.12, 72.66, 75.01, 882100, 75.01, 0, 1, 74.035, -999
20141007, 73.38, 73.82, 73.05, 73.13, 776700, 73.13, 0, 1, 73.255, -999
20141006, 74.48, 74.69, 73.55, 73.81, 648400, 73.81, 0, 1, 74.145, -999
20141003, 74.04, 74.53, 73.75, 74.45, 983800, 74.45, 0, 1, 74.245, -999
20141002, 72.99, 73.85, 72.81, 73.74, 774500, 73.74, 0, 1, 73.365, -999
20141001, 73.3, 73.61, 72.48, 72.78, 914300, 72.78, 0, 1, 73.04, -999
20140930, 73.42, 73.82, 73.06, 73.14, 1016800, 73.14, 0, 1, 73.28, -999
20140929, 73, 73.7, 72.78, 73.48, 732500, 73.48, 0, 1, 73.24, -999
20140926, 73.86, 73.95, 73.28, 73.4, 842300, 73.4, 0, 1, 73.63, -999
20140925, 74.86, 74.86, 73.53, 73.77, 752200, 73.77, 0, 1, 74.315, -999
20140924, 74.01, 74.97, 73.67, 74.94, 597200, 74.94, 0, 1, 74.475, -999
20140923, 74.55, 74.59, 73.88, 74.01, 537200, 74.01, 0, 1, 74.28, -999
20140922, 74.72, 75.13, 74.26, 74.76, 648200, 74.76, 0, 1, 74.74, -999
