Ticker: DVN  Created on: 12/6/2014 5:24:16 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 59.25, 60.55, 58.4, 59.9, 4473900, 59.9, 0, 1, 59.575, -999
20141204, 60.34, 60.34, 59.27, 59.52, 3994600, 59.52, 0, 1, 59.93, -999
20141203, 60.31, 62.24, 60.29, 60.92, 3787500, 60.92, 0, 1, 60.615, -999
20141202, 58.95, 61.2, 58.4, 59.89, 4325500, 59.89, 0, 1, 59.42, -999
20141201, 58.69, 60.15, 57.58, 59.94, 7541100, 59.94, 0, 1, 59.315, -999
20141128, 59.96, 60.19, 58.62, 58.97, 5443900, 58.97, 0, 1, 59.465, -999
20141126, 64.35, 64.5, 63.35, 64.02, 2699600, 64.02, 0, 1, 64.185, -999
20141125, 66.86, 66.89, 64.44, 64.78, 4136200, 64.78, 0, 1, 65.82, -999
20141124, 67.04, 67.2, 65.58, 66.29, 3394700, 66.29, 0, 1, 66.665, -999
20141121, 68.08, 68.47, 66.64, 67.2, 4342900, 67.2, 0, 1, 67.64, -999
20141120, 64.91, 66.86, 64.65, 66.76, 3740800, 66.76, 0, 1, 65.835, -999
20141119, 64.82, 65.25, 63.77, 64.83, 2778800, 64.83, 0, 1, 64.825, -999
20141118, 63.59, 64.88, 63.28, 64.49, 3648600, 64.49, 0, 1, 64.04, -999
20141117, 63.8, 64.41, 63.03, 63.85, 2843200, 63.85, 0, 1, 63.825, -999
20141114, 63.32, 64.28, 62.98, 64.18, 2703400, 64.18, 0, 1, 63.75, -999
20141113, 63.44, 64, 62.26, 63.28, 4072300, 63.28, 0, 1, 63.36, -999
20141112, 64.18, 64.99, 63.67, 64.07, 3733600, 64.07, 0, 1, 64.125, -999
20141111, 64.16, 64.86, 63.15, 64.56, 2718300, 64.56, 0, 1, 64.36, -999
20141110, 65.96, 66.42, 63.63, 64.21, 6142400, 64.21, 0, 1, 65.085, -999
20141107, 63.25, 65.06, 63.14, 65.03, 6779300, 65.03, 0, 1, 64.14, -999
20141106, 61.32, 62.57, 60.98, 62.56, 5122900, 62.56, 0, 1, 61.94, -999
20141105, 59.8, 62.06, 59.69, 61.62, 8913800, 61.62, 0, 1, 60.71, -999
20141104, 57.03, 57.55, 55.44, 56.02, 6075700, 56.02, 0, 1, 56.525, -999
20141103, 60.21, 61.1, 58.38, 58.54, 4685600, 58.54, 0, 1, 59.375, -999
20141031, 58.27, 60.04, 57.43, 60, 4011300, 60, 0, 1, 59.135, -999
