Ticker: D  Created on: 12/6/2014 5:24:18 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 72.03, 72.67, 71.86, 72.15, 1570900, 72.15, 0, 1, 72.09, -999
20141204, 72.59, 73.05, 72.17, 72.74, 1733000, 72.74, 0, 1, 72.665, -999
20141203, 72.82, 73.07, 72.22, 72.58, 1496500, 72.58, 0, 1, 72.7, -999
20141202, 72.27, 73.2, 71.9, 72.84, 2286000, 72.84, 0, 1, 72.555, -999
20141201, 72.16, 72.95, 71.9, 72.28, 2643200, 72.28, 0, 1, 72.22, -999
20141128, 72.45, 73.3, 72.42, 72.55, 1268500, 72.55, 0, 1, 72.5, -999
20141126, 72.78, 72.99, 72.14, 72.53, 1591000, 72.53, 0, 1, 72.655, -999
20141125, 72.45, 72.82, 71.98, 72.63, 2651700, 72.63, 0, 1, 72.54, -999
20141124, 73.25, 73.73, 72.92, 73.05, 2431000, 72.45, 0, 1, 72.85, -999
20141121, 73.24, 73.69, 72.63, 73.25, 2576100, 72.65, 0, 1, 72.945, -999
20141120, 72.02, 72.71, 71.86, 72.67, 1786800, 72.07, 0, 1, 72.045, -999
20141119, 72.03, 72.66, 71.85, 72.46, 1578000, 71.86, 0, 1, 71.945, -999
20141118, 72.08, 72.61, 71.81, 72.2, 1677100, 71.61, 0, 1, 71.845, -999
20141117, 71.43, 72.32, 71.34, 72.16, 1652500, 71.57, 0, 1, 71.5, -999
20141114, 72.01, 72.1, 71.39, 71.57, 2888400, 70.98, 0, 1, 71.495, -999
20141113, 72.78, 73.13, 72.07, 72.26, 2599300, 71.67, 0, 1, 72.225, -999
20141112, 72.35, 73.31, 72.05, 72.71, 2838000, 72.11, 0, 1, 72.23, -999
20141111, 74.17, 74.39, 73.57, 73.91, 2472200, 73.3, 0, 1, 73.735, -999
20141110, 73.89, 74.49, 73.41, 74.36, 2097400, 73.75, 0, 1, 73.82, -999
20141107, 73.42, 73.92, 73.18, 73.89, 2038500, 73.28, 0, 1, 73.35, -999
20141106, 74.18, 74.24, 72.56, 73.08, 3884700, 72.48, 0, 1, 73.33, -999
20141105, 72.1, 74.59, 71.91, 74.18, 4824700, 73.57, 0, 1, 72.835, -999
20141104, 72.61, 72.82, 71.42, 71.82, 1964500, 71.23, 0, 1, 71.92, -999
20141103, 71.53, 72.94, 71.47, 72.56, 3224200, 71.96, 0, 1, 71.745, -999
20141031, 70.04, 71.79, 70.04, 71.3, 4292900, 70.71, 0, 1, 70.375, -999
20141030, 70.45, 71.67, 69.68, 71.58, 3766900, 70.99, 0, 1, 70.72, -999
