Ticker: EA  Created on: 12/6/2014 5:24:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 46.52, 47.13, 46.16, 46.66, 3758700, 46.66, 0, 1, 46.59, -999
20141204, 45.8, 46.98, 45.48, 46.49, 6607800, 46.49, 0, 1, 46.145, -999
20141203, 43.44, 46.23, 43.44, 45.99, 7363300, 45.99, 0, 1, 44.715, -999
20141202, 43.21, 43.84, 43.13, 43.63, 2892800, 43.63, 0, 1, 43.42, -999
20141201, 43.76, 43.86, 43.04, 43.15, 3632800, 43.15, 0, 1, 43.455, -999
20141128, 44.09, 44.19, 43.56, 43.93, 2135100, 43.93, 0, 1, 44.01, -999
20141126, 43.93, 43.97, 43.52, 43.68, 3562700, 43.68, 0, 1, 43.805, -999
20141125, 43.62, 44.5, 43.57, 44.01, 4211900, 44.01, 0, 1, 43.815, -999
20141124, 43.56, 43.79, 43.39, 43.6, 3128100, 43.6, 0, 1, 43.58, -999
20141121, 43.67, 44.06, 43.25, 43.5, 3328500, 43.5, 0, 1, 43.585, -999
20141120, 43.26, 43.48, 43.07, 43.15, 5915400, 43.15, 0, 1, 43.205, -999
20141119, 42.87, 43.73, 42.35, 43.45, 6215300, 43.45, 0, 1, 43.16, -999
20141118, 41.82, 42.89, 41.72, 42.87, 4571800, 42.87, 0, 1, 42.345, -999
20141117, 41.4, 41.95, 41.2, 41.4, 2293100, 41.4, 0, 1, 41.4, -999
20141114, 41.5, 41.64, 40.87, 41.47, 3687600, 41.47, 0, 1, 41.485, -999
20141113, 41.34, 41.72, 41.07, 41.45, 3780900, 41.45, 0, 1, 41.395, -999
20141112, 41.06, 41.28, 40.58, 41.2, 2820000, 41.2, 0, 1, 41.13, -999
20141111, 41.29, 41.42, 41.02, 41.14, 2150700, 41.14, 0, 1, 41.215, -999
20141110, 40.98, 41.43, 40.61, 41.26, 4467300, 41.26, 0, 1, 41.12, -999
20141107, 40.74, 41, 40.11, 40.94, 3717600, 40.94, 0, 1, 40.84, -999
20141106, 40.77, 41.14, 40.72, 40.8, 2099100, 40.8, 0, 1, 40.785, -999
20141105, 40.92, 41.08, 40.18, 40.73, 2691900, 40.73, 0, 1, 40.825, -999
20141104, 40.75, 41, 40.4, 40.64, 4099400, 40.64, 0, 1, 40.695, -999
20141103, 41.16, 41.45, 40.72, 40.96, 4294700, 40.96, 0, 1, 41.06, -999
