Ticker: EBAY  Created on: 12/6/2014 5:24:23 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 54.89, 54.89, 54.51, 54.81, 5588500, 54.81, 0, 1, 54.85, -999
20141204, 54.63, 54.75, 54.45, 54.67, 5646600, 54.67, 0, 1, 54.65, -999
20141203, 55.03, 55.03, 54.5, 54.81, 5359800, 54.81, 0, 1, 54.92, -999
20141202, 54.86, 55.4, 54.55, 55.02, 5964300, 55.02, 0, 1, 54.94, -999
20141201, 54.76, 55.12, 54.42, 54.87, 6802300, 54.87, 0, 1, 54.815, -999
20141128, 54.9, 55.2, 54.58, 54.88, 2969600, 54.88, 0, 1, 54.89, -999
20141126, 54.56, 54.68, 54.3, 54.57, 3989500, 54.57, 0, 1, 54.565, -999
20141125, 54.23, 54.69, 54.23, 54.4, 6635400, 54.4, 0, 1, 54.315, -999
20141124, 54.68, 54.7, 54.23, 54.39, 6067100, 54.39, 0, 1, 54.535, -999
20141121, 54.75, 54.85, 54.23, 54.42, 8439900, 54.42, 0, 1, 54.585, -999
20141120, 54.51, 54.72, 54.32, 54.54, 5554200, 54.54, 0, 1, 54.525, -999
20141119, 55.33, 55.33, 54.26, 54.94, 6721400, 54.94, 0, 1, 55.135, -999
20141118, 54.81, 55.66, 54.7, 55.38, 6966200, 55.38, 0, 1, 55.095, -999
20141117, 54.37, 55.1, 54.37, 54.83, 7775000, 54.83, 0, 1, 54.6, -999
20141114, 54.27, 54.61, 54.06, 54.36, 4971300, 54.36, 0, 1, 54.315, -999
20141113, 54.06, 54.62, 53.93, 54.37, 7812900, 54.37, 0, 1, 54.215, -999
20141112, 53.81, 54.35, 53.3, 54.06, 6058900, 54.06, 0, 1, 53.935, -999
20141111, 54.17, 54.36, 53.48, 54.19, 7094800, 54.19, 0, 1, 54.18, -999
20141110, 53.47, 53.94, 53.26, 53.89, 5264800, 53.89, 0, 1, 53.68, -999
20141107, 53.35, 53.73, 53.11, 53.52, 5415100, 53.52, 0, 1, 53.435, -999
20141106, 53.62, 53.65, 52.99, 53.26, 5893400, 53.26, 0, 1, 53.44, -999
20141105, 53.47, 53.75, 53.32, 53.59, 10761800, 53.59, 0, 1, 53.53, -999
20141104, 52.56, 53.33, 52.36, 53.27, 7727900, 53.27, 0, 1, 52.915, -999
20141103, 52.32, 52.95, 52.29, 52.7, 6985900, 52.7, 0, 1, 52.51, -999
20141031, 52.68, 52.73, 51.98, 52.5, 8298300, 52.5, 0, 1, 52.59, -999
20141030, 51.05, 52, 50.92, 51.55, 6923200, 51.55, 0, 1, 51.3, -999
20141029, 50.79, 51.41, 50.74, 51.33, 7322900, 51.33, 0, 1, 51.06, -999
