Ticker: ECL  Created on: 12/6/2014 5:24:24 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 109.68, 110.41, 108.82, 109.04, 1328300, 109.04, 0, 1, 109.36, -999
20141204, 109.2, 109.82, 108.85, 109.53, 1603300, 109.53, 0, 1, 109.365, -999
20141203, 106.13, 109.3, 106.07, 109.25, 2633200, 109.25, 0, 1, 107.69, -999
20141202, 104, 106.46, 103.81, 106.23, 2826000, 106.23, 0, 1, 105.115, -999
20141201, 106.6, 108.01, 103.92, 104.3, 3253100, 104.3, 0, 1, 105.45, -999
20141128, 113.35, 113.35, 108.09, 108.95, 1678100, 108.95, 0, 1, 111.15, -999
20141126, 113.31, 113.8, 112.5, 113.75, 787200, 113.75, 0, 1, 113.53, -999
20141125, 114.4, 114.72, 113.42, 113.5, 1046200, 113.5, 0, 1, 113.95, -999
20141124, 114.57, 114.81, 113.55, 114.5, 786700, 114.5, 0, 1, 114.535, -999
20141121, 114.53, 115.19, 114.14, 114.56, 1051600, 114.56, 0, 1, 114.545, -999
20141120, 112.48, 113.63, 112.45, 113.46, 590000, 113.46, 0, 1, 112.97, -999
20141119, 113.26, 113.48, 112.74, 113.22, 913300, 113.22, 0, 1, 113.24, -999
20141118, 112.44, 113.39, 112, 113.18, 893200, 113.18, 0, 1, 112.81, -999
20141117, 112.34, 113.13, 112.13, 112.19, 641400, 112.19, 0, 1, 112.265, -999
20141114, 112.84, 112.88, 112.18, 112.41, 1040400, 112.41, 0, 1, 112.625, -999
20141113, 113.3, 113.67, 112.44, 112.95, 1061000, 112.95, 0, 1, 113.125, -999
20141112, 112.78, 113.4, 112.44, 112.98, 652000, 112.98, 0, 1, 112.88, -999
20141111, 112.15, 113.37, 111.95, 112.79, 536900, 112.79, 0, 1, 112.47, -999
20141110, 112.45, 112.82, 112.17, 112.73, 505100, 112.73, 0, 1, 112.59, -999
20141107, 112.02, 112.63, 111.95, 112.48, 737200, 112.48, 0, 1, 112.25, -999
20141106, 110.82, 111.99, 110.27, 111.94, 875300, 111.94, 0, 1, 111.38, -999
20141105, 110.16, 110.81, 109.5, 110.46, 1325300, 110.46, 0, 1, 110.31, -999
20141104, 110.05, 110.28, 108.71, 109.35, 1253500, 109.35, 0, 1, 109.7, -999
20141103, 111.64, 111.64, 109.89, 110.1, 1634500, 110.1, 0, 1, 110.87, -999
20141031, 109.91, 111.35, 109.05, 111.23, 1526900, 111.23, 0, 1, 110.57, -999
20141030, 107.7, 108.71, 106.9, 108.35, 865400, 108.35, 0, 1, 108.025, -999
20141029, 110.3, 110.44, 107.06, 108.16, 4439500, 108.16, 0, 1, 109.23, -999
20141028, 111.74, 113.57, 110.13, 110.61, 1626700, 110.61, 0, 1, 111.175, -999
20141027, 112.54, 112.54, 110.26, 110.64, 1847800, 110.64, 0, 1, 111.59, -999
20141024, 112.56, 112.99, 111.66, 112.72, 833800, 112.72, 0, 1, 112.64, -999
20141023, 113.72, 113.72, 112.3, 112.56, 1080400, 112.56, 0, 1, 113.14, -999
20141022, 112.92, 114.15, 112.39, 112.41, 1398600, 112.41, 0, 1, 112.665, -999
20141021, 110.56, 112.79, 110.28, 112.7, 1187200, 112.7, 0, 1, 111.63, -999
20141020, 107.98, 109.96, 107.92, 109.95, 885100, 109.95, 0, 1, 108.965, -999
20141017, 106.22, 109.19, 106.22, 107.89, 1865900, 107.89, 0, 1, 107.055, -999
20141016, 103.55, 106.35, 103.4, 105.39, 2736400, 105.39, 0, 1, 104.47, -999
20141015, 106.08, 106.1, 103.76, 105.34, 3094400, 105.34, 0, 1, 105.71, -999
20141014, 108.31, 108.64, 106.41, 106.98, 1590800, 106.98, 0, 1, 107.645, -999
20141013, 109.45, 109.82, 107.47, 107.54, 1127600, 107.54, 0, 1, 108.495, -999
20141010, 110.45, 110.93, 109.28, 109.28, 1304600, 109.28, 0, 1, 109.865, -999
20141009, 113.36, 113.77, 110.47, 110.66, 1405000, 110.66, 0, 1, 112.01, -999
20141008, 111.7, 113.57, 110.78, 113.5, 1022200, 113.5, 0, 1, 112.6, -999
20141007, 112.93, 113.13, 111.8, 111.81, 1014800, 111.81, 0, 1, 112.37, -999
20141006, 115, 115.39, 113.3, 113.42, 1033600, 113.42, 0, 1, 114.21, -999
20141003, 113.66, 114.8, 113.53, 114.65, 999800, 114.65, 0, 1, 114.155, -999
20141002, 112.43, 113.46, 111.53, 113.3, 1300500, 113.3, 0, 1, 112.865, -999
20141001, 114.89, 114.89, 112.32, 112.7, 1391000, 112.7, 0, 1, 113.795, -999
20140930, 116.25, 116.69, 114.5, 114.83, 1118300, 114.83, 0, 1, 115.54, -999
20140929, 116.06, 116.71, 115.71, 116.32, 724000, 116.32, 0, 1, 116.19, -999
