Ticker: EFX  Created on: 12/6/2014 5:24:28 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 80.82, 81.17, 80.79, 80.94, 573500, 80.94, 0, 1, 80.88, -999
20141204, 81.48, 82, 80.77, 80.91, 516900, 80.91, 0, 1, 81.195, -999
20141203, 80.35, 81.56, 80.01, 81.39, 719100, 81.39, 0, 1, 80.87, -999
20141202, 79.43, 80, 79.02, 79.99, 418200, 79.99, 0, 1, 79.71, -999
20141201, 79.43, 80.41, 79.08, 79.4, 701500, 79.4, 0, 1, 79.415, -999
20141128, 79.31, 80, 79.28, 79.55, 172400, 79.55, 0, 1, 79.43, -999
20141126, 79.93, 80, 79.1, 79.35, 398100, 79.35, 0, 1, 79.64, -999
20141125, 79.44, 79.94, 79.22, 79.67, 575000, 79.67, 0, 1, 79.555, -999
20141124, 78.74, 79.77, 78.16, 79.61, 638400, 79.61, 0, 1, 79.175, -999
20141121, 78.84, 78.94, 78.16, 78.53, 487100, 78.53, 0, 1, 78.685, -999
20141120, 77.9, 78.19, 77.43, 78.19, 407400, 78.19, 0, 1, 78.045, -999
20141119, 78.51, 78.88, 78, 78.3, 541000, 78.05, 0, 1, 78.28, -999
20141118, 77.99, 79, 77.7, 78.76, 545400, 78.51, 0, 1, 78.25, -999
20141117, 77.92, 78.47, 77.65, 78.13, 347500, 77.88, 0, 1, 77.9, -999
20141114, 78.42, 78.59, 77.72, 78.2, 293500, 77.95, 0, 1, 78.185, -999
20141113, 78.65, 78.96, 78.01, 78.33, 405200, 78.08, 0, 1, 78.365, -999
20141112, 78.07, 78.79, 77.88, 78.65, 393300, 78.4, 0, 1, 78.235, -999
20141111, 78.25, 78.65, 77.98, 78.23, 374900, 77.98, 0, 1, 78.115, -999
20141110, 77.67, 78.27, 77.57, 78.26, 302500, 78.01, 0, 1, 77.84, -999
20141107, 77.6, 77.77, 77.11, 77.77, 491500, 77.52, 0, 1, 77.56, -999
20141106, 76.69, 77.55, 76.45, 77.54, 478300, 77.29, 0, 1, 76.99, -999
20141105, 75.75, 76.6, 75.54, 76.43, 552500, 76.19, 0, 1, 75.97, -999
20141104, 75.86, 76.08, 75.46, 75.54, 376400, 75.3, 0, 1, 75.58, -999
20141103, 75.81, 76.22, 75.36, 75.95, 524000, 75.71, 0, 1, 75.76, -999
20141031, 76.62, 76.68, 75.37, 75.74, 569600, 75.5, 0, 1, 76.06, -999
20141030, 74.5, 75.89, 74.34, 75.56, 619700, 75.32, 0, 1, 74.91, -999
20141029, 75.58, 75.97, 74.41, 74.86, 576800, 74.62, 0, 1, 75.1, -999
20141028, 75.21, 75.76, 75.12, 75.76, 424500, 75.52, 0, 1, 75.365, -999
20141027, 73.75, 74.84, 73.49, 74.8, 600900, 74.56, 0, 1, 74.155, -999
20141024, 72.84, 73.96, 72.46, 73.89, 983800, 73.65, 0, 1, 73.245, -999
20141023, 74.06, 74.55, 72.62, 72.78, 1052500, 72.55, 0, 1, 73.305, -999
20141022, 74.57, 74.79, 73.82, 73.86, 700900, 73.62, 0, 1, 74.095, -999
20141021, 73.68, 74.91, 73.33, 74.74, 744800, 74.5, 0, 1, 74.09, -999
20141020, 72.5, 73, 72.46, 72.95, 559900, 72.72, 0, 1, 72.61, -999
20141017, 72.41, 73.1, 71.9, 72.88, 568300, 72.65, 0, 1, 72.53, -999
20141016, 69.38, 71.95, 69.18, 71.75, 1088200, 71.52, 0, 1, 70.45, -999
20141015, 70.28, 70.72, 69.04, 70.37, 656700, 70.15, 0, 1, 70.215, -999
20141014, 71.02, 71.8, 70.8, 71.22, 502800, 70.99, 0, 1, 71.005, -999
20141013, 71.81, 72.04, 70.6, 70.71, 599100, 70.48, 0, 1, 71.145, -999
