Ticker: EIX  Created on: 12/6/2014 5:24:24 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 63.91, 64.54, 63.15, 63.63, 1529300, 63.63, 0, 1, 63.77, -999
20141204, 64.28, 64.65, 63.9, 64.41, 1108900, 64.41, 0, 1, 64.345, -999
20141203, 64.21, 64.27, 63.53, 64.21, 1364500, 64.21, 0, 1, 64.21, -999
20141202, 63.48, 64.47, 63.18, 64.26, 1789300, 64.26, 0, 1, 63.87, -999
20141201, 63.13, 64.1, 62.79, 63.6, 2491600, 63.6, 0, 1, 63.365, -999
20141128, 62.78, 63.66, 62.64, 63.56, 876200, 63.56, 0, 1, 63.17, -999
20141126, 62.57, 62.8, 62.23, 62.61, 1307200, 62.61, 0, 1, 62.59, -999
20141125, 62.28, 62.57, 61.46, 62.4, 2264000, 62.4, 0, 1, 62.34, -999
20141124, 62.57, 62.62, 61.86, 62.11, 1739800, 62.11, 0, 1, 62.34, -999
20141121, 62.91, 62.92, 61.64, 62.45, 2260100, 62.45, 0, 1, 62.68, -999
20141120, 62.37, 63, 62.14, 62.25, 1797000, 62.25, 0, 1, 62.31, -999
20141119, 62.53, 62.63, 62.14, 62.55, 1850100, 62.55, 0, 1, 62.54, -999
20141118, 62.77, 63.06, 62.2, 62.7, 2121000, 62.7, 0, 1, 62.735, -999
20141117, 61.59, 62.74, 61.52, 62.72, 2486200, 62.72, 0, 1, 62.155, -999
20141114, 61.54, 62.14, 61.39, 61.76, 1957800, 61.76, 0, 1, 61.65, -999
20141113, 62.35, 62.61, 61.61, 61.68, 1691000, 61.68, 0, 1, 62.015, -999
20141112, 62.77, 62.88, 61.87, 62.4, 3282800, 62.4, 0, 1, 62.585, -999
20141111, 63.02, 63.29, 62.72, 63.21, 1569500, 63.21, 0, 1, 63.115, -999
20141110, 62.42, 63.09, 62.27, 63.08, 2084800, 63.08, 0, 1, 62.75, -999
20141107, 62.06, 62.45, 61.95, 62.38, 3067200, 62.38, 0, 1, 62.22, -999
20141106, 62.51, 63.05, 61.57, 61.99, 2428700, 61.99, 0, 1, 62.25, -999
20141105, 62.92, 63.48, 62.57, 63.02, 5272800, 63.02, 0, 1, 62.97, -999
20141104, 63.34, 63.51, 62.19, 62.31, 2237300, 62.31, 0, 1, 62.825, -999
20141103, 62.67, 63.31, 62.55, 63.24, 2152300, 63.24, 0, 1, 62.955, -999
20141031, 62.72, 62.8, 62.14, 62.58, 3833200, 62.58, 0, 1, 62.65, -999
20141030, 61.1, 62.85, 60.98, 62.56, 3951100, 62.56, 0, 1, 61.83, -999
20141029, 62, 62.9, 60.69, 61.38, 2588300, 61.38, 0, 1, 61.69, -999
20141028, 60.94, 61.79, 60.63, 61.76, 2554100, 61.76, 0, 1, 61.35, -999
20141027, 60.76, 61.24, 60.57, 60.87, 1293000, 60.87, 0, 1, 60.815, -999
20141024, 60.01, 60.74, 59.68, 60.65, 1748800, 60.65, 0, 1, 60.33, -999
20141023, 60.56, 60.77, 59.67, 59.85, 2783100, 59.85, 0, 1, 60.205, -999
20141022, 59.92, 60.93, 59.8, 60.33, 1816100, 60.33, 0, 1, 60.125, -999
20141021, 60, 60, 59.34, 59.93, 2168300, 59.93, 0, 1, 59.965, -999
20141020, 58.76, 60, 58.76, 59.82, 2749500, 59.82, 0, 1, 59.29, -999
20141017, 58.66, 59.02, 58.05, 58.76, 2415300, 58.76, 0, 1, 58.71, -999
20141016, 58.35, 58.59, 57.14, 58.39, 3285100, 58.39, 0, 1, 58.37, -999
20141015, 59.82, 59.95, 57.74, 59.04, 3002400, 59.04, 0, 1, 59.43, -999
20141014, 58.46, 60, 57.85, 59.8, 3990400, 59.8, 0, 1, 59.13, -999
20141013, 57.8, 58.77, 57.62, 58.14, 2266100, 58.14, 0, 1, 57.97, -999
20141010, 57.43, 58.06, 57.04, 57.72, 3008100, 57.72, 0, 1, 57.575, -999
20141009, 58.06, 58.19, 57.05, 57.1, 3093200, 57.1, 0, 1, 57.58, -999
20141008, 56.82, 58.15, 56.69, 58.06, 2370900, 58.06, 0, 1, 57.44, -999
20141007, 56.6, 57.36, 56.53, 56.69, 2336000, 56.69, 0, 1, 56.645, -999
20141006, 56.83, 57.19, 56.5, 56.85, 1321400, 56.85, 0, 1, 56.84, -999
20141003, 56.43, 56.79, 55.96, 56.6, 1375600, 56.6, 0, 1, 56.515, -999
20141002, 56.64, 57.11, 56.18, 56.3, 2202200, 56.3, 0, 1, 56.47, -999
20141001, 56.01, 57.21, 55.88, 56.68, 2693200, 56.68, 0, 1, 56.345, -999
20140930, 55.88, 56.56, 55.65, 55.92, 1593400, 55.92, 0, 1, 55.9, -999
20140929, 54.5, 55.85, 54.12, 55.75, 1973300, 55.75, 0, 1, 55.125, -999
20140926, 55.72, 55.98, 55.08, 55.79, 2005300, 55.79, 0.355, 1, 55.755, -999
20140925, 56.5, 56.83, 56.01, 56.02, 1726800, 55.66, 0, 1, 56.08, -999
20140924, 56.99, 57.06, 56.26, 56.52, 1862300, 56.16, 0, 1, 56.575, -999
20140923, 57.27, 57.35, 56.58, 56.82, 2456100, 56.46, 0, 1, 56.865, -999
20140922, 57.91, 58, 57.28, 57.3, 1532200, 56.94, 0, 1, 57.425, -999
20140919, 57.91, 58.06, 57.69, 57.91, 1827400, 57.54, 0, 1, 57.725, -999
20140918, 58.08, 58.25, 57.62, 57.71, 2503100, 57.34, 0, 1, 57.71, -999
20140917, 58.34, 58.43, 57.84, 58.07, 1717100, 57.7, 0, 1, 58.02, -999
20140916, 57.09, 58.25, 57.08, 58.12, 1954800, 57.75, 0, 1, 57.42, -999
20140915, 57.12, 57.44, 56.87, 57.12, 1944900, 56.76, 0, 1, 56.94, -999
20140912, 57.74, 57.76, 56.73, 56.88, 1233300, 56.52, 0, 1, 57.13, -999
20140911, 57.72, 58, 57.28, 58, 1628100, 57.63, 0, 1, 57.675, -999
20140910, 57.96, 58.02, 57.44, 57.66, 1325700, 57.29, 0, 1, 57.625, -999
20140909, 58.56, 58.65, 57.88, 57.96, 1307300, 57.59, 0, 1, 58.075, -999
20140908, 59.28, 59.38, 58.34, 58.71, 2369200, 58.34, 0, 1, 58.81, -999
20140905, 58.99, 59.54, 58.99, 59.48, 1084000, 59.1, 0, 1, 59.045, -999
20140904, 59.17, 59.3, 58.58, 58.99, 1975800, 58.62, 0, 1, 58.895, -999
20140903, 58.86, 59.53, 58.76, 59.3, 2490000, 58.92, 0, 1, 58.89, -999
20140902, 59.25, 59.35, 58.23, 58.64, 2283000, 58.27, 0, 1, 58.76, -999
20140829, 58.49, 59.15, 58.36, 59.14, 1582900, 58.77, 0, 1, 58.63, -999
20140828, 58.16, 58.63, 57.96, 58.47, 1733900, 58.1, 0, 1, 58.13, -999
20140827, 57.7, 58.38, 57.6, 58.35, 1889000, 57.98, 0, 1, 57.84, -999
20140826, 58.65, 58.83, 57.63, 57.74, 1692100, 57.37, 0, 1, 58.01, -999
20140825, 58.78, 58.91, 58.39, 58.6, 1135600, 58.23, 0, 1, 58.505, -999
20140822, 58.02, 58.91, 58.02, 58.49, 1428600, 58.12, 0, 1, 58.07, -999
20140821, 58.76, 59.18, 58.23, 58.32, 1728700, 57.95, 0, 1, 58.355, -999
20140820, 58.39, 58.83, 58.32, 58.74, 1359900, 58.37, 0, 1, 58.38, -999
20140819, 57.53, 58.56, 57.52, 58.42, 2610800, 58.05, 0, 1, 57.79, -999
20140818, 57.42, 57.84, 57.18, 57.54, 1672300, 57.18, 0, 1, 57.3, -999
20140815, 57.18, 57.7, 56.84, 57.35, 2236300, 56.99, 0, 1, 57.085, -999
20140814, 56.69, 57.14, 56.49, 57.06, 1843300, 56.7, 0, 1, 56.695, -999
20140813, 56.22, 56.63, 55.96, 56.48, 2547900, 56.12, 0, 1, 56.17, -999
20140812, 56.42, 56.56, 56.12, 56.15, 1649400, 55.79, 0, 1, 56.105, -999
20140811, 57.18, 57.29, 56.46, 56.49, 2718200, 56.13, 0, 1, 56.655, -999
20140808, 55.58, 56.98, 55.58, 56.92, 3067200, 56.56, 0, 1, 56.07, -999
20140807, 55.01, 55.7, 54.99, 55.55, 2452600, 55.2, 0, 1, 55.105, -999
20140806, 55.38, 55.62, 54.32, 54.86, 4375100, 54.51, 0, 1, 54.945, -999
20140805, 55.69, 56.15, 55.24, 55.65, 3322500, 55.3, 0, 1, 55.495, -999
20140804, 55.85, 56.01, 54.51, 55.83, 4429000, 55.48, 0, 1, 55.665, -999
20140801, 55.2, 56.54, 55.2, 55.94, 3219600, 55.59, 0, 1, 55.395, -999
20140731, 55.38, 55.87, 54.72, 54.8, 1855300, 54.45, 0, 1, 54.915, -999
20140730, 57.17, 57.19, 55.58, 55.78, 1684000, 55.43, 0, 1, 56.3, -999
20140729, 57.47, 57.87, 57.01, 57.02, 1701600, 56.66, 0, 1, 57.065, -999
20140728, 56.6, 57.63, 56.46, 57.47, 1142600, 57.11, 0, 1, 56.855, -999
20140725, 57.29, 57.88, 56.56, 56.62, 1349400, 56.26, 0, 1, 56.775, -999
20140724, 56.76, 57.19, 56.58, 56.96, 977100, 56.6, 0, 1, 56.68, -999
20140723, 56.93, 57.09, 56.58, 56.65, 939400, 56.29, 0, 1, 56.61, -999
20140722, 57.2, 57.26, 56.95, 56.96, 1008100, 56.6, 0, 1, 56.9, -999
20140721, 56.98, 57.28, 56.69, 57, 1066300, 56.64, 0, 1, 56.81, -999
20140718, 56.78, 57.13, 56.37, 57.11, 1241300, 56.75, 0, 1, 56.765, -999
20140717, 56.88, 57.12, 56.51, 56.55, 1834400, 56.19, 0, 1, 56.535, -999
20140716, 56.63, 56.81, 56.29, 56.8, 1550300, 56.44, 0, 1, 56.535, -999
20140715, 55.99, 56.77, 55.99, 56.55, 1935600, 56.19, 0, 1, 56.09, -999
20140714, 56.79, 56.8, 55.87, 55.96, 2225000, 55.61, 0, 1, 56.2, -999
20140711, 56.95, 57.03, 56.38, 56.62, 1317000, 56.26, 0, 1, 56.605, -999
20140710, 56.29, 57.16, 56.29, 56.99, 1344700, 56.63, 0, 1, 56.46, -999
20140709, 56.7, 56.78, 56.12, 56.44, 1425900, 56.08, 0, 1, 56.39, -999
20140708, 56.32, 56.89, 56.24, 56.72, 2224200, 56.36, 0, 1, 56.34, -999
