Ticker: EL  Created on: 12/6/2014 5:24:29 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 74.25, 74.67, 74.02, 74.66, 1594100, 74.66, 0, 1, 74.455, -999
20141204, 74.32, 74.75, 73.91, 74.36, 1708500, 74.36, 0, 1, 74.34, -999
20141203, 73.99, 74.69, 73.49, 74.61, 2570100, 74.61, 0, 1, 74.3, -999
20141202, 73.74, 74.32, 73.56, 74.26, 1471400, 74.26, 0, 1, 74, -999
20141201, 73.69, 74.29, 73.58, 73.74, 1486300, 73.74, 0, 1, 73.715, -999
20141128, 73.36, 74.32, 73.17, 74.14, 1097600, 74.14, 0, 1, 73.75, -999
20141126, 73.23, 73.64, 72.88, 73.21, 861500, 73.21, 0, 1, 73.22, -999
20141125, 72.91, 73.78, 72.68, 73.26, 2244600, 73.26, 0, 1, 73.085, -999
20141124, 73.57, 73.93, 72.71, 72.76, 1534800, 72.52, 0, 1, 73.045, -999
20141121, 73.6, 73.87, 73.04, 73.04, 2339300, 72.8, 0, 1, 73.2, -999
20141120, 72.78, 73.52, 72.46, 72.85, 1705100, 72.61, 0, 1, 72.695, -999
20141119, 71.93, 72.83, 71.55, 72.81, 1646500, 72.57, 0, 1, 72.25, -999
20141118, 71.06, 72.4, 71.06, 72.03, 2896900, 71.79, 0, 1, 71.425, -999
20141117, 71.3, 71.38, 70.8, 71.12, 1656600, 70.89, 0, 1, 71.095, -999
20141114, 72.52, 72.56, 71.12, 71.33, 2244600, 71.09, 0, 1, 71.805, -999
20141113, 72.5, 72.96, 71.75, 72.55, 2470200, 72.31, 0, 1, 72.405, -999
20141112, 72.53, 72.89, 72.28, 72.62, 1342900, 72.38, 0, 1, 72.455, -999
20141111, 72.72, 73.15, 72.54, 72.7, 1255500, 72.46, 0, 1, 72.59, -999
20141110, 72.61, 73.43, 72.32, 72.83, 1564700, 72.59, 0, 1, 72.6, -999
20141107, 71.26, 72.62, 70.96, 72.58, 2815600, 72.34, 0, 1, 71.8, -999
20141106, 70.98, 72.19, 70.98, 71.83, 3857300, 71.59, 0, 1, 71.285, -999
20141105, 72.26, 72.39, 70.97, 71.2, 4355600, 70.97, 0, 1, 71.615, -999
20141104, 73.15, 73.92, 71.96, 72, 4669900, 71.76, 0, 1, 72.455, -999
20141103, 75.4, 76, 75.12, 75.96, 2887500, 75.71, 0, 1, 75.555, -999
20141031, 75.51, 75.69, 74.85, 75.18, 1532600, 74.93, 0, 1, 75.22, -999
20141030, 74.55, 75.14, 74.07, 74.94, 944700, 74.69, 0, 1, 74.62, -999
20141029, 75.04, 75.41, 74.39, 74.72, 1215300, 74.47, 0, 1, 74.755, -999
20141028, 74.86, 75.14, 74.42, 75.07, 938800, 74.82, 0, 1, 74.84, -999
