Ticker: EMC  Created on: 12/6/2014 5:24:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 30.31, 30.46, 30.24, 30.33, 8599000, 30.33, 0, 1, 30.32, -999
20141204, 30.27, 30.44, 30.1, 30.32, 9321400, 30.32, 0, 1, 30.295, -999
20141203, 30.19, 30.36, 30.16, 30.31, 9882700, 30.31, 0, 1, 30.25, -999
20141202, 30.29, 30.36, 29.97, 30.21, 8420100, 30.21, 0, 1, 30.25, -999
20141201, 30.23, 30.47, 30.16, 30.29, 10491600, 30.29, 0, 1, 30.26, -999
20141128, 30.25, 30.54, 30.15, 30.35, 6165000, 30.35, 0, 1, 30.3, -999
20141126, 29.89, 30.12, 29.84, 30.04, 8939100, 30.04, 0, 1, 29.965, -999
20141125, 29.92, 30.08, 29.81, 29.89, 8182300, 29.89, 0, 1, 29.905, -999
20141124, 29.98, 30.11, 29.65, 29.87, 10341000, 29.87, 0, 1, 29.925, -999
20141121, 30.29, 30.34, 29.85, 29.9, 10173800, 29.9, 0, 1, 30.095, -999
20141120, 29.82, 30.15, 29.73, 29.86, 12716800, 29.86, 0, 1, 29.84, -999
20141119, 30.39, 30.39, 29.72, 29.93, 17821900, 29.93, 0, 1, 30.16, -999
20141118, 30.28, 30.66, 30.25, 30.39, 14849600, 30.39, 0, 1, 30.335, -999
20141117, 29.95, 30.39, 29.78, 30.38, 17902900, 30.38, 0, 1, 30.165, -999
20141114, 29.44, 30.13, 29.44, 30.05, 18904400, 30.05, 0, 1, 29.745, -999
20141113, 29.3, 29.58, 29.28, 29.42, 10442400, 29.42, 0, 1, 29.36, -999
20141112, 28.91, 29.44, 28.78, 29.43, 9826900, 29.43, 0, 1, 29.17, -999
20141111, 29.25, 29.3, 28.96, 29.02, 9052400, 29.02, 0, 1, 29.135, -999
20141110, 29.1, 29.24, 28.97, 29.16, 8664600, 29.16, 0, 1, 29.13, -999
20141107, 29.24, 29.41, 29.02, 29.12, 9587500, 29.12, 0, 1, 29.18, -999
20141106, 29.03, 29.34, 28.93, 29.31, 11689400, 29.31, 0, 1, 29.17, -999
20141105, 29.02, 29.14, 28.56, 29.04, 11200200, 29.04, 0, 1, 29.03, -999
20141104, 29.02, 29.25, 28.9, 28.91, 8397700, 28.91, 0, 1, 28.965, -999
20141103, 28.8, 29.2, 28.75, 29.07, 11257100, 29.07, 0, 1, 28.935, -999
20141031, 28.71, 28.89, 28.6, 28.73, 12617100, 28.73, 0, 1, 28.72, -999
20141030, 28.28, 28.68, 28.24, 28.46, 11946800, 28.46, 0, 1, 28.37, -999
20141029, 28.51, 28.82, 28.23, 28.35, 9382100, 28.35, 0, 1, 28.43, -999
20141028, 28.22, 28.54, 28.21, 28.48, 16894000, 28.48, 0, 1, 28.35, -999
