Ticker: EMN  Created on: 12/6/2014 5:24:23 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 81.93, 82.12, 80.13, 80.51, 2514600, 80.51, 0, 1, 81.22, -999
20141204, 84, 84.19, 82.77, 83.22, 1553900, 83.22, 0, 1, 83.61, -999
20141203, 83.42, 84.6, 83.09, 84.35, 1402500, 84.35, 0, 1, 83.885, -999
20141202, 82.66, 83.8, 82.15, 83.66, 1264400, 83.66, 0, 1, 83.16, -999
20141201, 82.99, 82.99, 81.37, 82.16, 1443700, 82.16, 0, 1, 82.575, -999
20141128, 85.9, 85.9, 82.71, 82.92, 1212400, 82.92, 0, 1, 84.41, -999
20141126, 86.48, 86.81, 85.51, 86.76, 642000, 86.76, 0, 1, 86.62, -999
20141125, 86.87, 87.61, 86.29, 86.4, 908200, 86.4, 0, 1, 86.635, -999
20141124, 87.9, 87.95, 86.78, 87.28, 1574000, 87.28, 0, 1, 87.59, -999
20141121, 87.26, 88.93, 87.26, 87.85, 1812800, 87.85, 0, 1, 87.555, -999
20141120, 84.98, 86, 84.77, 86, 1219500, 86, 0, 1, 85.49, -999
20141119, 85.44, 85.54, 84.69, 85.27, 1475200, 85.27, 0, 1, 85.355, -999
20141118, 84.1, 85.59, 83.7, 85.49, 951400, 85.49, 0, 1, 84.795, -999
20141117, 83.82, 84.08, 83.61, 83.95, 650900, 83.95, 0, 1, 83.885, -999
20141114, 83.88, 84.21, 83.45, 84.18, 723600, 84.18, 0, 1, 84.03, -999
20141113, 84.28, 84.29, 83.07, 83.57, 737400, 83.57, 0, 1, 83.925, -999
20141112, 84.17, 84.36, 83.41, 84.06, 1261500, 84.06, 0, 1, 84.115, -999
20141111, 83.77, 84.59, 83.44, 84.33, 1416900, 84.33, 0, 1, 84.05, -999
20141110, 82.39, 83.97, 82.3, 83.84, 2632900, 83.84, 0, 1, 83.115, -999
20141107, 82.43, 82.48, 81.24, 82.47, 1808000, 82.47, 0, 1, 82.45, -999
20141106, 82.22, 83.65, 81.6, 82.46, 1593900, 82.46, 0, 1, 82.34, -999
20141105, 81.02, 82.26, 80.98, 82.04, 1125500, 82.04, 0, 1, 81.53, -999
20141104, 82.47, 82.61, 80, 80.52, 2611900, 80.52, 0, 1, 81.495, -999
20141103, 82.51, 83.06, 81.72, 82.03, 2486300, 82.03, 0, 1, 82.27, -999
20141031, 78.32, 81.64, 77.45, 80.78, 3363000, 80.78, 0, 1, 79.55, -999
20141030, 74.01, 76, 74, 75.77, 1921800, 75.77, 0, 1, 74.89, -999
20141029, 76.47, 76.86, 74.08, 74.52, 2805600, 74.52, 0, 1, 75.495, -999
20141028, 74.99, 76.55, 74.52, 76.55, 1604600, 76.55, 0, 1, 75.77, -999
20141027, 76.72, 77.08, 73.7, 74.34, 2857900, 74.34, 0, 1, 75.53, -999
20141024, 77.97, 77.99, 76.21, 77.56, 1566300, 77.56, 0, 1, 77.765, -999
20141023, 78.37, 78.88, 77.27, 78, 1364500, 78, 0, 1, 78.185, -999
20141022, 78.58, 79.12, 77.59, 77.63, 1473300, 77.63, 0, 1, 78.105, -999
20141021, 77.18, 78.35, 75.61, 78.1, 1093200, 78.1, 0, 1, 77.64, -999
20141020, 74.82, 75.89, 74.48, 75.89, 1632900, 75.89, 0, 1, 75.355, -999
20141017, 75.25, 76.17, 74.8, 75.14, 1246800, 75.14, 0, 1, 75.195, -999
20141016, 72.03, 74.57, 72.03, 74.34, 1350500, 74.34, 0, 1, 73.185, -999
20141015, 71.85, 73.72, 70.38, 73.47, 1667200, 73.47, 0, 1, 72.66, -999
20141014, 71.81, 74.3, 71.75, 72.82, 2120400, 72.82, 0, 1, 72.315, -999
20141013, 74.57, 75.04, 71.46, 71.49, 1878700, 71.49, 0, 1, 73.03, -999
20141010, 75.78, 75.98, 73.76, 74.58, 2636400, 74.58, 0, 1, 75.18, -999
20141009, 78.24, 78.35, 76.05, 76.06, 1350600, 76.06, 0, 1, 77.15, -999
20141008, 77.48, 78.52, 76.47, 78.36, 1507600, 78.36, 0, 1, 77.92, -999
20141007, 78.79, 78.89, 77.6, 77.61, 1297900, 77.61, 0, 1, 78.2, -999
20141006, 79.4, 79.97, 79.18, 79.46, 1015000, 79.46, 0, 1, 79.43, -999
20141003, 79.04, 79.81, 78.67, 78.91, 1879300, 78.91, 0, 1, 78.975, -999
20141002, 78.78, 78.99, 77.35, 78.57, 1798200, 78.57, 0, 1, 78.675, -999
20141001, 80.69, 80.69, 78.81, 78.99, 1410300, 78.99, 0, 1, 79.84, -999
20140930, 82.33, 82.53, 80.73, 80.89, 1047400, 80.89, 0, 1, 81.61, -999
20140929, 82.17, 82.75, 81.76, 82.38, 679900, 82.38, 0, 1, 82.275, -999
20140926, 82.3, 82.82, 82.04, 82.67, 707600, 82.67, 0, 1, 82.485, -999
20140925, 83.72, 83.94, 82.22, 82.22, 1029600, 82.22, 0, 1, 82.97, -999
20140924, 83.1, 84.23, 82.86, 84.15, 957300, 84.15, 0, 1, 83.625, -999
20140923, 83.88, 83.88, 82.76, 82.78, 756600, 82.78, 0, 1, 83.33, -999
20140922, 84.72, 84.82, 83.76, 83.83, 1027600, 83.83, 0, 1, 84.275, -999
20140919, 84.94, 85.18, 84.46, 84.81, 1728400, 84.81, 0, 1, 84.875, -999
20140918, 84.05, 84.65, 83.93, 84.63, 956000, 84.63, 0, 1, 84.34, -999
20140917, 83.93, 84.2, 83.4, 83.56, 1234300, 83.56, 0, 1, 83.745, -999
20140916, 83.01, 84.05, 82.65, 83.72, 1296500, 83.72, 0, 1, 83.365, -999
20140915, 83.1, 83.27, 82.36, 82.93, 1126800, 82.93, 0, 1, 83.015, -999
20140912, 82.6, 84.49, 82.35, 83.05, 2240900, 83.05, 0, 1, 82.825, -999
20140911, 83.01, 85.21, 81.96, 82.34, 5640400, 82.34, 0.35, 1, 82.675, -999
20140910, 82.95, 83.6, 82.6, 83.57, 1148400, 83.22, 0, 1, 83.085, -999
20140909, 83.21, 83.57, 82.85, 82.96, 1080800, 82.61, 0, 1, 82.91, -999
20140908, 83.44, 83.95, 83.13, 83.38, 1128100, 83.03, 0, 1, 83.235, -999
20140905, 82.67, 83.38, 82.5, 83.36, 830700, 83.01, 0, 1, 82.84, -999
20140904, 82.9, 83.65, 82.47, 82.57, 944100, 82.22, 0, 1, 82.56, -999
20140903, 83.37, 83.68, 82.81, 82.91, 1350300, 82.56, 0, 1, 82.965, -999
20140902, 82.81, 83.27, 82.45, 83.07, 1149600, 82.72, 0, 1, 82.765, -999
20140829, 82.52, 83.1, 82.12, 82.47, 673300, 82.12, 0, 1, 82.32, -999
20140828, 81.29, 82.61, 81.22, 82.45, 1330800, 82.1, 0, 1, 81.695, -999
20140827, 81.8, 82, 81.17, 81.39, 1248200, 81.05, 0, 1, 81.425, -999
20140826, 82.18, 82.28, 81.47, 81.49, 800700, 81.15, 0, 1, 81.665, -999
20140825, 81.71, 82.34, 81.53, 81.9, 568200, 81.56, 0, 1, 81.635, -999
20140822, 81.91, 81.94, 81.22, 81.34, 911300, 81, 0, 1, 81.455, -999
20140821, 81.93, 82.39, 81.42, 81.99, 570500, 81.65, 0, 1, 81.79, -999
20140820, 81.63, 82.16, 81.33, 82.02, 964300, 81.68, 0, 1, 81.655, -999
20140819, 81.62, 81.72, 81.22, 81.56, 664200, 81.22, 0, 1, 81.42, -999
20140818, 81.45, 81.62, 80.64, 81.26, 1516300, 80.92, 0, 1, 81.185, -999
20140815, 81.09, 81.56, 80.26, 80.66, 1068200, 80.32, 0, 1, 80.705, -999
20140814, 81, 81.24, 80.77, 81.08, 457000, 80.74, 0, 1, 80.87, -999
20140813, 80.47, 81.37, 80, 81.02, 1033200, 80.68, 0, 1, 80.575, -999
20140812, 79.56, 80.16, 79.42, 80, 742100, 79.66, 0, 1, 79.61, -999
20140811, 79.86, 80.29, 79.59, 79.86, 1035100, 79.53, 0, 1, 79.695, -999
20140808, 79.21, 79.93, 78.75, 79.86, 995000, 79.53, 0, 1, 79.37, -999
20140807, 79.66, 79.98, 78.68, 78.97, 916700, 78.64, 0, 1, 79.15, -999
20140806, 78.72, 79.75, 78.64, 79.39, 1105500, 79.06, 0, 1, 78.89, -999
20140805, 78.77, 79.83, 78.45, 78.93, 1764000, 78.6, 0, 1, 78.685, -999
20140804, 78.88, 79.47, 78.24, 79.2, 1691800, 78.87, 0, 1, 78.875, -999
20140801, 78.76, 79.21, 78.21, 78.46, 1949200, 78.13, 0, 1, 78.445, -999
20140731, 80.79, 80.89, 78.63, 78.78, 3219000, 78.45, 0, 1, 79.62, -999
20140730, 81.77, 82.52, 80.94, 81.29, 3176900, 80.95, 0, 1, 81.36, -999
20140729, 83.51, 84, 81.5, 81.52, 5154500, 81.18, 0, 1, 82.345, -999
20140728, 88.66, 89.02, 87.3, 88.67, 1868600, 88.3, 0, 1, 88.48, -999
