Ticker: EOG  Created on: 12/6/2014 5:24:27 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 91.91, 92.05, 89.78, 90.75, 7527100, 90.75, 0, 1, 91.33, -999
20141204, 90.79, 93, 89.75, 93, 5108100, 93, 0, 1, 91.895, -999
20141203, 91.71, 93.6, 90.8, 91.8, 6237200, 91.8, 0, 1, 91.755, -999
20141202, 87.38, 91.33, 86.87, 90.3, 10146400, 90.3, 0, 1, 88.84, -999
20141201, 85.52, 87.58, 83.66, 87.24, 10056100, 87.24, 0, 1, 86.38, -999
20141128, 87.16, 88.43, 85.19, 86.72, 9472100, 86.72, 0, 1, 86.94, -999
20141126, 96.62, 96.63, 93.86, 94.07, 5346100, 94.07, 0, 1, 95.345, -999
20141125, 100.28, 100.32, 96.72, 96.74, 5591700, 96.74, 0, 1, 98.51, -999
20141124, 101.18, 101.74, 99.25, 99.56, 4110600, 99.56, 0, 1, 100.37, -999
20141121, 102.49, 103.04, 101.29, 101.74, 6378000, 101.74, 0, 1, 102.115, -999
20141120, 98.45, 100.29, 98.34, 99.44, 4623400, 99.44, 0, 1, 98.945, -999
20141119, 98.75, 98.8, 96.78, 98.33, 3830800, 98.33, 0, 1, 98.54, -999
20141118, 96.32, 98.26, 96.09, 97.67, 3917200, 97.67, 0, 1, 96.995, -999
20141117, 97.01, 97.38, 95.73, 96.35, 4349400, 96.35, 0, 1, 96.68, -999
20141114, 96.32, 98.36, 96.2, 98.16, 3992500, 98.16, 0, 1, 97.24, -999
20141113, 96.5, 97.44, 94.47, 95.85, 5859100, 95.85, 0, 1, 96.175, -999
20141112, 98.68, 99.35, 97.35, 97.56, 3433600, 97.56, 0, 1, 98.12, -999
20141111, 98.5, 99.07, 97.11, 98.75, 4274300, 98.75, 0, 1, 98.625, -999
20141110, 101.01, 102.25, 97.99, 98.5, 5944300, 98.5, 0, 1, 99.755, -999
20141107, 99.72, 101.58, 99.27, 99.55, 7009200, 99.55, 0, 1, 99.635, -999
20141106, 95.19, 99.18, 95.11, 98.97, 8202200, 98.97, 0, 1, 97.08, -999
20141105, 95.5, 97.47, 93.56, 96.1, 11401900, 96.1, 0, 1, 95.8, -999
20141104, 89.67, 90.99, 89, 90.28, 8208000, 90.28, 0, 1, 89.975, -999
20141103, 95.05, 96.81, 92.89, 93.32, 7006200, 93.32, 0, 1, 94.185, -999
20141031, 91.95, 95.1, 90.74, 95.05, 5495200, 95.05, 0, 1, 93.5, -999
20141030, 92.57, 93.29, 91.03, 92.22, 3743400, 92.22, 0, 1, 92.395, -999
20141029, 94.24, 95.32, 91.76, 93.13, 5926100, 93.13, 0, 1, 93.685, -999
20141028, 88.81, 91.91, 87.55, 91.5, 6123200, 91.5, 0, 1, 90.155, -999
20141027, 90.28, 90.28, 86.95, 88.43, 7433800, 88.43, 0, 1, 89.355, -999
20141024, 92.95, 93.02, 90.2, 92.1, 5417400, 92.1, 0, 1, 92.525, -999
20141023, 94.24, 94.84, 92.4, 93.4, 9219300, 93.4, 0, 1, 93.82, -999
20141022, 96.76, 97, 91.98, 92.07, 7672400, 92.07, 0, 1, 94.415, -999
20141021, 94.35, 96.15, 94.27, 96.03, 6298800, 96.03, 0, 1, 95.19, -999
20141020, 91.63, 93.13, 90.77, 92.76, 4420600, 92.76, 0, 1, 92.195, -999
20141017, 94.2, 95.55, 90.26, 91.22, 8665500, 91.22, 0, 1, 92.71, -999
20141016, 85.19, 92.52, 85.19, 91.27, 10111100, 91.27, 0, 1, 88.23, -999
20141015, 82.03, 88.53, 81.07, 88.17, 11107300, 88.17, 0.168, 1, 85.1, -999
20141014, 85.4, 86.88, 83.5, 83.84, 12228000, 83.67, 0, 1, 84.535, -999
20141013, 89.25, 90.3, 83.58, 83.76, 9446700, 83.59, 0, 1, 86.42, -999
20141010, 91.07, 91.95, 88.61, 89.83, 9915400, 89.65, 0, 1, 90.36, -999
20141009, 93.64, 93.73, 90.88, 91.96, 9684400, 91.78, 0, 1, 92.71, -999
20141008, 93.31, 94.69, 90.8, 94.56, 7723600, 94.37, 0, 1, 93.84, -999
20141007, 95.02, 96.02, 93.57, 93.61, 5515800, 93.42, 0, 1, 94.22, -999
20141006, 96.84, 97, 94.36, 95.09, 5114400, 94.9, 0, 1, 95.87, -999
20141003, 97.72, 97.72, 95.57, 96.57, 4433900, 96.38, 0, 1, 97.05, -999
20141002, 95.76, 97.64, 94.27, 97.06, 5381500, 96.87, 0, 1, 96.315, -999
20141001, 99.21, 99.73, 96.15, 96.85, 5856700, 96.66, 0, 1, 97.935, -999
20140930, 101.85, 101.85, 97.45, 99.02, 6422700, 98.82, 0, 1, 100.335, -999
20140929, 100.8, 102.06, 100.1, 101.87, 4300400, 101.67, 0, 1, 101.235, -999
20140926, 100.37, 102.41, 100.21, 101.88, 3327500, 101.68, 0, 1, 101.025, -999
20140925, 102.64, 102.7, 100.14, 100.36, 3588900, 100.16, 0, 1, 101.4, -999
