Ticker: EQR  Created on: 12/6/2014 5:24:29 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 70.81, 70.94, 69.98, 70.29, 2096000, 70.29, 0, 1, 70.55, -999
20141204, 70.97, 71.44, 70.75, 71.29, 1220800, 71.29, 0, 1, 71.13, -999
20141203, 71.04, 71.21, 70.65, 70.97, 1054200, 70.97, 0, 1, 71.005, -999
20141202, 70.77, 71.25, 70.23, 71.09, 2647900, 71.09, 0, 1, 70.93, -999
20141201, 70.93, 71.47, 70.57, 70.64, 1761600, 70.64, 0, 1, 70.785, -999
20141128, 70.87, 71.92, 70.65, 70.84, 1700100, 70.84, 0, 1, 70.855, -999
20141126, 70.2, 71.16, 70.04, 71.04, 1164200, 71.04, 0, 1, 70.62, -999
20141125, 70.2, 70.35, 69.92, 70.04, 1727600, 70.04, 0, 1, 70.12, -999
20141124, 70.2, 70.8, 69.86, 70.06, 1748500, 70.06, 0, 1, 70.13, -999
20141121, 69.92, 70.36, 69.68, 70.31, 1843900, 70.31, 0, 1, 70.115, -999
20141120, 69.23, 69.59, 68.94, 69.56, 1122000, 69.56, 0, 1, 69.395, -999
20141119, 69.9, 70.15, 69.21, 69.23, 1405100, 69.23, 0, 1, 69.565, -999
20141118, 69.5, 70.37, 69.25, 70.18, 1943000, 70.18, 0, 1, 69.84, -999
20141117, 69.04, 69.95, 69.04, 69.7, 1586300, 69.7, 0, 1, 69.37, -999
20141114, 70.09, 70.18, 69.04, 69.26, 1068200, 69.26, 0, 1, 69.675, -999
20141113, 69.5, 70.25, 69.28, 69.98, 1590800, 69.98, 0, 1, 69.74, -999
20141112, 69.8, 70.01, 69.1, 69.31, 1846400, 69.31, 0, 1, 69.555, -999
20141111, 70.66, 70.66, 69.67, 69.96, 1603600, 69.96, 0, 1, 70.31, -999
20141110, 68.99, 70.46, 68.99, 70.46, 2286500, 70.46, 0, 1, 69.725, -999
20141107, 69.48, 69.76, 69.02, 69.29, 2021400, 69.29, 0, 1, 69.385, -999
