Ticker: ESV  Created on: 12/6/2014 5:24:26 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 31.29, 31.64, 30.15, 31.07, 7581200, 31.07, 0, 1, 31.18, -999
20141204, 32.46, 32.6, 30.98, 31.46, 6766900, 31.46, 0, 1.02, 31.96, -999
20141203, 33.15, 34, 32.9, 33.38, 5200800, 32.63, 0, 1, 32.89, -999
20141202, 33.61, 34.35, 32.92, 33.1, 6324700, 32.36, 0, 1, 32.985, -999
20141201, 33.64, 34.21, 32.3, 33.87, 6847000, 33.11, 0, 1, 33.375, -999
20141128, 35.39, 35.55, 33.23, 33.8, 6041000, 33.04, 0, 1, 34.215, -999
20141126, 39.33, 39.4, 37.02, 37.15, 6017700, 36.32, 0, 1, 37.825, -999
20141125, 39.98, 40.19, 39.24, 39.88, 4605700, 38.98, 0, 1, 39.48, -999
20141124, 39.84, 40.17, 39.23, 39.9, 4214800, 39, 0, 1, 39.42, -999
20141121, 39.77, 40.23, 39.42, 39.87, 3609700, 38.97, 0, 1, 39.37, -999
20141120, 38.72, 39.42, 38.6, 39.14, 2516100, 38.26, 0, 1, 38.49, -999
20141119, 39.11, 39.18, 38.15, 38.72, 2519600, 37.85, 0, 1, 38.48, -999
20141118, 39.41, 39.82, 39.03, 39.18, 2741700, 38.3, 0, 1, 38.855, -999
20141117, 38.55, 39.53, 38.27, 39.48, 3595900, 38.59, 0, 1, 38.57, -999
20141114, 39, 39.33, 38.22, 38.78, 4593100, 37.91, 0, 1, 38.455, -999
20141113, 38.92, 39.46, 37.86, 38.76, 5839100, 37.89, 0, 1, 38.405, -999
20141112, 39.24, 39.96, 39.01, 39.27, 4823000, 38.39, 0, 1, 38.815, -999
20141111, 40.09, 40.42, 39.18, 39.43, 5572100, 38.54, 0, 1, 39.315, -999
20141110, 41.64, 41.99, 39.71, 39.92, 4025600, 39.02, 0, 1, 40.33, -999
20141107, 40.27, 41.54, 40.27, 41.31, 4279600, 40.38, 0, 1, 40.325, -999
20141106, 39.67, 40.54, 38.98, 40.5, 3356700, 39.59, 0, 1, 39.63, -999
20141105, 38.92, 40.28, 38.6, 40.01, 4031500, 39.11, 0, 1, 39.015, -999
20141104, 39.38, 39.49, 38.39, 38.6, 4415900, 37.73, 0, 1, 38.555, -999
20141103, 40.78, 41.49, 39.94, 40.11, 3907000, 39.21, 0, 1, 39.995, -999
20141031, 39.98, 40.61, 39.23, 40.59, 4727100, 39.68, 0, 1, 39.83, -999
20141030, 39.28, 40.25, 38.33, 39.95, 5309200, 39.05, 0, 1, 39.165, -999
20141029, 39.32, 39.83, 38.22, 38.71, 3499300, 37.84, 0, 1, 38.58, -999
