Ticker: ETFC  Created on: 12/6/2014 5:24:22 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 23.5, 24.08, 23.28, 23.86, 3524000, 23.86, 0, 1, 23.68, -999
20141204, 22.94, 23.14, 22.77, 23.09, 1574200, 23.09, 0, 1, 23.015, -999
20141203, 22.6, 23.06, 22.4, 23.04, 2431500, 23.04, 0, 1, 22.82, -999
20141202, 22.17, 22.68, 21.53, 22.67, 2158800, 22.67, 0, 1, 22.42, -999
20141201, 22.66, 22.77, 21.85, 22.06, 3796300, 22.06, 0, 1, 22.36, -999
20141128, 22.97, 23, 22.67, 22.81, 1128300, 22.81, 0, 1, 22.89, -999
20141126, 22.84, 23, 22.73, 22.9, 1199100, 22.9, 0, 1, 22.87, -999
20141125, 23.18, 23.29, 22.83, 22.88, 2340000, 22.88, 0, 1, 23.03, -999
20141124, 23.14, 23.32, 22.93, 23.17, 1619900, 23.17, 0, 1, 23.155, -999
20141121, 23.14, 23.16, 22.92, 23.03, 2736900, 23.03, 0, 1, 23.085, -999
20141120, 22.4, 22.84, 22.09, 22.83, 2285200, 22.83, 0, 1, 22.615, -999
20141119, 22.9, 22.96, 22.45, 22.67, 2113200, 22.67, 0, 1, 22.785, -999
20141118, 22.89, 23.3, 22.86, 22.91, 1982300, 22.91, 0, 1, 22.9, -999
20141117, 23.04, 23.23, 22.88, 22.93, 1895700, 22.93, 0, 1, 22.985, -999
20141114, 23.07, 23.3, 21.94, 23.19, 2211400, 23.19, 0, 1, 23.13, -999
20141113, 23.24, 23.3, 22.81, 23.15, 2600700, 23.15, 0, 1, 23.195, -999
20141112, 23.29, 23.36, 22.57, 22.83, 3595200, 22.83, 0, 1, 23.06, -999
20141111, 22.92, 23.31, 22.74, 23.11, 2706000, 23.11, 0, 1, 23.015, -999
20141110, 22.26, 22.9, 22.21, 22.89, 2272400, 22.89, 0, 1, 22.575, -999
20141107, 22.79, 22.8, 22.23, 22.28, 3471400, 22.28, 0, 1, 22.535, -999
20141106, 22.73, 22.94, 22.62, 22.83, 2153900, 22.83, 0, 1, 22.78, -999
20141105, 22.68, 22.83, 22.37, 22.67, 1784200, 22.67, 0, 1, 22.675, -999
20141104, 22.33, 22.47, 22.04, 22.44, 2202100, 22.44, 0, 1, 22.385, -999
20141103, 22.31, 22.92, 22.31, 22.44, 2704100, 22.44, 0, 1, 22.375, -999
20141031, 22.22, 22.63, 21.96, 22.3, 3403500, 22.3, 0, 1, 22.26, -999
20141030, 21.67, 21.84, 21.33, 21.7, 3331600, 21.7, 0, 1, 21.685, -999
20141029, 21.46, 21.86, 21.21, 21.8, 5084700, 21.8, 0, 1, 21.63, -999
20141028, 21.21, 21.48, 20.88, 21.43, 2044200, 21.43, 0, 1, 21.32, -999
20141027, 21.14, 21.14, 20.69, 21.09, 2928900, 21.09, 0, 1, 21.115, -999
20141024, 20.96, 21.2, 20.81, 21.17, 2070600, 21.17, 0, 1, 21.065, -999
20141023, 21.01, 21.24, 20.78, 20.95, 4238500, 20.95, 0, 1, 20.98, -999
