Ticker: ETR  Created on: 12/6/2014 5:24:27 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 82.5, 83, 82.18, 82.72, 1634900, 82.72, 0, 1, 82.61, -999
20141204, 83.3, 83.99, 83.2, 83.56, 1037100, 83.56, 0, 1, 83.43, -999
20141203, 83.7, 83.86, 83.1, 83.47, 1031100, 83.47, 0, 1, 83.585, -999
20141202, 83.53, 84.11, 83.27, 83.7, 1548200, 83.7, 0, 1, 83.615, -999
20141201, 83.21, 84.99, 82.76, 83.83, 2016800, 83.83, 0, 1, 83.52, -999
20141128, 82.35, 84.01, 82.35, 83.9, 915400, 83.9, 0, 1, 83.125, -999
20141126, 81.67, 82.49, 81.54, 82.17, 1378600, 82.17, 0, 1, 81.92, -999
20141125, 81.42, 81.54, 80.97, 81.31, 1254400, 81.31, 0, 1, 81.365, -999
20141124, 82.56, 82.72, 81.36, 81.47, 1233000, 81.47, 0, 1, 82.015, -999
20141121, 82.91, 82.98, 81.8, 82.4, 1542000, 82.4, 0, 1, 82.655, -999
20141120, 82.9, 83.28, 82.04, 82.23, 1232100, 82.23, 0, 1, 82.565, -999
20141119, 83.68, 84.12, 83.06, 83.34, 1444900, 83.34, 0, 1, 83.51, -999
20141118, 83.46, 84.44, 82.87, 83.9, 1237500, 83.9, 0, 1, 83.68, -999
20141117, 81.31, 83.45, 81.16, 83.27, 1854300, 83.27, 0, 1, 82.29, -999
20141114, 81.51, 81.95, 81.09, 81.45, 1633900, 81.45, 0, 1, 81.48, -999
20141113, 81.83, 82.8, 81.48, 81.68, 1931000, 81.68, 0, 1, 81.755, -999
20141112, 82.32, 82.49, 80.58, 81.62, 2543400, 81.62, 0, 1, 81.97, -999
20141111, 83.48, 83.58, 82.48, 82.96, 1629900, 82.96, 0, 1, 83.22, -999
20141110, 82.08, 83.32, 82.08, 83.29, 2366700, 83.29, 0, 1, 82.685, -999
20141107, 82.38, 82.71, 81.51, 82.68, 2325500, 81.85, 0, 1, 82.115, -999
20141106, 83.73, 83.85, 81, 81.96, 3669600, 81.14, 0, 1, 82.435, -999
20141105, 83.07, 84.13, 82.48, 83.7, 3751600, 82.86, 0, 1, 82.965, -999
20141104, 80.77, 83.75, 80.04, 82.47, 1757000, 81.64, 0, 1, 81.205, -999
20141103, 84.3, 84.31, 83.48, 83.85, 2165200, 83.01, 0, 1, 83.655, -999
20141031, 84.56, 84.58, 83.55, 84.02, 2165400, 83.18, 0, 1, 83.87, -999
20141030, 82.46, 84.26, 81.95, 84.24, 1422900, 83.39, 0, 1, 82.925, -999
20141029, 82.05, 82.88, 81.18, 82.06, 1382600, 81.24, 0, 1, 81.645, -999
20141028, 82.13, 82.22, 81.1, 81.88, 1885800, 81.06, 0, 1, 81.595, -999
20141027, 82.14, 82.65, 81.78, 82.11, 1636200, 81.29, 0, 1, 81.715, -999
20141024, 81.28, 82.19, 81.24, 82.14, 1089000, 81.32, 0, 1, 81.3, -999
20141023, 81.49, 81.96, 80.75, 81.29, 1422400, 80.47, 0, 1, 80.98, -999
20141022, 80, 81.38, 79.96, 80.94, 1256400, 80.13, 0, 1, 80.065, -999
20141021, 80.06, 80.07, 79.4, 80, 1282600, 79.2, 0, 1, 79.63, -999
20141020, 79.29, 79.95, 79.1, 79.84, 1271700, 79.04, 0, 1, 79.165, -999
20141017, 79.8, 79.98, 78.04, 79.33, 2377000, 78.53, 0, 1, 79.165, -999
20141016, 77.87, 79.52, 77.05, 79.4, 1965200, 78.6, 0, 1, 78.235, -999
20141015, 78.98, 81.66, 77.65, 78.95, 2778600, 78.16, 0, 1, 78.57, -999
20141014, 79.05, 81.59, 78.74, 81.04, 2777700, 80.23, 0, 1, 79.64, -999
20141013, 77.99, 79.57, 77.71, 78.68, 1942500, 77.89, 0, 1, 77.94, -999
20141010, 77.78, 78.66, 77.68, 77.83, 1556100, 77.05, 0, 1, 77.415, -999
20141009, 79.05, 79.66, 77.44, 77.51, 2109900, 76.73, 0, 1, 77.89, -999
20141008, 77.99, 79.64, 77.81, 79.62, 1771700, 78.82, 0, 1, 78.405, -999
20141007, 77.5, 78.84, 77.37, 77.81, 1612700, 77.03, 0, 1, 77.265, -999
20141006, 77.9, 78.28, 77.47, 77.71, 907200, 76.93, 0, 1, 77.415, -999
20141003, 77.68, 77.99, 76.51, 77.82, 1149700, 77.04, 0, 1, 77.36, -999
20141002, 77.79, 78.32, 77.32, 77.47, 1593700, 76.69, 0, 1, 77.24, -999
20141001, 77.33, 78.7, 77, 78.04, 1463400, 77.26, 0, 1, 77.295, -999
20140930, 76.94, 78.37, 76.79, 77.33, 1615800, 76.55, 0, 1, 76.745, -999
20140929, 76, 76.77, 75.9, 76.74, 998000, 75.97, 0, 1, 75.985, -999
20140926, 76.1, 76.45, 75.43, 76.14, 934200, 75.38, 0, 1, 75.74, -999
20140925, 76.32, 76.53, 75.8, 76, 1222500, 75.24, 0, 1, 75.78, -999
20140924, 76.64, 76.72, 76.01, 76.31, 859100, 75.54, 0, 1, 76.09, -999
20140923, 76.96, 77.04, 76.36, 76.51, 1762500, 75.74, 0, 1, 76.35, -999
20140922, 76.52, 77.56, 76.33, 76.99, 1196800, 76.22, 0, 1, 76.37, -999
20140919, 76.13, 76.88, 75.86, 76.82, 1591900, 76.05, 0, 1, 76.09, -999
20140918, 76.69, 77.03, 75.6, 75.84, 930200, 75.08, 0, 1, 75.885, -999
20140917, 77.22, 77.46, 76.24, 76.52, 1080300, 75.75, 0, 1, 76.485, -999
20140916, 75.85, 77.49, 75.71, 77.01, 1194800, 76.24, 0, 1, 76.045, -999
20140915, 75.68, 76.43, 75.55, 75.95, 1340400, 75.19, 0, 1, 75.435, -999
20140912, 76.54, 76.65, 75.29, 75.48, 844300, 74.72, 0, 1, 75.63, -999
20140911, 76.19, 77.08, 75.9, 77.06, 984900, 76.29, 0, 1, 76.24, -999
20140910, 76.18, 76.35, 75.58, 76.16, 831900, 75.4, 0, 1, 75.79, -999
20140909, 76.12, 76.71, 75.56, 76.13, 1297000, 75.37, 0, 1, 75.745, -999
20140908, 77.48, 77.56, 76.06, 76.35, 1194300, 75.58, 0, 1, 76.53, -999
20140905, 76.97, 77.64, 76.6, 77.41, 1385600, 76.63, 0, 1, 76.8, -999
20140904, 77.01, 77.29, 76.46, 76.86, 1804400, 76.09, 0, 1, 76.55, -999
20140903, 76.55, 77.5, 76.55, 77.14, 887700, 76.37, 0, 1, 76.46, -999
20140902, 77.33, 77.42, 75.89, 76.38, 1959800, 75.61, 0, 1, 76.47, -999
20140829, 76.43, 77.45, 76.36, 77.41, 1353900, 76.63, 0, 1, 76.53, -999
20140828, 75.38, 76.38, 75.22, 76.33, 852400, 75.56, 0, 1, 75.47, -999
20140827, 74.88, 75.54, 74.56, 75.48, 929700, 74.72, 0, 1, 74.8, -999
20140826, 75.43, 75.77, 74.32, 74.47, 1286300, 73.72, 0, 1, 74.575, -999
20140825, 74.68, 75.64, 74.6, 75.58, 1191200, 74.82, 0, 1, 74.75, -999
20140822, 74.91, 75.14, 74.08, 74.57, 936600, 73.82, 0, 1, 74.365, -999
20140821, 74.94, 75.8, 74.54, 74.82, 1199900, 74.07, 0, 1, 74.505, -999
20140820, 74.11, 75.18, 73.64, 75.11, 2191700, 74.36, 0, 1, 74.235, -999
