Ticker: EXC  Created on: 12/6/2014 5:24:30 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 35.27, 35.69, 35.09, 35.59, 5918900, 35.59, 0, 1, 35.43, -999
20141204, 36.28, 36.58, 35.56, 35.69, 7111100, 35.69, 0, 1, 35.985, -999
20141203, 36.69, 36.85, 35.81, 36.22, 6845500, 36.22, 0, 1, 36.455, -999
20141202, 36.24, 36.83, 36.07, 36.7, 7609800, 36.7, 0, 1, 36.47, -999
20141201, 35.94, 36.55, 35.68, 36.24, 6538300, 36.24, 0, 1, 36.09, -999
20141128, 35.65, 36.2, 35.49, 36.17, 1879600, 36.17, 0, 1, 35.91, -999
20141126, 35.34, 35.72, 35.3, 35.69, 3623500, 35.69, 0, 1, 35.515, -999
20141125, 35.3, 35.35, 34.69, 35.18, 7273000, 35.18, 0, 1, 35.24, -999
20141124, 36.14, 36.25, 35.2, 35.25, 6313200, 35.25, 0, 1, 35.695, -999
20141121, 36.29, 36.38, 35.84, 36.25, 6310900, 36.25, 0, 1, 36.27, -999
20141120, 36.02, 36.08, 35.78, 35.94, 4463700, 35.94, 0, 1, 35.98, -999
20141119, 35.68, 36.07, 35.41, 36.05, 5863900, 36.05, 0, 1, 35.865, -999
20141118, 35.82, 36.14, 35.67, 35.79, 4759400, 35.79, 0, 1, 35.805, -999
20141117, 35.34, 35.87, 35.25, 35.71, 5903500, 35.71, 0, 1, 35.525, -999
20141114, 35.21, 35.55, 35.18, 35.41, 6540700, 35.41, 0, 1, 35.31, -999
20141113, 36.12, 36.38, 35.21, 35.36, 7855000, 35.36, 0, 1, 35.74, -999
20141112, 37, 37, 35.85, 35.93, 9891800, 35.93, 0, 1, 36.465, -999
20141111, 37.63, 37.89, 37.43, 37.55, 4316500, 37.24, 0, 1, 37.435, -999
20141110, 37.7, 37.75, 37.1, 37.6, 6093800, 37.29, 0, 1, 37.495, -999
20141107, 37.48, 37.9, 37.38, 37.77, 7367800, 37.46, 0, 1, 37.47, -999
20141106, 37.45, 37.67, 37.03, 37.44, 9413300, 37.13, 0, 1, 37.29, -999
20141105, 36.77, 37.7, 36.54, 37.52, 9276100, 37.21, 0, 1, 36.99, -999
20141104, 36.34, 36.6, 36.02, 36.47, 5560900, 36.17, 0, 1, 36.255, -999
20141103, 36.55, 36.84, 36.18, 36.4, 5617000, 36.1, 0, 1, 36.325, -999
20141031, 36.89, 36.89, 36.2, 36.59, 6733200, 36.29, 0, 1, 36.59, -999
20141030, 35.5, 36.79, 35.46, 36.7, 7745400, 36.4, 0, 1, 35.95, -999
20141029, 35.81, 35.95, 34.87, 35.28, 6396700, 34.99, 0, 1, 35.4, -999
20141028, 35.33, 35.74, 35.12, 35.74, 5821200, 35.44, 0, 1, 35.385, -999
20141027, 35.56, 35.89, 35.03, 35.2, 5317300, 34.91, 0, 1, 35.235, -999
20141024, 34.99, 35.98, 34.92, 35.73, 6678700, 35.44, 0, 1, 35.215, -999
20141023, 35.04, 35.31, 34.84, 34.88, 5655500, 34.59, 0, 1, 34.815, -999
20141022, 34.83, 35.4, 34.8, 34.88, 6219100, 34.59, 0, 1, 34.71, -999
20141021, 35.2, 35.35, 34.67, 35, 5633700, 34.71, 0, 1, 34.955, -999
20141020, 34.35, 35.01, 34.33, 34.99, 4413000, 34.7, 0, 1, 34.525, -999
20141017, 34.34, 34.76, 33.94, 34.38, 6149800, 34.1, 0, 1, 34.22, -999
20141016, 33.44, 34.45, 33.07, 34.09, 8453700, 33.81, 0, 1, 33.625, -999
20141015, 34.82, 35.01, 33.3, 33.93, 12145000, 33.65, 0, 1, 34.235, -999
20141014, 34.18, 34.89, 34.06, 34.64, 9050800, 34.35, 0, 1, 34.265, -999
20141013, 34.89, 35.15, 34.09, 34.11, 8493600, 33.83, 0, 1, 34.36, -999
20141010, 34.96, 35.38, 34.78, 34.83, 10466600, 34.54, 0, 1, 34.75, -999
