Ticker: EXPD  Created on: 12/6/2014 5:24:30 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 45.46, 45.95, 45.45, 45.56, 1160000, 45.56, 0, 1, 45.51, -999
20141204, 45.53, 45.72, 45.2, 45.51, 1012300, 45.51, 0, 1, 45.52, -999
20141203, 45.5, 46, 45.36, 45.72, 1360700, 45.72, 0, 1, 45.61, -999
20141202, 45.34, 45.87, 45.23, 45.35, 944700, 45.35, 0, 1, 45.345, -999
20141201, 46.75, 46.8, 45.41, 45.42, 1831800, 45.42, 0, 1, 46.085, -999
20141128, 45.55, 47.24, 45.55, 46.82, 1796100, 46.82, 0, 1, 46.185, -999
20141126, 45.06, 45.4, 45, 45.19, 939700, 45.19, 0, 1, 45.125, -999
20141125, 44.57, 45.79, 44.54, 45.45, 1918600, 45.13, 0, 1, 44.85, -999
20141124, 44.52, 44.68, 44.34, 44.46, 1296800, 44.15, 0, 1, 44.335, -999
20141121, 44.39, 44.66, 44.16, 44.51, 1931300, 44.2, 0, 1, 44.295, -999
20141120, 43.6, 44.15, 43.55, 43.98, 701800, 43.67, 0, 1, 43.635, -999
20141119, 43.86, 43.95, 43.56, 43.73, 863100, 43.42, 0, 1, 43.64, -999
20141118, 43.82, 44.17, 43.74, 43.92, 936800, 43.61, 0, 1, 43.715, -999
20141117, 43.73, 44, 43.57, 43.87, 975100, 43.56, 0, 1, 43.645, -999
20141114, 43.91, 44.19, 43.71, 43.92, 739400, 43.61, 0, 1, 43.76, -999
20141113, 44.06, 44.13, 43.49, 43.9, 890100, 43.59, 0, 1, 43.825, -999
20141112, 44.13, 44.35, 43.88, 43.91, 865300, 43.6, 0, 1, 43.865, -999
20141111, 44.36, 44.46, 43.9, 44.26, 804100, 43.95, 0, 1, 44.155, -999
20141110, 44.14, 44.31, 43.73, 44.3, 805300, 43.99, 0, 1, 44.065, -999
20141107, 44.02, 44.32, 43.75, 44.25, 1258300, 43.94, 0, 1, 43.98, -999
20141106, 43.61, 44.18, 43.46, 44.02, 1127700, 43.71, 0, 1, 43.66, -999
20141105, 43.67, 44.04, 43.16, 43.47, 2798500, 43.16, 0, 1, 43.415, -999
20141104, 43, 44.92, 43, 44.39, 2459500, 44.08, 0, 1, 43.54, -999
20141103, 42.69, 42.86, 42.1, 42.7, 1323400, 42.4, 0, 1, 42.545, -999
20141031, 42.58, 42.67, 42.04, 42.66, 1297000, 42.36, 0, 1, 42.47, -999
20141030, 41.61, 42.14, 41.31, 41.74, 1291900, 41.45, 0, 1, 41.53, -999
20141029, 42.28, 42.73, 41.47, 41.97, 931000, 41.67, 0, 1, 41.975, -999
20141028, 41.5, 42.13, 41.49, 42.13, 884000, 41.83, 0, 1, 41.665, -999
20141027, 40.78, 41.36, 40.57, 41.29, 1183000, 41, 0, 1, 40.89, -999
20141024, 41.18, 41.22, 40.67, 40.92, 1269400, 40.63, 0, 1, 40.905, -999
20141023, 40.79, 41.27, 40.75, 40.93, 993000, 40.64, 0, 1, 40.715, -999
20141022, 40.88, 41.01, 40.4, 40.42, 1875400, 40.14, 0, 1, 40.51, -999
20141021, 39.99, 40.85, 39.85, 40.84, 1054000, 40.55, 0, 1, 40.27, -999
20141020, 39.57, 39.88, 39.41, 39.86, 948500, 39.58, 0, 1, 39.575, -999
20141017, 39.55, 39.74, 39.24, 39.6, 1493900, 39.32, 0, 1, 39.435, -999
20141016, 39, 39.69, 38.92, 39.21, 1632700, 38.93, 0, 1, 38.965, -999
20141015, 39, 39.77, 38.62, 39.55, 2024000, 39.27, 0, 1, 39.135, -999
20141014, 38.54, 39.63, 38.48, 39.22, 2005500, 38.94, 0, 1, 38.74, -999
20141013, 38.32, 39.02, 38.14, 38.21, 2941600, 37.94, 0, 1, 38.13, -999
20141010, 38.49, 38.94, 38.17, 38.35, 1266300, 38.08, 0, 1, 38.285, -999
20141009, 39.36, 39.59, 38.51, 38.57, 1504500, 38.3, 0, 1, 38.83, -999
20141008, 39.37, 39.49, 38.8, 39.46, 2325000, 39.18, 0, 1, 39.275, -999
20141007, 40.14, 40.22, 39.36, 39.38, 1677400, 39.1, 0, 1, 39.62, -999
20141006, 40.57, 40.79, 40.01, 40.38, 1056800, 40.1, 0, 1, 40.335, -999
20141003, 40.36, 40.52, 40.14, 40.39, 1376800, 40.11, 0, 1, 40.235, -999
20141002, 39.85, 40.24, 39.57, 40.19, 1308700, 39.91, 0, 1, 39.88, -999
20141001, 40.5, 40.58, 39.71, 39.74, 1182800, 39.46, 0, 1, 39.98, -999
20140930, 40.9, 41.11, 40.56, 40.58, 833600, 40.29, 0, 1, 40.595, -999
20140929, 40.7, 40.92, 40.5, 40.9, 1113100, 40.61, 0, 1, 40.655, -999
20140926, 41.09, 41.09, 40.61, 40.98, 930500, 40.69, 0, 1, 40.89, -999
20140925, 41.3, 41.3, 40.59, 40.7, 1044200, 40.41, 0, 1, 40.855, -999
20140924, 41.06, 41.45, 40.86, 41.45, 980800, 41.16, 0, 1, 41.11, -999
20140923, 41.22, 41.22, 40.93, 41.14, 1344000, 40.85, 0, 1, 41.035, -999
20140922, 42.45, 42.45, 41.29, 41.39, 1244200, 41.1, 0, 1, 41.775, -999
20140919, 42.61, 43.18, 41.67, 42.35, 4785100, 42.05, 0, 1, 42.33, -999
20140918, 42.27, 42.45, 42.06, 42.35, 1029400, 42.05, 0, 1, 42.16, -999
20140917, 42.31, 42.61, 41.98, 42.26, 1159300, 41.96, 0, 1, 42.135, -999
20140916, 41.96, 42.16, 41.65, 42.13, 1055500, 41.83, 0, 1, 41.895, -999
20140915, 42.58, 42.58, 41.92, 41.98, 1131700, 41.68, 0, 1, 42.13, -999
20140912, 42.4, 42.55, 42.14, 42.41, 1241100, 42.11, 0, 1, 42.255, -999
20140911, 41.88, 42.59, 41.82, 42.5, 1139000, 42.2, 0, 1, 42.04, -999
