Ticker: EXPE  Created on: 12/6/2014 5:24:30 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 90.17, 92.08, 90.03, 91.35, 2305000, 91.35, 0, 1, 90.76, -999
20141204, 88.4, 90.45, 88.2, 89.55, 2108100, 89.55, 0, 1, 88.975, -999
20141203, 87.68, 88.9, 87.19, 88.59, 2420000, 88.59, 0, 1, 88.135, -999
20141202, 86.62, 87.85, 86.62, 87.52, 1790300, 87.52, 0, 1, 87.07, -999
20141201, 87.25, 87.83, 85.9, 86.49, 1829600, 86.49, 0, 1, 86.87, -999
20141128, 86.35, 87.4, 86.22, 87.11, 712100, 87.11, 0, 1, 86.73, -999
20141126, 85.81, 86.16, 85.14, 85.59, 1488700, 85.59, 0, 1, 85.7, -999
20141125, 86, 86.45, 85.1, 85.81, 1457800, 85.81, 0, 1, 85.905, -999
20141124, 84.89, 85.99, 84.75, 85.66, 1600000, 85.66, 0, 1, 85.275, -999
20141121, 87.25, 87.32, 84.4, 84.69, 2259400, 84.69, 0, 1, 85.97, -999
20141120, 86.45, 86.8, 85.52, 86.08, 1740100, 86.08, 0, 1, 86.265, -999
20141119, 88.5, 88.59, 86.98, 87.04, 1188600, 87.04, 0, 1, 87.77, -999
20141118, 86.56, 88.74, 86.5, 88.37, 1644800, 88.37, 0, 1, 87.465, -999
20141117, 87.63, 88, 86.77, 86.94, 1164000, 86.76, 0, 1, 87.195, -999
20141114, 86.23, 87.94, 86.06, 87.94, 1395200, 87.76, 0, 1, 86.995, -999
20141113, 87.11, 87.44, 85.81, 86.49, 1236600, 86.31, 0, 1, 86.71, -999
20141112, 86.14, 87.22, 85.8, 87.11, 1775200, 86.93, 0, 1, 86.535, -999
20141111, 86.18, 87.16, 85.75, 86.46, 2149000, 86.28, 0, 1, 86.23, -999
20141110, 85.01, 86.41, 84.79, 86, 1281300, 85.82, 0, 1, 85.415, -999
20141107, 84.14, 85.14, 83.85, 85.12, 1558600, 84.94, 0, 1, 84.54, -999
20141106, 83.11, 84.65, 82.7, 84.06, 1763300, 83.89, 0, 1, 83.5, -999
20141105, 84.01, 84.84, 82.97, 83.05, 2347500, 82.88, 0, 1, 83.445, -999
20141104, 85.19, 85.31, 82.45, 83.89, 3161300, 83.72, 0, 1, 84.455, -999
20141103, 84.74, 86.74, 84.49, 85.93, 2654400, 85.75, 0, 1, 85.245, -999
20141031, 84.3, 85.75, 83.1, 84.97, 5979000, 84.79, 0, 1, 84.545, -999
20141030, 79.06, 81.04, 77.74, 80.73, 5807600, 80.56, 0, 1, 79.81, -999
20141029, 80.85, 80.85, 79.01, 79.54, 2639000, 79.38, 0, 1, 80.115, -999
20141028, 80.81, 80.84, 79.9, 80.6, 1302000, 80.43, 0, 1, 80.62, -999
20141027, 80.98, 81.1, 78.95, 80.38, 2477100, 80.21, 0, 1, 80.595, -999
20141024, 79.66, 81.63, 78.8, 81.53, 1641900, 81.36, 0, 1, 80.51, -999
20141023, 80.01, 81.2, 79.5, 79.84, 1911500, 79.67, 0, 1, 79.84, -999
20141022, 80.77, 81.76, 78.79, 79.01, 1929900, 78.85, 0, 1, 79.81, -999
20141021, 77.79, 80.79, 77.44, 80.31, 2820400, 80.14, 0, 1, 78.965, -999
20141020, 74.16, 77.48, 74, 77.25, 2479300, 77.09, 0, 1, 75.625, -999
20141017, 76.47, 76.71, 73.37, 74.57, 3192900, 74.42, 0, 1, 75.445, -999
20141016, 72.48, 75.21, 71.23, 75.08, 3843000, 74.92, 0, 1, 73.7, -999
20141015, 73.15, 74.93, 70.91, 74.1, 5507900, 73.95, 0, 1, 73.55, -999
20141014, 76.5, 77.65, 73.88, 74.75, 6010800, 74.6, 0, 1, 75.55, -999
20141013, 80.89, 81.71, 76.2, 76.34, 4605800, 76.18, 0, 1, 78.535, -999
20141010, 83.75, 83.83, 80.94, 81, 3129000, 80.83, 0, 1, 82.29, -999
20141009, 85.39, 85.67, 83.14, 83.83, 2820500, 83.66, 0, 1, 84.525, -999
20141008, 84.74, 85.98, 83.52, 85.38, 2822000, 85.2, 0, 1, 84.97, -999
20141007, 85.89, 86.2, 84.7, 84.73, 1967200, 84.55, 0, 1, 85.22, -999
20141006, 85.46, 88.1, 85.46, 86.57, 2576600, 86.39, 0, 1, 85.925, -999
20141003, 84.21, 85.83, 83.94, 85.47, 1569300, 85.29, 0, 1, 84.75, -999
20141002, 84.61, 84.95, 82.16, 83.37, 2682200, 83.2, 0, 1, 83.905, -999
20141001, 87.33, 87.66, 84.47, 84.78, 2531000, 84.6, 0, 1, 85.965, -999
20140930, 87.07, 88.28, 86.58, 87.62, 2987300, 87.44, 0, 1, 87.255, -999
20140929, 84.85, 86.81, 84.6, 86.58, 1689000, 86.4, 0, 1, 85.625, -999
20140926, 84.91, 86.19, 84.59, 85.9, 1252300, 85.72, 0, 1, 85.315, -999
20140925, 85.38, 85.95, 84.52, 84.68, 1623900, 84.5, 0, 1, 84.94, -999
20140924, 83.5, 86.2, 82.98, 85.94, 3002600, 85.76, 0, 1, 84.63, -999
20140923, 83.28, 84.64, 82.95, 83.93, 1531700, 83.76, 0, 1, 83.52, -999
20140922, 85.01, 85.01, 82.85, 83.51, 1684500, 83.34, 0, 1, 84.175, -999
20140919, 86.44, 86.51, 84.52, 85.16, 2248200, 84.98, 0, 1, 85.71, -999
20140918, 85.7, 86.14, 85.15, 85.91, 1060800, 85.73, 0, 1, 85.715, -999
20140917, 86.08, 86.12, 84.28, 85.35, 1651000, 85.17, 0, 1, 85.625, -999
20140916, 84.82, 86.36, 84.53, 86.21, 1309900, 86.03, 0, 1, 85.425, -999
20140915, 86.83, 86.83, 84.44, 85.16, 1550900, 84.98, 0, 1, 85.905, -999
20140912, 86.85, 87.31, 86.35, 86.55, 945400, 86.37, 0, 1, 86.61, -999
20140911, 86.84, 87.34, 86.32, 87.17, 771500, 86.99, 0, 1, 86.915, -999
20140910, 85.66, 87.88, 85.59, 87.04, 1753700, 86.86, 0, 1, 86.26, -999
20140909, 87.74, 87.85, 85.72, 85.93, 1238200, 85.75, 0, 1, 86.745, -999
