Ticker: FAST  Created on: 12/6/2014 5:24:32 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 46.82, 47.35, 46.62, 47.26, 1655700, 47.26, 0, 1, 47.04, -999
20141204, 46.23, 46.73, 46, 46.64, 1888700, 46.64, 0, 1, 46.435, -999
20141203, 45.01, 46.28, 45.01, 46.26, 2296200, 46.26, 0, 1, 45.635, -999
20141202, 44.3, 44.86, 44.17, 44.85, 1491100, 44.85, 0, 1, 44.575, -999
20141201, 45.05, 45.19, 44.41, 44.42, 1883700, 44.42, 0, 1, 44.735, -999
20141128, 45.18, 45.41, 44.88, 45.2, 1015000, 45.2, 0, 1, 45.19, -999
20141126, 45.28, 45.4, 45.04, 45.24, 1178500, 45.24, 0, 1, 45.26, -999
20141125, 44.8, 45.54, 44.8, 45.33, 1601200, 45.33, 0, 1, 45.065, -999
20141124, 45.28, 45.49, 45.08, 45.23, 1619500, 45.23, 0, 1, 45.255, -999
20141121, 45.42, 45.61, 45, 45.21, 2640300, 45.21, 0, 1, 45.315, -999
20141120, 44.35, 45.15, 44.34, 45.05, 1720300, 45.05, 0, 1, 44.7, -999
20141119, 44.35, 44.75, 44.11, 44.68, 1366200, 44.68, 0, 1, 44.515, -999
20141118, 44.22, 44.89, 44.22, 44.35, 1326000, 44.35, 0, 1, 44.285, -999
20141117, 44.67, 44.75, 44.28, 44.4, 1784200, 44.4, 0, 1, 44.535, -999
20141114, 44.43, 44.89, 43.92, 44.8, 1252500, 44.8, 0, 1, 44.615, -999
20141113, 44.71, 44.78, 43.96, 44.33, 1344000, 44.33, 0, 1, 44.52, -999
20141112, 44.21, 44.81, 44.13, 44.65, 1595200, 44.65, 0, 1, 44.43, -999
20141111, 44.42, 44.59, 44.01, 44.43, 1250900, 44.43, 0, 1, 44.425, -999
20141110, 44.6, 44.6, 44.25, 44.44, 2049900, 44.44, 0, 1, 44.52, -999
20141107, 44.74, 44.81, 43.86, 44.53, 2443700, 44.53, 0, 1, 44.635, -999
20141106, 44.59, 45.03, 44.46, 44.91, 1721900, 44.91, 0, 1, 44.75, -999
20141105, 45.01, 45.2, 44.21, 44.44, 2594400, 44.44, 0, 1, 44.725, -999
20141104, 43.93, 44.38, 43.85, 44.22, 1137800, 44.22, 0, 1, 44.075, -999
20141103, 43.99, 44.2, 43.82, 44.01, 1101800, 44.01, 0, 1, 44, -999
20141031, 44.11, 44.13, 43.66, 44.04, 1602200, 44.04, 0, 1, 44.075, -999
20141030, 42.87, 43.34, 42.68, 43.21, 992100, 43.21, 0, 1, 43.04, -999
20141029, 43.35, 43.39, 42.62, 43.01, 1240900, 43.01, 0, 1, 43.18, -999
20141028, 42.71, 43.41, 42.43, 43.41, 1509600, 43.41, 0, 1, 43.06, -999
20141027, 42.47, 42.6, 42.1, 42.54, 996200, 42.54, 0, 1, 42.505, -999
20141024, 42.38, 42.7, 42.05, 42.67, 1076100, 42.67, 0, 1, 42.525, -999
20141023, 42.09, 42.62, 42.09, 42.22, 1292300, 42.22, 0, 1, 42.155, -999
20141022, 42.48, 42.53, 41.49, 41.5, 1617300, 41.5, 0.25, 1, 41.99, -999
20141021, 41.77, 42.63, 41.46, 42.59, 2020600, 42.34, 0, 1, 42.055, -999
20141020, 40.87, 41.52, 40.87, 41.4, 1500100, 41.16, 0, 1, 41.015, -999
20141017, 41.13, 41.3, 40.47, 41.09, 3730000, 40.85, 0, 1, 40.99, -999
20141016, 40.23, 41.23, 40.22, 40.78, 2944200, 40.54, 0, 1, 40.385, -999
20141015, 40.56, 41.27, 40.18, 40.98, 3578000, 40.74, 0, 1, 40.65, -999
20141014, 41.21, 41.9, 40.95, 41.1, 3796700, 40.86, 0, 1, 41.035, -999
