Ticker: FB  Created on: 12/6/2014 5:24:31 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 75.8, 76.76, 75.36, 76.36, 24246600, 76.36, 0, 1, 76.08, -999
20141204, 74.83, 75.55, 74.66, 75.24, 14362800, 75.24, 0, 1, 75.035, -999
20141203, 75.38, 75.73, 74.4, 74.88, 15927400, 74.88, 0, 1, 75.13, -999
20141202, 75.33, 75.91, 75.04, 75.46, 16724600, 75.46, 0, 1, 75.395, -999
20141201, 77.26, 77.31, 74.8, 75.1, 31630800, 75.1, 0, 1, 76.18, -999
20141128, 77.67, 78.27, 77.23, 77.7, 15992000, 77.7, 0, 1, 77.685, -999
20141126, 75.53, 77.78, 75.51, 77.62, 32695300, 77.62, 0, 1, 76.575, -999
20141125, 74.21, 75.74, 74.13, 75.63, 32225300, 75.63, 0, 1, 74.92, -999
20141124, 73.54, 74.35, 73.35, 74.01, 22088000, 74.01, 0, 1, 73.775, -999
20141121, 74.5, 74.5, 73.5, 73.75, 23055400, 73.75, 0, 1, 74.125, -999
20141120, 72.8, 73.99, 72.51, 73.6, 19135200, 73.6, 0, 1, 73.2, -999
20141119, 74.01, 74.54, 73.11, 73.33, 25417300, 73.33, 0, 1, 73.67, -999
20141118, 74.45, 74.8, 73.9, 74.34, 20690500, 74.34, 0, 1, 74.395, -999
20141117, 74.88, 75.66, 73.88, 74.24, 28686300, 74.24, 0, 1, 74.56, -999
20141114, 74.27, 74.93, 74.04, 74.88, 19456100, 74.88, 0, 1, 74.575, -999
20141113, 74.74, 75.24, 73.64, 74.25, 26432900, 74.25, 0, 1, 74.495, -999
20141112, 74.28, 75.14, 73.54, 74.72, 26513400, 74.72, 0, 1, 74.5, -999
20141111, 74.95, 74.98, 74.03, 74.61, 18715700, 74.61, 0, 1, 74.78, -999
20141110, 75.36, 75.48, 74.61, 75, 21575100, 75, 0, 1, 75.18, -999
20141107, 75.39, 75.86, 75.02, 75.6, 20774000, 75.6, 0, 1, 75.495, -999
20141106, 74.89, 75.6, 74.31, 75.26, 21383000, 75.26, 0, 1, 75.075, -999
20141105, 76.51, 76.8, 74.42, 74.83, 35913000, 74.83, 0, 1, 75.67, -999
20141104, 74.23, 75.77, 73.65, 75.76, 39326000, 75.76, 0, 1, 74.995, -999
20141103, 75.47, 75.52, 73.7, 73.88, 40727000, 73.88, 0, 1, 74.675, -999
20141031, 74.93, 75.7, 74.45, 74.99, 44544000, 74.99, 0, 1, 74.96, -999
20141030, 75.05, 75.35, 72.9, 74.11, 83270000, 74.11, 0, 1, 74.58, -999
20141029, 75.45, 76.88, 74.78, 75.86, 106120000, 75.86, 0, 1, 75.655, -999
20141028, 80.18, 81.16, 79.57, 80.77, 71343100, 80.77, 0, 1, 80.475, -999
20141027, 80.74, 80.8, 79.76, 80.28, 30169000, 80.28, 0, 1, 80.51, -999
20141024, 80.2, 80.82, 79.32, 80.67, 32248000, 80.67, 0, 1, 80.435, -999
20141023, 79.38, 80.63, 79.01, 80.04, 35056000, 80.04, 0, 1, 79.71, -999
20141022, 78.82, 79.85, 78.01, 78.37, 41808900, 78.37, 0, 1, 78.595, -999
20141021, 77.56, 78.74, 77.15, 78.69, 32252000, 78.69, 0, 1, 78.125, -999
20141020, 75.6, 77.09, 75.38, 76.95, 34701000, 76.95, 0, 1, 76.275, -999
20141017, 74.23, 76, 73.75, 75.95, 76342000, 75.95, 0, 1, 75.09, -999
20141016, 70.79, 73.35, 70.58, 72.63, 53529000, 72.63, 0, 1, 71.71, -999
20141015, 71.69, 73.8, 70.32, 73.21, 61528000, 73.21, 0, 1, 72.45, -999
20141014, 74, 74.18, 72.05, 73.59, 50299000, 73.59, 0, 1, 73.795, -999
20141013, 73.23, 74.78, 72.52, 72.99, 43938000, 72.99, 0, 1, 73.11, -999
20141010, 75.59, 76.5, 72.76, 72.91, 52146000, 72.91, 0, 1, 74.25, -999
20141009, 77.28, 77.76, 75.85, 75.91, 32487000, 75.91, 0, 1, 76.595, -999
20141008, 76.18, 77.71, 75.1, 77.52, 32976000, 77.52, 0, 1, 76.85, -999
20141007, 77.05, 77.95, 76.24, 76.29, 25317000, 76.29, 0, 1, 76.67, -999
