Ticker: FDO  Created on: 12/6/2014 5:24:32 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 79.26, 79.81, 79.26, 79.78, 1332600, 79.78, 0, 1, 79.52, -999
20141204, 79.5, 79.89, 79.18, 79.68, 2382900, 79.68, 0, 1, 79.59, -999
20141203, 79.39, 79.75, 79.11, 79.48, 2088000, 79.48, 0, 1, 79.435, -999
20141202, 79.74, 79.74, 79.24, 79.4, 630900, 79.4, 0, 1, 79.57, -999
20141201, 79.04, 79.58, 78.7, 79.42, 1056100, 79.42, 0, 1, 79.23, -999
20141128, 79.34, 79.51, 78.7, 79.05, 341100, 79.05, 0, 1, 79.195, -999
20141126, 78.76, 79.12, 78.5, 79.04, 1016500, 79.04, 0, 1, 78.9, -999
20141125, 79.26, 79.35, 78.62, 78.68, 1144100, 78.68, 0, 1, 78.97, -999
20141124, 79, 79.2, 78.68, 79.11, 1234100, 79.11, 0, 1, 79.055, -999
20141121, 79, 79.1, 78.47, 78.99, 2307300, 78.99, 0, 1, 78.995, -999
20141120, 78.7, 78.83, 78.17, 78.58, 2749400, 78.58, 0, 1, 78.64, -999
20141119, 78.24, 78.5, 77.5, 78.45, 3538700, 78.45, 0, 1, 78.345, -999
20141118, 78.65, 78.99, 78.54, 78.85, 1141200, 78.85, 0, 1, 78.75, -999
20141117, 78.24, 78.9, 78.07, 78.86, 517300, 78.86, 0, 1, 78.55, -999
20141114, 78.58, 78.6, 78.2, 78.32, 523800, 78.32, 0, 1, 78.45, -999
20141113, 78.75, 78.75, 78.4, 78.4, 335200, 78.4, 0, 1, 78.575, -999
20141112, 78.58, 78.66, 78.38, 78.53, 269700, 78.53, 0, 1, 78.555, -999
20141111, 78.57, 78.71, 78.27, 78.55, 245200, 78.55, 0, 1, 78.56, -999
20141110, 78.54, 78.91, 78.3, 78.5, 300000, 78.5, 0, 1, 78.52, -999
20141107, 78.69, 79.03, 78.44, 78.84, 421700, 78.84, 0, 1, 78.765, -999
20141106, 78.75, 78.97, 78.43, 78.69, 535800, 78.69, 0, 1, 78.72, -999
20141105, 78.5, 78.68, 78.25, 78.51, 590200, 78.51, 0, 1, 78.505, -999
20141104, 78.5, 78.61, 78.13, 78.35, 439100, 78.35, 0, 1, 78.425, -999
20141103, 78.28, 78.7, 77.98, 78.55, 562200, 78.55, 0, 1, 78.415, -999
20141031, 78.06, 78.32, 77.9, 78.29, 686300, 78.29, 0, 1, 78.175, -999
20141030, 77.4, 78.13, 77.4, 77.82, 428100, 77.82, 0, 1, 77.61, -999
20141029, 77.7, 77.97, 77.23, 77.75, 734600, 77.75, 0, 1, 77.725, -999
20141028, 77.85, 77.97, 77.43, 77.73, 566700, 77.73, 0, 1, 77.79, -999
20141027, 77.99, 78, 77.6, 77.88, 2923700, 77.88, 0, 1, 77.935, -999
20141024, 77.82, 78.17, 77.5, 77.95, 569600, 77.95, 0, 1, 77.885, -999
20141023, 77.4, 77.85, 77.23, 77.68, 927700, 77.68, 0, 1, 77.54, -999
20141022, 77.49, 77.72, 76.86, 76.96, 1082700, 76.96, 0, 1, 77.225, -999
