Ticker: FDX  Created on: 12/6/2014 5:24:33 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 180.25, 182.18, 180.2, 182.03, 1245600, 182.03, 0, 1, 181.14, -999
20141204, 180.25, 180.75, 179.34, 180.18, 1431400, 180.18, 0, 1, 180.215, -999
20141203, 180.7, 180.7, 179.49, 180.04, 1695800, 180.04, 0, 1, 180.37, -999
20141202, 181.12, 182.42, 179.77, 180.39, 3395800, 180.39, 0, 1, 180.755, -999
20141201, 178.79, 178.97, 175.72, 177.7, 1987000, 177.7, 0, 1, 178.245, -999
20141128, 178.54, 179.79, 177.5, 178.18, 1813200, 178.18, 0, 1, 178.36, -999
20141126, 175.25, 175.49, 174.52, 175.08, 765800, 175.08, 0, 1, 175.165, -999
20141125, 175.45, 175.89, 174.4, 174.86, 1963800, 174.86, 0, 1, 175.155, -999
20141124, 175.34, 176.45, 175.09, 175.53, 1868600, 175.53, 0, 1, 175.435, -999
20141121, 175.53, 176.61, 173.87, 174.46, 2068200, 174.46, 0, 1, 174.995, -999
20141120, 171.09, 172.62, 170.42, 172.5, 1092100, 172.5, 0, 1, 171.795, -999
20141119, 172, 172, 170.28, 171.68, 893700, 171.68, 0, 1, 171.84, -999
20141118, 171.29, 172.81, 171.19, 172, 1032100, 172, 0, 1, 171.645, -999
20141117, 171.26, 171.62, 170.62, 171.32, 848000, 171.32, 0, 1, 171.29, -999
20141114, 171.14, 172.7, 170.77, 171.56, 1062100, 171.56, 0, 1, 171.35, -999
20141113, 172.02, 172.46, 170.46, 171.57, 1552100, 171.57, 0, 1, 171.795, -999
20141112, 171.67, 172.13, 170.48, 171.8, 906100, 171.8, 0, 1, 171.735, -999
20141111, 171.79, 172.88, 171.13, 172.34, 1383200, 172.34, 0, 1, 172.065, -999
20141110, 170.99, 171.95, 170.06, 171.74, 1091000, 171.74, 0, 1, 171.365, -999
20141107, 171.91, 171.91, 169.64, 171.22, 1238100, 171.22, 0, 1, 171.565, -999
20141106, 169.5, 171.92, 169.27, 171.7, 1547900, 171.7, 0, 1, 170.6, -999
20141105, 169, 169.48, 167.2, 169.42, 1522700, 169.42, 0, 1, 169.21, -999
20141104, 167.73, 168.64, 166.9, 166.96, 2429300, 166.96, 0, 1, 167.345, -999
20141103, 167.15, 167.62, 165.71, 167.2, 1550800, 167.2, 0, 1, 167.175, -999
20141031, 167.99, 169, 167.02, 167.4, 2245600, 167.4, 0, 1, 167.695, -999
20141030, 165.19, 166.72, 163.91, 165.29, 1670200, 165.29, 0, 1, 165.24, -999
20141029, 168.2, 168.25, 163.61, 165.77, 1827400, 165.77, 0, 1, 166.985, -999
20141028, 165.82, 168.27, 165.63, 168.2, 1579100, 168.2, 0, 1, 167.01, -999
20141027, 163.75, 165.4, 163.01, 165.22, 1530000, 165.22, 0, 1, 164.485, -999
20141024, 163.1, 164.48, 162.68, 163.88, 1571100, 163.88, 0, 1, 163.49, -999
20141023, 160.95, 163.48, 160.59, 162.5, 2368900, 162.5, 0, 1, 161.725, -999
20141022, 160.74, 161.26, 158.45, 158.47, 1872100, 158.47, 0, 1, 159.605, -999
20141021, 157.03, 160.93, 156.71, 159.88, 2670300, 159.88, 0, 1, 158.455, -999
20141020, 155.72, 156.15, 154.01, 155.87, 1691000, 155.87, 0, 1, 155.795, -999
20141017, 153.24, 156.65, 153.02, 156.12, 2613200, 156.12, 0, 1, 154.68, -999
20141016, 151.68, 154.39, 150.54, 151.93, 2743800, 151.93, 0, 1, 151.805, -999
20141015, 151.11, 154.45, 148.81, 153.82, 2644600, 153.82, 0, 1, 152.465, -999
20141014, 152.88, 155.33, 152.61, 153.72, 2605800, 153.72, 0, 1, 153.3, -999
20141013, 155.1, 156.77, 151.11, 151.26, 1992400, 151.26, 0, 1, 153.18, -999
20141010, 156.16, 157.79, 153.49, 154.75, 2129700, 154.75, 0, 1, 155.455, -999
20141009, 159.5, 160.35, 156.22, 156.51, 1450800, 156.51, 0, 1, 158.005, -999
20141008, 156.18, 160.43, 155.13, 160.25, 2137500, 160.25, 0, 1, 158.215, -999
20141007, 158.59, 159, 156.03, 156.06, 1734400, 156.06, 0, 1, 157.325, -999
20141006, 163.27, 165.17, 159, 159.24, 2687200, 159.24, 0, 1, 161.255, -999
