Ticker: FISV  Created on: 12/6/2014 5:24:34 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 71.09, 71.37, 70.94, 71.37, 1537600, 71.37, 0, 1, 71.23, -999
20141204, 71.54, 71.85, 70.76, 70.9, 1253100, 70.9, 0, 1, 71.22, -999
20141203, 71.24, 71.5, 70.87, 71.47, 1277600, 71.47, 0, 1, 71.355, -999
20141202, 71.22, 71.54, 71.06, 71.26, 1063500, 71.26, 0, 1, 71.24, -999
20141201, 71.22, 71.45, 71.01, 71.21, 1556000, 71.21, 0, 1, 71.215, -999
20141128, 71.47, 71.92, 71.37, 71.49, 1054500, 71.49, 0, 1, 71.48, -999
20141126, 70.6, 71, 70.48, 70.9, 982300, 70.9, 0, 1, 70.75, -999
20141125, 70.87, 71.15, 70.41, 70.49, 1199000, 70.49, 0, 1, 70.68, -999
20141124, 70.35, 70.68, 70.08, 70.63, 1044500, 70.63, 0, 1, 70.49, -999
20141121, 71.21, 71.21, 69.94, 70.06, 2197900, 70.06, 0, 1, 70.635, -999
20141120, 70.21, 70.51, 69.82, 70.43, 1034100, 70.43, 0, 1, 70.32, -999
20141119, 70.47, 70.56, 70.19, 70.41, 1086800, 70.41, 0, 1, 70.44, -999
20141118, 70.22, 70.85, 70.03, 70.5, 790300, 70.5, 0, 1, 70.36, -999
20141117, 69.87, 70.53, 69.84, 70.31, 957300, 70.31, 0, 1, 70.09, -999
20141114, 70.62, 70.62, 69.99, 70.09, 897100, 70.09, 0, 1, 70.355, -999
20141113, 70.09, 70.42, 69.72, 70.37, 1260400, 70.37, 0, 1, 70.23, -999
20141112, 69.5, 70.02, 69.5, 69.85, 946800, 69.85, 0, 1, 69.675, -999
20141111, 70.03, 70.19, 69.7, 69.84, 912400, 69.84, 0, 1, 69.935, -999
20141110, 69.39, 70.08, 69.28, 70.07, 1608300, 70.07, 0, 1, 69.73, -999
20141107, 70.17, 70.21, 69.35, 69.46, 1106300, 69.46, 0, 1, 69.815, -999
20141106, 70.04, 70.22, 69.87, 69.98, 1009800, 69.98, 0, 1, 70.01, -999
20141105, 70.25, 70.25, 69.31, 69.88, 1207600, 69.88, 0, 1, 70.065, -999
20141104, 69.7, 70.18, 69.13, 69.15, 1296300, 69.15, 0, 1, 69.425, -999
