Ticker: FIS  Created on: 12/6/2014 5:24:33 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 61.65, 61.89, 61.41, 61.62, 624100, 61.62, 0, 1, 61.635, -999
20141204, 61.79, 61.96, 61.41, 61.65, 635400, 61.65, 0, 1, 61.72, -999
20141203, 61.34, 61.83, 61.2, 61.74, 702800, 61.74, 0, 1, 61.54, -999
20141202, 61.54, 61.66, 61.32, 61.42, 830700, 61.42, 0, 1, 61.48, -999
20141201, 60.83, 61.69, 60.68, 61.43, 959900, 61.43, 0, 1, 61.13, -999
20141128, 60.9, 61.66, 60.68, 61.19, 599200, 61.19, 0, 1, 61.045, -999
20141126, 60.51, 60.91, 60.37, 60.76, 835100, 60.76, 0, 1, 60.635, -999
20141125, 60.3, 60.69, 60.01, 60.46, 999100, 60.46, 0, 1, 60.38, -999
20141124, 59.95, 60.22, 59.93, 60.11, 682400, 60.11, 0, 1, 60.03, -999
20141121, 60.15, 60.25, 59.81, 59.9, 957200, 59.9, 0, 1, 60.025, -999
20141120, 59.54, 59.81, 59.36, 59.7, 656300, 59.7, 0, 1, 59.62, -999
20141119, 59.76, 59.85, 59.35, 59.78, 764000, 59.78, 0, 1, 59.77, -999
20141118, 59.36, 59.96, 59.25, 59.8, 1203600, 59.8, 0, 1, 59.58, -999
20141117, 59.02, 59.54, 58.81, 59.46, 936300, 59.46, 0, 1, 59.24, -999
20141114, 59.35, 59.57, 58.99, 59.12, 3000100, 59.12, 0, 1, 59.235, -999
20141113, 59.05, 59.31, 58.81, 59.3, 1154200, 59.3, 0, 1, 59.175, -999
20141112, 58.34, 58.93, 58.34, 58.91, 1213800, 58.91, 0, 1, 58.625, -999
20141111, 58.57, 58.68, 58.3, 58.49, 922200, 58.49, 0, 1, 58.53, -999
20141110, 58.22, 58.66, 57.19, 58.58, 899900, 58.58, 0, 1, 58.4, -999
20141107, 58.95, 58.98, 58.27, 58.38, 961200, 58.38, 0, 1, 58.665, -999
20141106, 58.91, 59.03, 58.66, 58.92, 613700, 58.92, 0, 1, 58.915, -999
20141105, 58.6, 58.87, 58.2, 58.79, 1087900, 58.79, 0, 1, 58.695, -999
20141104, 58.18, 58.55, 58.03, 58.23, 1169000, 58.23, 0, 1, 58.205, -999
20141103, 58.62, 58.75, 58.14, 58.33, 1062400, 58.33, 0, 1, 58.475, -999
20141031, 58.19, 59.24, 58.16, 58.39, 2369200, 58.39, 0, 1, 58.29, -999
20141030, 56.2, 57.86, 56.2, 57.39, 1883100, 57.39, 0, 1, 56.795, -999
20141029, 56.67, 56.78, 55.76, 56.2, 1653500, 56.2, 0, 1, 56.435, -999
20141028, 55.93, 56.57, 55.69, 56.55, 1307600, 56.55, 0, 1, 56.24, -999
20141027, 55.69, 55.8, 55.26, 55.57, 923400, 55.57, 0, 1, 55.63, -999
20141024, 55.23, 55.9, 55.09, 55.77, 906300, 55.77, 0, 1, 55.5, -999
20141023, 55.18, 55.43, 54.94, 55.24, 1184700, 55.24, 0, 1, 55.21, -999
20141022, 54.7, 55.19, 54.44, 54.46, 1208900, 54.46, 0, 1, 54.58, -999
20141021, 53.99, 54.82, 53.87, 54.7, 1565000, 54.7, 0, 1, 54.345, -999
20141020, 53.03, 53.77, 53.03, 53.74, 1068200, 53.74, 0, 1, 53.385, -999
20141017, 52.97, 53.7, 52.68, 53.41, 1566200, 53.41, 0, 1, 53.19, -999
20141016, 51.54, 52.54, 51.44, 52.38, 1008800, 52.38, 0, 1, 51.96, -999
20141015, 52.56, 52.81, 51.38, 52.4, 1606900, 52.4, 0, 1, 52.48, -999
20141014, 53.47, 53.66, 53.21, 53.31, 1658300, 53.31, 0, 1, 53.39, -999
20141013, 54.36, 54.36, 53.18, 53.23, 1282500, 53.23, 0, 1, 53.795, -999
20141010, 55.13, 55.51, 54.28, 54.29, 1259900, 54.29, 0, 1, 54.71, -999
20141009, 56.44, 56.47, 55.05, 55.09, 950000, 55.09, 0, 1, 55.765, -999
20141008, 55.17, 56.59, 55.17, 56.51, 1834100, 56.51, 0, 1, 55.84, -999
