Ticker: FITB  Created on: 12/6/2014 5:24:34 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 20.29, 20.67, 20.2, 20.63, 8550500, 20.63, 0, 1, 20.46, -999
20141204, 20.06, 20.2, 19.98, 20.16, 5114100, 20.16, 0, 1, 20.11, -999
20141203, 19.95, 20.12, 19.89, 20.08, 6104600, 20.08, 0, 1, 20.015, -999
20141202, 19.75, 20.01, 19.72, 19.92, 5985500, 19.92, 0, 1, 19.835, -999
20141201, 20.02, 20.08, 19.61, 19.75, 5884900, 19.75, 0, 1, 19.885, -999
20141128, 20.31, 20.41, 20.09, 20.12, 2207900, 20.12, 0, 1, 20.215, -999
20141126, 20.27, 20.31, 20.15, 20.29, 3341400, 20.29, 0, 1, 20.28, -999
20141125, 20.36, 20.37, 20.09, 20.22, 5644800, 20.22, 0, 1, 20.29, -999
20141124, 20.22, 20.42, 20.22, 20.35, 3785900, 20.35, 0, 1, 20.285, -999
20141121, 20.43, 20.43, 20.06, 20.13, 4058900, 20.13, 0, 1, 20.28, -999
20141120, 19.86, 20.17, 19.85, 20.17, 3652000, 20.17, 0, 1, 20.015, -999
20141119, 20.19, 20.19, 19.92, 20.01, 4756800, 20.01, 0, 1, 20.1, -999
20141118, 20.15, 20.3, 20.08, 20.19, 2777400, 20.19, 0, 1, 20.17, -999
20141117, 20.1, 20.19, 20, 20.17, 3625000, 20.17, 0, 1, 20.135, -999
20141114, 20.1, 20.35, 20.1, 20.16, 3351800, 20.16, 0, 1, 20.13, -999
20141113, 20.43, 20.43, 20.23, 20.31, 4381300, 20.31, 0, 1, 20.37, -999
20141112, 20.12, 20.39, 20.1, 20.38, 5669300, 20.38, 0, 1, 20.25, -999
20141111, 20.2, 20.28, 20.13, 20.24, 5301600, 20.24, 0, 1, 20.22, -999
20141110, 20.13, 20.31, 20.05, 20.18, 4737300, 20.18, 0, 1, 20.155, -999
20141107, 20.32, 20.32, 19.88, 20.11, 7022600, 20.11, 0, 1, 20.215, -999
20141106, 20.23, 20.33, 20.07, 20.3, 7619500, 20.3, 0, 1, 20.265, -999
20141105, 20.08, 20.2, 19.92, 20.18, 6887200, 20.18, 0, 1, 20.13, -999
