Ticker: FLIR  Created on: 12/6/2014 5:24:35 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 31.56, 32, 31.49, 31.85, 702800, 31.85, 0, 1, 31.705, -999
20141204, 31.27, 32.65, 31.24, 31.56, 1360700, 31.56, 0, 1, 31.415, -999
20141203, 31.07, 31.79, 30.97, 31.34, 1981100, 31.34, 0, 1, 31.205, -999
20141202, 31.02, 31.15, 30.82, 31.05, 963300, 31.05, 0, 1, 31.035, -999
20141201, 31.54, 31.66, 30.94, 30.97, 649200, 30.97, 0, 1, 31.255, -999
20141128, 31.86, 31.97, 31.67, 31.73, 332700, 31.73, 0, 1, 31.795, -999
20141126, 31.83, 31.91, 31.54, 31.78, 712800, 31.78, 0, 1, 31.805, -999
20141125, 31.91, 32, 31.57, 31.83, 1598500, 31.83, 0, 1, 31.87, -999
20141124, 31.64, 31.81, 31.43, 31.63, 816900, 31.63, 0, 1, 31.635, -999
20141121, 31.75, 31.99, 31.46, 31.51, 716600, 31.51, 0, 1, 31.63, -999
20141120, 31.63, 31.83, 31.46, 31.5, 598400, 31.5, 0, 1, 31.565, -999
20141119, 31.97, 32.05, 31.66, 31.82, 430900, 31.82, 0, 1, 31.895, -999
20141118, 32.14, 32.36, 31.92, 31.97, 523400, 31.97, 0, 1, 32.055, -999
20141117, 32.17, 32.35, 32.03, 32.17, 724900, 32.17, 0, 1, 32.17, -999
20141114, 32.3, 32.64, 32.1, 32.16, 735000, 32.16, 0, 1, 32.23, -999
20141113, 33.05, 33.13, 32.41, 32.44, 888200, 32.34, 0, 1, 32.695, -999
20141112, 32.91, 33.25, 32.9, 32.98, 804100, 32.88, 0, 1, 32.895, -999
20141111, 33.36, 33.36, 32.95, 32.99, 721300, 32.89, 0, 1, 33.125, -999
20141110, 33.73, 33.79, 33.17, 33.21, 1033000, 33.11, 0, 1, 33.42, -999
20141107, 34.35, 34.39, 33.7, 33.78, 655600, 33.68, 0, 1, 34.015, -999
20141106, 34.11, 34.4, 33.96, 34.32, 650600, 34.21, 0, 1, 34.16, -999
20141105, 33.94, 34.17, 33.71, 34.05, 460400, 33.95, 0, 1, 33.945, -999
20141104, 33.67, 34.32, 33.6, 33.83, 709300, 33.73, 0, 1, 33.7, -999
20141103, 33.6, 33.79, 33.5, 33.77, 735100, 33.67, 0, 1, 33.635, -999
20141031, 33.38, 33.63, 33.05, 33.53, 914700, 33.43, 0, 1, 33.405, -999
20141030, 32.32, 33.09, 32.26, 32.94, 595200, 32.84, 0, 1, 32.58, -999
20141029, 32.5, 32.68, 32.05, 32.57, 599800, 32.47, 0, 1, 32.485, -999
20141028, 32.12, 32.66, 32.08, 32.51, 801500, 32.41, 0, 1, 32.265, -999
20141027, 32.48, 32.48, 31.94, 32.05, 1117000, 31.95, 0, 1, 32.215, -999
20141024, 31.09, 32.33, 30.75, 32.04, 1863000, 31.94, 0, 1, 31.515, -999
20141023, 29.83, 30.3, 29.65, 30.11, 962900, 30.02, 0, 1, 29.925, -999
20141022, 29.83, 30.07, 29.5, 29.52, 633900, 29.43, 0, 1, 29.63, -999
20141021, 29.43, 29.86, 29.11, 29.8, 1177400, 29.71, 0, 1, 29.57, -999
20141020, 28.93, 29.22, 28.71, 29.2, 956700, 29.11, 0, 1, 29.02, -999
20141017, 29.34, 29.37, 28.8, 29.05, 1325400, 28.96, 0, 1, 29.15, -999
20141016, 28.9, 29.5, 28.32, 29.2, 1380900, 29.11, 0, 1, 29.005, -999
20141015, 28.47, 29.63, 28.44, 29.33, 1526400, 29.24, 0, 1, 28.855, -999
20141014, 28.64, 29.07, 28.54, 28.78, 970800, 28.69, 0, 1, 28.665, -999
20141013, 28.68, 28.81, 28.32, 28.36, 755400, 28.27, 0, 1, 28.475, -999
20141010, 29.13, 29.22, 28.57, 28.63, 898000, 28.54, 0, 1, 28.835, -999
20141009, 29.8, 29.97, 29.03, 29.18, 780400, 29.09, 0, 1, 29.445, -999
20141008, 29.64, 29.93, 29.14, 29.81, 1136200, 29.72, 0, 1, 29.68, -999
