Ticker: FLR  Created on: 12/6/2014 5:24:36 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 61.9, 62.71, 61.89, 62.39, 1510700, 62.39, 0, 1, 62.145, -999
20141204, 62.46, 62.68, 61.6, 62.05, 1894000, 62.05, 0, 1, 62.255, -999
20141203, 62, 63.69, 62, 62.91, 2334500, 62.91, 0, 1, 62.455, -999
20141202, 60.54, 62.01, 60.43, 61.58, 2647700, 61.58, 0, 1, 61.06, -999
20141201, 61.1, 61.75, 58.41, 60.25, 5244800, 60.25, 0, 1, 60.675, -999
20141128, 65.33, 65.33, 61.79, 61.99, 3549000, 61.99, 0, 1, 63.66, -999
20141126, 68.57, 68.8, 66.41, 66.72, 2287500, 66.51, 0, 1, 67.54, -999
20141125, 68.53, 68.86, 68.12, 68.68, 1970500, 68.46, 0, 1, 68.495, -999
20141124, 69.53, 69.56, 67.68, 68.33, 2266200, 68.11, 0, 1, 68.82, -999
20141121, 68.78, 69.69, 68.67, 69.24, 2471400, 69.02, 0, 1, 68.9, -999
20141120, 65.93, 68.09, 65.9, 67.59, 1657400, 67.38, 0, 1, 66.655, -999
20141119, 66.29, 66.69, 65.87, 66.33, 1883100, 66.12, 0, 1, 66.205, -999
20141118, 64.1, 65.98, 64.1, 65.94, 2308800, 65.73, 0, 1, 64.915, -999
20141117, 64.63, 64.75, 63.5, 63.61, 1670800, 63.41, 0, 1, 64.02, -999
20141114, 65.02, 65.54, 64.37, 64.7, 2039000, 64.5, 0, 1, 64.76, -999
20141113, 65.96, 66.41, 64.41, 65.09, 1478600, 64.89, 0, 1, 65.425, -999
20141112, 65.6, 66.07, 65.35, 65.95, 1133100, 65.74, 0, 1, 65.67, -999
20141111, 65.9, 66.05, 65.5, 65.9, 1416300, 65.69, 0, 1, 65.795, -999
20141110, 66.34, 66.95, 65.71, 65.96, 1586100, 65.75, 0, 1, 66.045, -999
20141107, 65.7, 66.78, 65.69, 66.29, 1986200, 66.08, 0, 1, 65.89, -999
20141106, 65.3, 65.86, 64.97, 65.67, 1717600, 65.46, 0, 1, 65.38, -999
20141105, 64.09, 65.72, 64, 65.5, 1923000, 65.29, 0, 1, 64.69, -999
20141104, 65.41, 65.48, 63.63, 63.77, 1876000, 63.57, 0, 1, 64.49, -999
20141103, 66.52, 66.97, 65.57, 65.78, 1673500, 65.57, 0, 1, 66.045, -999
20141031, 66.21, 67.38, 64.82, 66.34, 3137300, 66.13, 0, 1, 66.17, -999
20141030, 65.03, 66.95, 65.03, 66.42, 1850000, 66.21, 0, 1, 65.62, -999
20141029, 66.71, 66.92, 65.02, 65.53, 1443200, 65.32, 0, 1, 66.015, -999
20141028, 65.47, 66.72, 64.89, 66.61, 1455600, 66.4, 0, 1, 65.935, -999
20141027, 64.9, 65.24, 64.32, 65.2, 1694200, 64.99, 0, 1, 64.945, -999
20141024, 65.08, 65.09, 63.95, 64.95, 1225000, 64.75, 0, 1, 64.915, -999
20141023, 62.37, 65.12, 61.91, 64.61, 2655600, 64.41, 0, 1, 63.39, -999
20141022, 63.93, 64.1, 61.51, 61.62, 2483600, 61.43, 0, 1, 62.68, -999
