Ticker: FOSL  Created on: 12/6/2014 5:24:38 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 109.63, 110.19, 108.89, 109.48, 451400, 109.48, 0, 1, 109.555, -999
20141204, 109.63, 110.42, 109.03, 109.51, 575100, 109.51, 0, 1, 109.57, -999
20141203, 108.91, 110, 108.22, 109.81, 571300, 109.81, 0, 1, 109.36, -999
20141202, 109.57, 111.11, 108.74, 108.87, 500300, 108.87, 0, 1, 109.22, -999
20141201, 111.72, 111.72, 109.19, 109.97, 695900, 109.97, 0, 1, 110.845, -999
20141128, 110.68, 112.39, 110.28, 111.72, 292000, 111.72, 0, 1, 111.2, -999
20141126, 110.51, 110.82, 109.72, 110.16, 410400, 110.16, 0, 1, 110.335, -999
20141125, 111.44, 112.23, 110.47, 110.59, 557400, 110.59, 0, 1, 111.015, -999
20141124, 109.81, 111.11, 109.62, 111.07, 614400, 111.07, 0, 1, 110.44, -999
20141121, 110.58, 110.77, 109.24, 109.37, 623000, 109.37, 0, 1, 109.975, -999
20141120, 107.19, 109.85, 106.73, 109.37, 806300, 109.37, 0, 1, 108.28, -999
20141119, 108.16, 108.43, 107, 107.43, 673300, 107.43, 0, 1, 107.795, -999
20141118, 107.25, 108.81, 107.19, 108.02, 572300, 108.02, 0, 1, 107.635, -999
20141117, 108.14, 108.28, 106.88, 107.42, 913900, 107.42, 0, 1, 107.78, -999
20141114, 108.2, 108.72, 105.91, 108.32, 2168600, 108.32, 0, 1, 108.26, -999
20141113, 112.4, 112.4, 109.45, 109.81, 1362000, 109.81, 0, 1, 111.105, -999
20141112, 111.05, 115.2, 109.83, 112.48, 4931100, 112.48, 0, 1, 111.765, -999
20141111, 104.16, 104.8, 102.75, 103.75, 2794600, 103.75, 0, 1, 103.955, -999
20141110, 102.67, 104.23, 102.08, 103.22, 697400, 103.22, 0, 1, 102.945, -999
20141107, 102.51, 103.7, 102.14, 103.02, 607200, 103.02, 0, 1, 102.765, -999
20141106, 101.05, 102.74, 100.65, 102.72, 406200, 102.72, 0, 1, 101.885, -999
20141105, 100.25, 101.56, 99.8, 100.75, 386400, 100.75, 0, 1, 100.5, -999
20141104, 102.1, 102.1, 98.68, 99.88, 871100, 99.88, 0, 1, 100.99, -999
