Ticker: FOXA  Created on: 12/6/2014 5:26:19 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 37.7, 37.95, 37.41, 37.81, 10995700, 37.81, 0, 1, 37.755, -999
20141204, 37.15, 37.79, 37.11, 37.63, 14156300, 37.63, 0, 1, 37.39, -999
20141203, 37.22, 37.43, 36.98, 37.25, 9878500, 37.25, 0, 1, 37.235, -999
20141202, 37.27, 37.54, 37.12, 37.19, 10367800, 37.19, 0, 1, 37.23, -999
20141201, 36.75, 37.29, 36.39, 37.28, 15507500, 37.28, 0, 1, 37.015, -999
20141128, 36.86, 36.87, 36.4, 36.8, 3308600, 36.8, 0, 1, 36.83, -999
20141126, 36.55, 36.6, 36.24, 36.32, 8172100, 36.32, 0, 1, 36.435, -999
20141125, 35.92, 36.65, 35.81, 36.56, 17894000, 36.56, 0, 1, 36.24, -999
20141124, 35.26, 35.76, 35.13, 35.75, 12188400, 35.75, 0, 1, 35.505, -999
20141121, 35.55, 35.55, 34.95, 35.21, 11036100, 35.21, 0, 1, 35.38, -999
20141120, 34.78, 35.11, 34.53, 35.06, 8228000, 35.06, 0, 1, 34.92, -999
20141119, 35.1, 35.41, 34.88, 35.01, 8455200, 35.01, 0, 1, 35.055, -999
20141118, 35.29, 35.41, 34.95, 35.3, 9487500, 35.3, 0, 1, 35.295, -999
20141117, 35.12, 35.45, 35, 35.34, 7710700, 35.34, 0, 1, 35.23, -999
20141114, 35.07, 35.19, 34.72, 35.11, 7612600, 35.11, 0, 1, 35.09, -999
20141113, 34.66, 35.05, 34.66, 34.99, 8699800, 34.99, 0, 1, 34.825, -999
20141112, 34.7, 34.93, 34.54, 34.64, 8206000, 34.64, 0, 1, 34.67, -999
20141111, 34.62, 34.96, 34.57, 34.93, 11220900, 34.93, 0, 1, 34.775, -999
20141110, 34.52, 34.79, 34.39, 34.74, 13346200, 34.74, 0, 1, 34.63, -999
20141107, 35.29, 35.29, 34.44, 34.61, 9196800, 34.61, 0, 1, 34.95, -999
20141106, 35.21, 35.31, 34.69, 35.31, 12412000, 35.31, 0, 1, 35.26, -999
20141105, 34.36, 34.84, 33.94, 34.84, 24554700, 34.84, 0, 1, 34.6, -999
20141104, 34.15, 34.16, 32.49, 33.33, 26730000, 33.33, 0, 1, 33.74, -999
20141103, 34.41, 34.93, 34.08, 34.35, 10385300, 34.35, 0, 1, 34.38, -999
20141031, 36.02, 36.02, 34.33, 34.48, 12206200, 34.48, 0, 1, 35.25, -999
20141030, 34.16, 34.61, 34.06, 34.56, 10775400, 34.56, 0, 1, 34.36, -999
20141029, 34.34, 34.6, 34.14, 34.35, 14402700, 34.35, 0, 1, 34.345, -999
20141028, 33.81, 34.32, 33.81, 34.31, 11355700, 34.31, 0, 1, 34.06, -999
20141027, 33.25, 33.78, 33.2, 33.77, 9944500, 33.77, 0, 1, 33.51, -999
20141024, 33.65, 33.68, 33.27, 33.35, 11931300, 33.35, 0, 1, 33.5, -999
20141023, 33.72, 33.72, 33.17, 33.54, 15164000, 33.54, 0, 1, 33.63, -999
20141022, 33.69, 33.71, 32.6, 32.75, 18332600, 32.75, 0, 1, 33.22, -999
20141021, 33.11, 33.76, 32.98, 33.67, 13787200, 33.67, 0, 1, 33.39, -999
20141020, 33.24, 33.24, 32.53, 33.04, 14502100, 33.04, 0, 1, 33.14, -999
20141017, 32.65, 33.07, 32.58, 32.7, 12619700, 32.7, 0, 1, 32.675, -999
20141016, 31.16, 32.72, 31.01, 32.5, 20965100, 32.5, 0, 1, 31.83, -999
20141015, 31.47, 32.34, 31.02, 31.77, 19086100, 31.77, 0, 1, 31.62, -999
20141014, 32.18, 32.47, 31.88, 31.9, 11944900, 31.9, 0, 1, 32.04, -999
20141013, 32.17, 32.68, 31.78, 31.82, 21493300, 31.82, 0, 1, 31.995, -999
20141010, 33.14, 33.49, 32.35, 32.43, 22025300, 32.43, 0, 1, 32.785, -999
20141009, 34.04, 34.2, 33.04, 33.11, 17728500, 33.11, 0, 1, 33.575, -999
20141008, 33.5, 34.22, 33.37, 34.11, 15353100, 34.11, 0, 1, 33.805, -999
20141007, 33.81, 34.06, 33.65, 33.65, 9818600, 33.65, 0, 1, 33.73, -999
20141006, 34.14, 34.25, 33.95, 34.11, 11844200, 34.11, 0, 1, 34.125, -999
20141003, 33.52, 34.18, 33.37, 34.07, 13927200, 34.07, 0, 1, 33.795, -999
