Ticker: FRX  Created on: 12/6/2014 5:24:37 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20140630, 100.16, 100.46, 99, 99, 11460400, 99, 0, 1, 99.58, -999
20140627, 99.48, 100.7, 99.38, 99.77, 4120600, 99.77, 0, 1, 99.625, -999
20140626, 99.52, 100.39, 99.16, 99.96, 1284000, 99.96, 0, 1, 99.74, -999
20140625, 100.23, 100.54, 98.84, 99.53, 1823400, 99.53, 0, 1, 99.88, -999
20140624, 98.98, 100.22, 98.87, 100.04, 4510700, 100.04, 0, 1, 99.51, -999
20140623, 98.16, 99.45, 97.86, 98.75, 1482900, 98.75, 0, 1, 98.455, -999
20140620, 96.29, 97.94, 96, 96.87, 4636700, 96.87, 0, 1, 96.58, -999
20140619, 97.39, 97.63, 96.2, 96.95, 1827800, 96.95, 0, 1, 97.17, -999
20140618, 96.69, 98.67, 96.54, 97.46, 2274300, 97.46, 0, 1, 97.075, -999
20140617, 94.43, 97.54, 94.43, 96.59, 3381900, 96.59, 0, 1, 95.51, -999
20140616, 94.36, 95.94, 94.34, 94.97, 2586600, 94.97, 0, 1, 94.665, -999
20140613, 94.61, 95.2, 93.6, 94.58, 1342600, 94.58, 0, 1, 94.595, -999
20140612, 94.19, 95.61, 94.1, 94.37, 1587000, 94.37, 0, 1, 94.28, -999
20140611, 93, 95.36, 93, 95.12, 2177600, 95.12, 0, 1, 94.06, -999
20140610, 93.54, 94.3, 92.58, 93.8, 2554200, 93.8, 0, 1, 93.67, -999
20140609, 93.96, 94.5, 93.74, 94.05, 1338800, 94.05, 0, 1, 94.005, -999
20140606, 93.8, 94.57, 93.66, 94.24, 1501400, 94.24, 0, 1, 94.02, -999
20140605, 94.6, 95.34, 93.77, 93.86, 2613500, 93.86, 0, 1, 94.23, -999
20140604, 96, 96.41, 94.72, 94.77, 3641900, 94.77, 0, 1, 95.385, -999
20140603, 95.49, 96.5, 95.11, 96.23, 1218000, 96.23, 0, 1, 95.86, -999
20140602, 95, 95.89, 93.79, 95.53, 2089300, 95.53, 0, 1, 95.265, -999
20140530, 95.3, 96.2, 94.63, 94.78, 7530100, 94.78, 0, 1, 95.04, -999
20140529, 94.71, 95.79, 94.47, 95.75, 1296200, 95.75, 0, 1, 95.23, -999
20140528, 95.93, 96.53, 94.45, 94.53, 1365800, 94.53, 0, 1, 95.23, -999
20140527, 96.05, 96.26, 95.42, 95.91, 1552900, 95.91, 0, 1, 95.98, -999
20140526, 95.57, 95.57, 95.57, 95.57, 0, 95.57, 0, 1, 95.57, -999
20140523, 95.07, 96, 94.93, 95.57, 1316800, 95.57, 0, 1, 95.32, -999
20140522, 93.08, 95.9, 93.08, 95.11, 2018100, 95.11, 0, 1, 94.095, -999
20140521, 92.43, 93.6, 92.39, 93.57, 1643400, 93.57, 0, 1, 93, -999
20140520, 93.38, 93.63, 92.21, 92.66, 1922300, 92.66, 0, 1, 93.02, -999
20140519, 93, 94, 92.88, 93.5, 2346700, 93.5, 0, 1, 93.25, -999
20140516, 92.4, 93.46, 92.16, 93.28, 2341000, 93.28, 0, 1, 92.84, -999
20140515, 92.43, 92.85, 91.58, 92.59, 2156900, 92.59, 0, 1, 92.51, -999
20140514, 92.59, 93.85, 92.16, 92.78, 1343000, 92.78, 0, 1, 92.685, -999
20140513, 91.99, 93.29, 91.84, 93.01, 1265700, 93.01, 0, 1, 92.5, -999
20140512, 90.28, 91.94, 89.88, 91.82, 946900, 91.82, 0, 1, 91.05, -999
20140509, 89.74, 90.04, 88.39, 89.5, 1704300, 89.5, 0, 1, 89.62, -999
20140508, 91.19, 91.89, 89.25, 89.89, 2017900, 89.89, 0, 1, 90.54, -999
20140507, 91.91, 92.04, 90.36, 91.56, 2657200, 91.56, 0, 1, 91.735, -999
20140506, 92.76, 93.26, 91.78, 91.78, 1317600, 91.78, 0, 1, 92.27, -999
20140505, 91.09, 93.59, 90.63, 93.49, 1657400, 93.49, 0, 1, 92.29, -999
20140502, 93.52, 93.52, 91.34, 91.51, 1939100, 91.51, 0, 1, 92.515, -999
20140501, 92.03, 94.89, 91.92, 93.3, 1969200, 93.3, 0, 1, 92.665, -999
20140430, 91.34, 92.32, 90.55, 91.91, 4422100, 91.91, 0, 1, 91.625, -999
20140429, 90.79, 90.79, 88.75, 89.73, 1704600, 89.73, 0, 1, 90.26, -999
20140428, 90.66, 91.14, 88.18, 89.5, 2219800, 89.5, 0, 1, 90.08, -999
20140425, 91.16, 91.47, 89.67, 89.84, 2900000, 89.84, 0, 1, 90.5, -999
20140424, 91.91, 92.19, 90.21, 91.45, 1095900, 91.45, 0, 1, 91.68, -999
20140423, 92.02, 92.39, 91.23, 91.65, 1402400, 91.65, 0, 1, 91.835, -999
20140422, 91.63, 94.07, 91.52, 92.13, 4478300, 92.13, 0, 1, 91.88, -999
20140421, 89.67, 91.64, 89.58, 91.28, 2291200, 91.28, 0, 1, 90.475, -999
20140418, 89.58, 89.58, 89.58, 89.58, 0, 89.58, 0, 1, 89.58, -999
20140417, 89.83, 90.74, 89, 89.58, 1095900, 89.58, 0, 1, 89.705, -999
20140416, 89.3, 90.5, 88.72, 90.29, 2268200, 90.29, 0, 1, 89.795, -999
20140415, 87.37, 88.54, 85.85, 88.34, 2390900, 88.34, 0, 1, 87.855, -999
20140414, 87.43, 88.11, 85.41, 86.86, 1636000, 86.86, 0, 1, 87.145, -999
20140411, 86.55, 88.57, 85.91, 86.76, 2735600, 86.76, 0, 1, 86.655, -999
20140410, 90.81, 90.86, 86.94, 87.39, 3566600, 87.39, 0, 1, 89.1, -999
20140409, 88.45, 91.03, 88.3, 90.97, 3938600, 90.97, 0, 1, 89.71, -999
