Ticker: FSLR  Created on: 12/6/2014 5:24:34 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 46.88, 47.55, 46.65, 46.91, 1328700, 46.91, 0, 1, 46.895, -999
20141204, 47.11, 47.23, 46.14, 46.72, 1643100, 46.72, 0, 1, 46.915, -999
20141203, 46.6, 47.56, 46.51, 47.12, 2570500, 47.12, 0, 1, 46.86, -999
20141202, 45.57, 46.91, 45.52, 46.42, 1721400, 46.42, 0, 1, 45.995, -999
20141201, 48.29, 48.78, 45.46, 45.76, 3788600, 45.76, 0, 1, 47.025, -999
20141128, 50.24, 50.25, 47.89, 48.8, 2979700, 48.8, 0, 1, 49.52, -999
20141126, 50.96, 51.87, 50.8, 51.53, 1506700, 51.53, 0, 1, 51.245, -999
20141125, 50.67, 51.1, 50.15, 51.04, 1830200, 51.04, 0, 1, 50.855, -999
20141124, 49.58, 50.71, 49.5, 50.66, 1892300, 50.66, 0, 1, 50.12, -999
20141121, 50.22, 50.78, 49.63, 49.76, 1932700, 49.76, 0, 1, 49.99, -999
20141120, 48.51, 49.91, 47.88, 49.43, 1719100, 49.43, 0, 1, 48.97, -999
20141119, 49.5, 49.69, 48.25, 48.82, 2017300, 48.82, 0, 1, 49.16, -999
20141118, 48.41, 49.68, 48.25, 49.46, 2944300, 49.46, 0, 1, 48.935, -999
20141117, 48.1, 49.15, 47.2, 47.95, 2503200, 47.95, 0, 1, 48.025, -999
20141114, 47.31, 48.66, 45.94, 48.49, 3790800, 48.49, 0, 1, 47.9, -999
20141113, 49.25, 49.4, 47.13, 47.56, 4233100, 47.56, 0, 1, 48.405, -999
20141112, 51.11, 51.39, 49.18, 49.59, 3814500, 49.59, 0, 1, 50.35, -999
20141111, 51.91, 52.35, 50.76, 50.99, 2187700, 50.99, 0, 1, 51.45, -999
20141110, 50.79, 52.6, 50.7, 51.96, 4720300, 51.96, 0, 1, 51.375, -999
20141107, 52.72, 53.48, 50, 50.29, 11166100, 50.29, 0, 1, 51.505, -999
20141106, 56.45, 57.35, 55.8, 56.41, 3206500, 56.41, 0, 1, 56.43, -999
20141105, 57.05, 57.73, 56.03, 56.26, 1819400, 56.26, 0, 1, 56.655, -999
20141104, 57.93, 58.41, 56.81, 56.87, 1667900, 56.87, 0, 1, 57.4, -999
20141103, 58.78, 59.78, 58.06, 58.31, 1849900, 58.31, 0, 1, 58.545, -999
20141031, 57.4, 58.97, 56.6, 58.9, 2533600, 58.9, 0, 1, 58.15, -999
20141030, 55.85, 56.4, 54.61, 56.1, 2017800, 56.1, 0, 1, 55.975, -999
20141029, 57.44, 58, 55.27, 56.16, 1876600, 56.16, 0, 1, 56.8, -999
20141028, 54.85, 57.42, 54.06, 57.38, 2793200, 57.38, 0, 1, 56.115, -999
20141027, 56.01, 56.01, 53.97, 54.29, 2398800, 54.29, 0, 1, 55.15, -999
20141024, 56.14, 56.93, 55.13, 56.44, 1442300, 56.44, 0, 1, 56.29, -999
20141023, 55.31, 56.86, 55.11, 56.27, 2035400, 56.27, 0, 1, 55.79, -999
20141022, 56.49, 56.99, 54.51, 54.75, 2486100, 54.75, 0, 1, 55.62, -999
20141021, 55.03, 56.6, 54.93, 56.35, 2157000, 56.35, 0, 1, 55.69, -999
20141020, 53.23, 54.61, 52.61, 54.37, 1909900, 54.37, 0, 1, 53.8, -999
20141017, 55.39, 55.98, 52.75, 53.23, 2856600, 53.23, 0, 1, 54.31, -999
20141016, 52.23, 55.14, 51.6, 54.22, 2546200, 54.22, 0, 1, 53.225, -999
