Ticker: FTI  Created on: 12/6/2014 5:24:36 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 47.56, 48.01, 46.57, 47.01, 2266300, 47.01, 0, 1, 47.285, -999
20141204, 47, 48.42, 47, 47.8, 2128800, 47.8, 0, 1, 47.4, -999
20141203, 47.85, 48.48, 47.55, 47.89, 3178300, 47.89, 0, 1, 47.87, -999
20141202, 47.2, 48.3, 47.11, 47.76, 3118100, 47.76, 0, 1, 47.48, -999
20141201, 46.83, 47.82, 46.26, 47.62, 3083300, 47.62, 0, 1, 47.225, -999
20141128, 50.24, 50.24, 47.38, 47.77, 2440900, 47.77, 0, 1, 49.005, -999
20141126, 53.22, 53.29, 51.95, 52.18, 3234100, 52.18, 0, 1, 52.7, -999
20141125, 55.58, 55.93, 53.27, 53.35, 3141600, 53.35, 0, 1, 54.465, -999
20141124, 57.01, 57.55, 55.44, 55.48, 3216400, 55.48, 0, 1, 56.245, -999
20141121, 56.72, 57.48, 56.15, 57, 1843800, 57, 0, 1, 56.86, -999
20141120, 54.33, 55.74, 54.09, 55.64, 2201500, 55.64, 0, 1, 54.985, -999
20141119, 54.67, 55.01, 54.13, 54.27, 1821700, 54.27, 0, 1, 54.47, -999
20141118, 54.63, 55.44, 54.55, 54.65, 2155400, 54.65, 0, 1, 54.64, -999
20141117, 54.21, 54.93, 53.29, 54.59, 2090800, 54.59, 0, 1, 54.4, -999
20141114, 54.2, 54.79, 53.3, 54.31, 2067900, 54.31, 0, 1, 54.255, -999
20141113, 55.57, 55.59, 52.77, 53.98, 4422000, 53.98, 0, 1, 54.775, -999
20141112, 55.65, 56.63, 55.39, 55.79, 1847700, 55.79, 0, 1, 55.72, -999
20141111, 55.92, 56.3, 55.21, 55.98, 1817600, 55.98, 0, 1, 55.95, -999
20141110, 57.31, 57.87, 55.59, 55.86, 1809900, 55.86, 0, 1, 56.585, -999
20141107, 56, 57.68, 55.9, 56.99, 2511100, 56.99, 0, 1, 56.495, -999
20141106, 54.61, 55.93, 54.1, 55.91, 2023300, 55.91, 0, 1, 55.26, -999
20141105, 54.09, 55.46, 53.62, 55.03, 2471000, 55.03, 0, 1, 54.56, -999
20141104, 54.58, 54.59, 53.54, 53.91, 1865100, 53.91, 0, 1, 54.245, -999
20141103, 56.14, 56.69, 54.75, 55.02, 2150900, 55.02, 0, 1, 55.58, -999
20141031, 55.31, 56.13, 54.29, 56.04, 2255900, 56.04, 0, 1, 55.675, -999
20141030, 54.98, 55.42, 54.08, 55.22, 1363400, 55.22, 0, 1, 55.1, -999
20141029, 56.39, 56.78, 54.6, 55.22, 2162600, 55.22, 0, 1, 55.805, -999
20141028, 53.69, 55.96, 52.99, 55.81, 3009000, 55.81, 0, 1, 54.75, -999
20141027, 53.46, 53.46, 52.61, 53.32, 3188900, 53.32, 0, 1, 53.39, -999
20141024, 54.3, 54.65, 53.57, 54.51, 1929900, 54.51, 0, 1, 54.405, -999
20141023, 52.62, 55.25, 52.56, 54.41, 3056600, 54.41, 0, 1, 53.515, -999
20141022, 52.46, 53.68, 51.59, 51.83, 3896400, 51.83, 0, 1, 52.145, -999
20141021, 51.44, 52.91, 51.18, 52.68, 2562700, 52.68, 0, 1, 52.06, -999
20141020, 50.42, 50.99, 49.82, 50.87, 1789100, 50.87, 0, 1, 50.645, -999
20141017, 51.91, 52.38, 49.68, 50.26, 2198800, 50.26, 0, 1, 51.085, -999
20141016, 48.29, 50.98, 48.28, 50.81, 3146100, 50.81, 0, 1, 49.55, -999
20141015, 48.29, 49.82, 47.79, 49.53, 3470300, 49.53, 0, 1, 48.91, -999
20141014, 50.09, 50.58, 48.78, 49.05, 2787200, 49.05, 0, 1, 49.57, -999
20141013, 51.11, 51.75, 49.58, 49.68, 2796100, 49.68, 0, 1, 50.395, -999
20141010, 51.36, 51.97, 49.68, 51.1, 3486000, 51.1, 0, 1, 51.23, -999
20141009, 53.23, 53.37, 51.01, 51.32, 3280100, 51.32, 0, 1, 52.275, -999
20141008, 52.08, 53.67, 51.35, 53.58, 2827800, 53.58, 0, 1, 52.83, -999
20141007, 52.21, 53.57, 52.02, 52.34, 2197600, 52.34, 0, 1, 52.275, -999
20141006, 52.59, 53.36, 52.29, 52.43, 1482100, 52.43, 0, 1, 52.51, -999
20141003, 52.61, 52.91, 51.97, 52.41, 2233700, 52.41, 0, 1, 52.51, -999
20141002, 52.84, 52.86, 51.4, 52.5, 4481800, 52.5, 0, 1, 52.67, -999
20141001, 54.19, 54.64, 53, 53.25, 2450600, 53.25, 0, 1, 53.72, -999
20140930, 54.1, 54.75, 53.84, 54.31, 2780500, 54.31, 0, 1, 54.205, -999
20140929, 54.01, 54.44, 53.42, 54.21, 1334400, 54.21, 0, 1, 54.11, -999
20140926, 54.17, 54.69, 53.74, 54.56, 1797100, 54.56, 0, 1, 54.365, -999
20140925, 55.01, 55.14, 54.21, 54.32, 2974400, 54.32, 0, 1, 54.665, -999
20140924, 54.3, 55.63, 53.48, 55.17, 3075800, 55.17, 0, 1, 54.735, -999
20140923, 54.57, 55.2, 54.22, 54.58, 1449800, 54.58, 0, 1, 54.575, -999
20140922, 55.08, 55.25, 53.94, 54.55, 1609000, 54.55, 0, 1, 54.815, -999
20140919, 55.68, 55.82, 55.23, 55.33, 1782400, 55.33, 0, 1, 55.505, -999
20140918, 56.22, 56.22, 55.25, 55.32, 1308100, 55.32, 0, 1, 55.77, -999
20140917, 56.38, 56.57, 55.58, 55.89, 1606200, 55.89, 0, 1, 56.135, -999
20140916, 54, 56.5, 54, 56.07, 2605500, 56.07, 0, 1, 55.035, -999
20140915, 56.53, 56.95, 56.01, 56.51, 1275500, 56.51, 0, 1, 56.52, -999
20140912, 57.32, 57.38, 56.48, 56.69, 1719300, 56.69, 0, 1, 57.005, -999
20140911, 56.95, 57.7, 56.64, 57.56, 1284300, 57.56, 0, 1, 57.255, -999
20140910, 57.14, 57.58, 56.44, 57.4, 1752400, 57.4, 0, 1, 57.27, -999
20140909, 56.21, 57.62, 55.98, 56.97, 2202300, 56.97, 0, 1, 56.59, -999
20140908, 57.18, 57.18, 55.67, 56.25, 1995300, 56.25, 0, 1, 56.715, -999
20140905, 56.98, 57.75, 56.63, 57.55, 2374800, 57.55, 0, 1, 57.265, -999
20140904, 59.61, 59.71, 55.9, 57.05, 3813800, 57.05, 0, 1, 58.33, -999
20140903, 60.26, 60.88, 59.58, 59.68, 1690000, 59.68, 0, 1, 59.97, -999
20140902, 61.84, 62, 60.3, 60.38, 1151500, 60.38, 0, 1, 61.11, -999
20140829, 61.66, 61.87, 61.34, 61.84, 1142700, 61.84, 0, 1, 61.75, -999
20140828, 61.26, 61.74, 61.02, 61.59, 968300, 61.59, 0, 1, 61.425, -999
20140827, 61.2, 61.73, 60.82, 61.51, 872300, 61.51, 0, 1, 61.355, -999
20140826, 60.84, 61.64, 60.46, 61.21, 1002400, 61.21, 0, 1, 61.025, -999
20140825, 60.41, 60.67, 60.07, 60.59, 787500, 60.59, 0, 1, 60.5, -999
20140822, 60.63, 60.72, 59.61, 60.03, 785200, 60.03, 0, 1, 60.33, -999
20140821, 60.78, 60.9, 59.81, 60.78, 1058800, 60.78, 0, 1, 60.78, -999
20140820, 60.21, 60.86, 60.04, 60.76, 1249900, 60.76, 0, 1, 60.485, -999
20140819, 59.91, 60.46, 59.54, 60.45, 1314100, 60.45, 0, 1, 60.18, -999
20140818, 60.37, 60.56, 59.53, 59.8, 860100, 59.8, 0, 1, 60.085, -999
20140815, 59.77, 60.31, 59.47, 59.96, 1302200, 59.96, 0, 1, 59.865, -999
20140814, 60.47, 60.68, 59.31, 59.47, 1151900, 59.47, 0, 1, 59.97, -999
20140813, 60.33, 60.64, 60.02, 60.3, 1146800, 60.3, 0, 1, 60.315, -999
20140812, 60.98, 61.09, 59.65, 60.01, 1479500, 60.01, 0, 1, 60.495, -999
20140811, 61.61, 61.77, 60.94, 61.08, 1015700, 61.08, 0, 1, 61.345, -999
20140808, 60.35, 61.27, 59.86, 61.24, 1230300, 61.24, 0, 1, 60.795, -999
20140807, 61.4, 61.47, 59.81, 59.98, 1459200, 59.98, 0, 1, 60.69, -999
20140806, 60.61, 62, 60.27, 61.19, 946500, 61.19, 0, 1, 60.9, -999
20140805, 61.66, 61.87, 60.27, 60.78, 1222900, 60.78, 0, 1, 61.22, -999
20140804, 60.18, 62.1, 59.88, 62, 1790300, 62, 0, 1, 61.09, -999
20140801, 60.43, 61.23, 59.56, 59.95, 2150500, 59.95, 0, 1, 60.19, -999
20140731, 61.91, 62.15, 60.74, 60.8, 1955900, 60.8, 0, 1, 61.355, -999
20140730, 62.58, 62.84, 61.96, 62.17, 1513800, 62.17, 0, 1, 62.375, -999
20140729, 63.78, 63.78, 62.46, 62.5, 1557000, 62.5, 0, 1, 63.14, -999
20140728, 63.48, 63.71, 62.92, 63.52, 1290500, 63.52, 0, 1, 63.5, -999
20140725, 62.62, 63.41, 62.43, 63.28, 1358300, 63.28, 0, 1, 62.95, -999
20140724, 63.7, 63.92, 62.6, 62.62, 2477500, 62.62, 0, 1, 63.16, -999
20140723, 63.07, 63.89, 62.08, 63.22, 2878200, 63.22, 0, 1, 63.145, -999
20140722, 61.16, 61.8, 61.03, 61.3, 1320600, 61.3, 0, 1, 61.23, -999
20140721, 60.69, 61.29, 60.51, 60.9, 1033300, 60.9, 0, 1, 60.795, -999
20140718, 60.57, 60.97, 60.28, 60.93, 1119000, 60.93, 0, 1, 60.75, -999
20140717, 61.06, 61.51, 60.28, 60.51, 1412000, 60.51, 0, 1, 60.785, -999
20140716, 60.7, 61.39, 60.44, 61.38, 1187200, 61.38, 0, 1, 61.04, -999
20140715, 59.83, 60.44, 59.83, 60.28, 1789900, 60.28, 0, 1, 60.055, -999
20140714, 59.6, 60.33, 59.42, 60.15, 1182100, 60.15, 0, 1, 59.875, -999
20140711, 59.46, 59.59, 58.83, 59.17, 1200200, 59.17, 0, 1, 59.315, -999
20140710, 60.07, 60.08, 59.24, 59.47, 2090600, 59.47, 0, 1, 59.77, -999
20140709, 60.11, 60.51, 59.74, 60.49, 1131400, 60.49, 0, 1, 60.3, -999
20140708, 59.47, 59.97, 59.15, 59.92, 1722600, 59.92, 0, 1, 59.695, -999
20140707, 60.78, 60.81, 59.28, 59.59, 1674200, 59.59, 0, 1, 60.185, -999
20140703, 60.75, 61, 60.39, 60.84, 1100100, 60.84, 0, 1, 60.795, -999
20140702, 60.27, 60.6, 59.7, 60.25, 1556900, 60.25, 0, 1, 60.26, -999
20140701, 61.39, 61.39, 59.92, 60.11, 2126300, 60.11, 0, 1, 60.75, -999
20140630, 60.49, 61.09, 60.17, 61.07, 1323000, 61.07, 0, 1, 60.78, -999
