Ticker: F  Created on: 12/6/2014 5:24:37 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 15.9, 15.94, 15.63, 15.7, 29667600, 15.7, 0, 1, 15.8, -999
20141204, 16, 16.03, 15.75, 15.81, 23264600, 15.81, 0, 1, 15.905, -999
20141203, 15.88, 16.13, 15.88, 16.01, 37561100, 16.01, 0, 1, 15.945, -999
20141202, 15.86, 15.95, 15.61, 15.9, 32273000, 15.9, 0, 1, 15.88, -999
20141201, 15.78, 15.89, 15.7, 15.77, 30022000, 15.77, 0, 1, 15.775, -999
20141128, 15.65, 15.73, 15.47, 15.73, 18620300, 15.73, 0, 1, 15.69, -999
20141126, 15.65, 15.68, 15.52, 15.61, 20003200, 15.61, 0, 1, 15.63, -999
20141125, 15.74, 15.84, 15.61, 15.68, 32253500, 15.68, 0, 1, 15.71, -999
20141124, 15.51, 15.69, 15.5, 15.67, 32794200, 15.67, 0, 1, 15.59, -999
20141121, 15.64, 15.65, 15.37, 15.43, 25609600, 15.43, 0, 1, 15.535, -999
20141120, 15.37, 15.65, 15.28, 15.46, 21163200, 15.46, 0, 1, 15.415, -999
20141119, 15.48, 15.48, 15.26, 15.44, 22625500, 15.44, 0, 1, 15.46, -999
20141118, 15.7, 15.75, 15.25, 15.5, 43647800, 15.5, 0, 1, 15.6, -999
20141117, 15.35, 15.6, 15.2, 15.54, 46517300, 15.54, 0, 1, 15.445, -999
20141114, 15.01, 15.27, 14.99, 15.14, 37092900, 15.14, 0, 1, 15.075, -999
20141113, 14.71, 15.17, 14.7, 14.93, 50284000, 14.93, 0, 1, 14.82, -999
20141112, 14.32, 14.63, 14.26, 14.58, 36221100, 14.58, 0, 1, 14.45, -999
20141111, 14.05, 14.43, 14, 14.37, 35345600, 14.37, 0, 1, 14.21, -999
20141110, 14.19, 14.2, 13.95, 14, 36413300, 14, 0, 1, 14.095, -999
20141107, 14.22, 14.27, 14.13, 14.17, 30254700, 14.17, 0, 1, 14.195, -999
20141106, 13.92, 14.22, 13.92, 14.19, 36431700, 14.19, 0, 1, 14.055, -999
20141105, 14.03, 14.05, 13.87, 13.94, 26042800, 13.94, 0, 1, 13.985, -999
20141104, 13.94, 14, 13.86, 13.95, 19695700, 13.95, 0, 1, 13.945, -999
20141103, 14.1, 14.17, 13.94, 13.99, 31620700, 13.99, 0, 1, 14.045, -999
20141031, 14.13, 14.15, 14.04, 14.09, 37277800, 14.09, 0, 1, 14.11, -999
20141030, 13.88, 13.97, 13.68, 13.95, 25506000, 13.95, 0, 1, 13.915, -999
20141029, 14.14, 14.18, 13.76, 13.91, 31263900, 13.91, 0.125, 1, 14.025, -999
