Ticker: GAS  Created on: 12/6/2014 5:23:27 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 53.31, 53.56, 53.11, 53.36, 680500, 53.36, 0, 1, 53.335, -999
20141204, 53.7, 53.78, 53.14, 53.63, 1351400, 53.63, 0, 1, 53.665, -999
20141203, 53.13, 53.66, 53.05, 53.62, 1453200, 53.62, 0, 1, 53.375, -999
20141202, 52.48, 53.13, 52.21, 53.1, 2104200, 53.1, 0, 1, 52.79, -999
20141201, 52.29, 52.63, 51.79, 52.38, 1155700, 52.38, 0, 1, 52.335, -999
20141128, 51.98, 52.67, 51.98, 52.31, 433100, 52.31, 0, 1, 52.145, -999
20141126, 51.97, 52.31, 51.76, 52.12, 532100, 52.12, 0, 1, 52.045, -999
20141125, 51.74, 52.03, 51.54, 51.92, 847200, 51.92, 0, 1, 51.83, -999
20141124, 51.84, 52, 51.43, 51.57, 718600, 51.57, 0, 1, 51.705, -999
20141121, 51.8, 52.09, 51.65, 51.91, 1030300, 51.91, 0, 1, 51.855, -999
20141120, 51.26, 51.47, 51.02, 51.37, 603200, 51.37, 0, 1, 51.315, -999
20141119, 51.75, 51.96, 51.34, 51.4, 1367900, 51.4, 0, 1, 51.575, -999
20141118, 52.23, 52.34, 51.67, 51.8, 1106700, 51.8, 0, 1, 52.015, -999
20141117, 51.48, 52.33, 51.32, 52.23, 1291900, 52.23, 0, 1, 51.855, -999
20141114, 51.54, 51.72, 51.16, 51.45, 1433300, 51.45, 0, 1, 51.495, -999
20141113, 52.12, 52.47, 51.54, 51.65, 871100, 51.65, 0, 1, 51.885, -999
20141112, 52.33, 52.33, 51.68, 52.12, 1439000, 52.12, 0, 1, 52.225, -999
20141111, 54.18, 54.28, 53.11, 53.27, 1003000, 52.78, 0, 1, 53.48, -999
20141110, 54.3, 55.41, 54.16, 54.31, 1266700, 53.81, 0, 1, 54.055, -999
20141107, 54.79, 55.13, 54.55, 54.93, 697500, 54.42, 0, 1, 54.605, -999
20141106, 55.15, 55.59, 54.25, 54.77, 813600, 54.27, 0, 1, 54.71, -999
20141105, 54.14, 55.29, 53.88, 55.16, 930800, 54.65, 0, 1, 54.395, -999
20141104, 54.03, 54.38, 53.65, 53.87, 631900, 53.37, 0, 1, 53.7, -999
20141103, 53.91, 54.41, 53.84, 54, 788900, 53.5, 0, 1, 53.705, -999
20141031, 54.57, 54.57, 53.61, 53.91, 1221500, 53.41, 0, 1, 53.99, -999
20141030, 54.09, 54.66, 53.73, 54.5, 1169100, 54, 0, 1, 54.045, -999
20141029, 54.56, 54.89, 53.41, 54.12, 603200, 53.62, 0, 1, 54.09, -999
20141028, 53.86, 54.42, 53.54, 54.42, 653300, 53.92, 0, 1, 53.89, -999
20141027, 53.59, 53.99, 53.52, 53.78, 434600, 53.29, 0, 1, 53.44, -999
20141024, 54.28, 54.52, 53.44, 53.82, 1097500, 53.32, 0, 1, 53.8, -999
20141023, 54.69, 55, 54.09, 54.14, 827400, 53.64, 0, 1, 54.165, -999
20141022, 54.03, 55, 53.82, 54.46, 697200, 53.96, 0, 1, 53.995, -999
20141021, 52.94, 54.01, 52.83, 53.95, 532100, 53.45, 0, 1, 53.195, -999
20141020, 52.16, 52.85, 52.12, 52.65, 855700, 52.17, 0, 1, 52.165, -999
20141017, 52.33, 52.5, 51.72, 52.09, 914400, 51.61, 0, 1, 51.97, -999
20141016, 51.18, 52.1, 50.5, 51.94, 976000, 51.46, 0, 1, 51.32, -999
20141015, 52.36, 52.46, 50.59, 51.78, 953700, 51.3, 0, 1, 51.83, -999
20141014, 51.74, 52.55, 51.58, 52.36, 648300, 51.88, 0, 1, 51.81, -999
20141013, 51.82, 52.27, 51.5, 51.52, 634500, 51.05, 0, 1, 51.435, -999
20141010, 51.41, 52.23, 51.4, 51.82, 554400, 51.34, 0, 1, 51.375, -999
20141009, 52.29, 52.61, 51.28, 51.29, 537600, 50.82, 0, 1, 51.555, -999
20141008, 51.39, 52.33, 51.18, 52.3, 501300, 51.82, 0, 1, 51.605, -999
20141007, 51.33, 51.8, 51.26, 51.39, 461600, 50.92, 0, 1, 51.125, -999
20141006, 51.37, 51.64, 51.04, 51.45, 483600, 50.98, 0, 1, 51.175, -999
20141003, 51.16, 51.36, 50.64, 51.26, 617200, 50.79, 0, 1, 50.975, -999
20141002, 51.02, 51.39, 50.81, 50.95, 561300, 50.48, 0, 1, 50.75, -999
20141001, 51.35, 51.99, 51.15, 51.16, 730500, 50.69, 0, 1, 51.02, -999
20140930, 51.43, 51.9, 51.15, 51.34, 471100, 50.87, 0, 1, 51.15, -999
20140929, 50.84, 51.39, 50.8, 51.35, 394200, 50.88, 0, 1, 50.86, -999
20140926, 51.17, 51.26, 50.71, 51.11, 358700, 50.64, 0, 1, 50.905, -999
20140925, 51.33, 51.45, 51.05, 51.18, 559800, 50.71, 0, 1, 51.02, -999
20140924, 51.45, 51.58, 51.05, 51.34, 487100, 50.87, 0, 1, 51.16, -999
20140923, 51.59, 51.7, 51.3, 51.48, 513700, 51.01, 0, 1, 51.3, -999
20140922, 52.17, 52.22, 51.59, 51.63, 623300, 51.16, 0, 1, 51.665, -999
20140919, 52.73, 52.87, 52.4, 52.43, 788700, 51.95, 0, 1, 52.34, -999
20140918, 52.99, 53.02, 52.4, 52.5, 541900, 52.02, 0, 1, 52.505, -999
20140917, 53.09, 53.28, 52.76, 52.97, 431300, 52.48, 0, 1, 52.785, -999
20140916, 52.43, 53.3, 52.43, 53.01, 512500, 52.52, 0, 1, 52.475, -999
20140915, 52.58, 52.81, 52.46, 52.55, 355500, 52.07, 0, 1, 52.325, -999
20140912, 53.11, 53.15, 52.28, 52.49, 573800, 52.01, 0, 1, 52.56, -999
20140911, 53, 53.35, 52.8, 53.3, 440300, 52.81, 0, 1, 52.905, -999
20140910, 53.02, 53.14, 52.6, 53.03, 347900, 52.54, 0, 1, 52.78, -999
20140909, 53.88, 54.06, 53.06, 53.1, 508900, 52.61, 0, 1, 53.245, -999
20140908, 54.27, 54.27, 53.81, 54.09, 418200, 53.59, 0, 1, 53.93, -999
20140905, 53.43, 54.27, 53.27, 54.27, 572100, 53.77, 0, 1, 53.6, -999
20140904, 53.05, 53.54, 52.94, 53.34, 615000, 52.85, 0, 1, 52.95, -999
20140903, 53.12, 53.53, 53.02, 53.07, 614900, 52.58, 0, 1, 52.85, -999
20140902, 53.21, 53.46, 52.89, 53.1, 793700, 52.61, 0, 1, 52.91, -999
20140829, 52.65, 53.34, 52.63, 53.31, 526100, 52.82, 0, 1, 52.735, -999
20140828, 52.46, 52.78, 52.44, 52.71, 317200, 52.23, 0, 1, 52.345, -999
20140827, 52.06, 52.68, 52.05, 52.66, 608900, 52.18, 0, 1, 52.12, -999
20140826, 52.5, 52.7, 52.05, 52.07, 279500, 51.59, 0, 1, 52.045, -999
20140825, 52.5, 52.73, 52.19, 52.5, 257900, 52.02, 0, 1, 52.26, -999
20140822, 52.46, 52.66, 52.03, 52.32, 326800, 51.84, 0, 1, 52.15, -999
20140821, 52.42, 52.61, 52.14, 52.46, 391100, 51.98, 0, 1, 52.2, -999
20140820, 52.25, 52.45, 52.01, 52.35, 407600, 51.87, 0, 1, 52.06, -999
20140819, 51.7, 52.36, 51.54, 52.33, 411200, 51.85, 0, 1, 51.775, -999
20140818, 51.96, 52.03, 51.48, 51.65, 479700, 51.17, 0, 1, 51.565, -999
20140815, 51.86, 52.21, 51.44, 51.73, 785200, 51.25, 0, 1, 51.555, -999
20140814, 51.26, 51.82, 51.25, 51.7, 469100, 51.22, 0, 1, 51.24, -999
20140813, 50.89, 51.48, 50.51, 51.27, 645200, 50.8, 0.49, 1, 50.845, -999
20140812, 51.1, 51.51, 50.9, 51.14, 563300, 50.18, 0, 1, 50.64, -999
20140811, 51.35, 51.68, 51.05, 51.15, 549000, 50.19, 0, 1, 50.77, -999
20140808, 49.8, 51.3, 49.8, 51.27, 753800, 50.31, 0, 1, 50.055, -999
20140807, 49.2, 49.97, 49.08, 49.91, 1091900, 48.98, 0, 1, 49.09, -999
20140806, 50.39, 50.56, 48.72, 49.07, 1993100, 48.15, 0, 1, 49.27, -999
20140805, 51.14, 51.26, 50.41, 50.66, 749600, 49.71, 0, 1, 50.425, -999
20140804, 51.5, 51.85, 49.87, 51.11, 1255600, 50.15, 0, 1, 50.825, -999
20140801, 51.51, 51.89, 51.17, 51.61, 539300, 50.65, 0, 1, 51.08, -999
20140731, 52.13, 52.43, 51.55, 51.64, 688800, 50.67, 0, 1, 51.4, -999
20140730, 53.26, 54.05, 51.81, 52.17, 817300, 51.19, 0, 1, 52.225, -999
20140729, 54.13, 54.2, 53.52, 53.52, 421800, 52.52, 0, 1, 53.325, -999
20140728, 53.51, 54.23, 53.3, 54.15, 470100, 53.14, 0, 1, 53.325, -999
20140725, 54.18, 54.18, 53.49, 53.54, 293300, 52.54, 0, 1, 53.36, -999
20140724, 54.23, 54.46, 54, 54.11, 379800, 53.1, 0, 1, 53.665, -999
20140723, 54.48, 54.59, 54.09, 54.23, 215900, 53.22, 0, 1, 53.85, -999
20140722, 54.6, 54.76, 54.2, 54.37, 345300, 53.35, 0, 1, 53.975, -999
20140721, 54.6, 54.73, 54.24, 54.39, 370300, 53.37, 0, 1, 53.985, -999
20140718, 54.36, 54.85, 53.92, 54.77, 432700, 53.75, 0, 1, 54.055, -999
20140717, 54.37, 54.68, 54.02, 54.04, 293100, 53.03, 0, 1, 53.7, -999
20140716, 54.48, 54.55, 53.91, 54.49, 378500, 53.47, 0, 1, 53.975, -999
20140715, 54.2, 54.79, 54.09, 54.43, 696700, 53.41, 0, 1, 53.805, -999
20140714, 54.47, 54.56, 54, 54.16, 392700, 53.15, 0, 1, 53.81, -999
20140711, 54.76, 54.79, 54.11, 54.25, 413700, 53.24, 0, 1, 54, -999
20140710, 53.79, 54.83, 53.63, 54.76, 618700, 53.74, 0, 1, 53.765, -999
20140709, 54.49, 54.7, 53.73, 54.05, 610200, 53.04, 0, 1, 53.765, -999
20140708, 53.65, 54.55, 53.64, 54.5, 602300, 53.48, 0, 1, 53.565, -999
20140707, 53.79, 54.08, 53.35, 53.6, 529100, 52.6, 0, 1, 53.195, -999
20140703, 54.02, 54.04, 53.26, 53.66, 529500, 52.66, 0, 1, 53.34, -999
20140702, 54.87, 54.87, 53.88, 54.17, 635000, 53.16, 0, 1, 54.015, -999
20140701, 55.06, 55.3, 54.84, 54.89, 626400, 53.86, 0, 1, 54.46, -999
20140630, 54.6, 55.1, 54.26, 55.03, 475200, 54, 0, 1, 54.3, -999
20140627, 54.6, 54.98, 54.32, 54.62, 528100, 53.6, 0, 1, 54.1, -999
20140626, 54.57, 54.65, 54.32, 54.65, 332900, 53.63, 0, 1, 54.1, -999
20140625, 54.04, 54.75, 54.04, 54.58, 463300, 53.56, 0, 1, 53.8, -999
20140624, 54.21, 54.56, 54.15, 54.18, 397700, 53.17, 0, 1, 53.69, -999
20140623, 54.49, 54.61, 53.94, 54.3, 334000, 53.29, 0, 1, 53.89, -999
20140620, 54.82, 54.82, 54.39, 54.44, 884400, 53.42, 0, 1, 54.12, -999
20140619, 54, 54.55, 53.75, 54.53, 691300, 53.51, 0, 1, 53.755, -999
20140618, 53.32, 54.01, 53.29, 53.96, 962300, 52.95, 0, 1, 53.135, -999
20140617, 53.41, 53.72, 53.15, 53.28, 574400, 52.28, 0, 1, 52.845, -999
20140616, 52.94, 53.89, 52.93, 53.5, 640900, 52.5, 0, 1, 52.72, -999
20140613, 52.73, 52.95, 52.46, 52.93, 330300, 51.94, 0, 1, 52.335, -999
20140612, 52.58, 52.73, 51.9, 52.68, 471700, 51.7, 0, 1, 52.14, -999
20140611, 52.89, 52.96, 52.46, 52.56, 829400, 51.58, 0, 1, 52.235, -999
20140610, 53.44, 53.55, 52.8, 52.91, 462800, 51.92, 0, 1, 52.68, -999
20140609, 53.45, 53.74, 53.33, 53.39, 591000, 52.39, 0, 1, 52.92, -999
20140606, 53.86, 54, 53.49, 53.57, 323900, 52.57, 0, 1, 53.215, -999
20140605, 52.94, 53.8, 52.92, 53.79, 522400, 52.78, 0, 1, 52.86, -999
