Ticker: GD  Created on: 12/6/2014 5:24:41 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 145, 145.5, 144.72, 145.15, 1812400, 145.15, 0, 1, 145.075, -999
20141204, 145.32, 145.32, 144.1, 144.88, 1365300, 144.88, 0, 1, 145.1, -999
20141203, 144.75, 145.39, 144.33, 145.13, 1980500, 145.13, 0, 1, 144.94, -999
20141202, 144.09, 144.64, 143.87, 144.22, 1441500, 144.22, 0, 1, 144.155, -999
20141201, 145, 145.2, 143.7, 143.76, 1823400, 143.76, 0, 1, 144.38, -999
20141128, 145.31, 146.13, 145.03, 145.36, 840100, 145.36, 0, 1, 145.335, -999
20141126, 144.9, 145.05, 144.39, 144.53, 1552800, 144.53, 0, 1, 144.715, -999
20141125, 145.4, 145.44, 144.56, 144.6, 1614600, 144.6, 0, 1, 145, -999
20141124, 145.09, 145.92, 144.64, 144.88, 1631900, 144.88, 0, 1, 144.985, -999
20141121, 145.35, 145.72, 144.27, 144.59, 1404900, 144.59, 0, 1, 144.97, -999
20141120, 142.76, 143.93, 141.97, 143.75, 1103000, 143.75, 0, 1, 143.255, -999
20141119, 143.51, 143.64, 142.47, 143.37, 1069700, 143.37, 0, 1, 143.44, -999
20141118, 142.24, 144.7, 141.93, 143.93, 1349000, 143.93, 0, 1, 143.085, -999
20141117, 142.21, 142.94, 141.7, 142.05, 1298600, 142.05, 0, 1, 142.13, -999
20141114, 142.61, 143.42, 141.55, 142.66, 1768500, 142.66, 0, 1, 142.635, -999
20141113, 140.98, 143.5, 140.89, 142.71, 1977400, 142.71, 0, 1, 141.845, -999
20141112, 140.88, 141.65, 140.71, 141.3, 1226700, 141.3, 0, 1, 141.09, -999
20141111, 141.05, 142.12, 141.01, 141.3, 1276600, 141.3, 0, 1, 141.175, -999
20141110, 140.3, 141.47, 139.92, 140.82, 1762500, 140.82, 0, 1, 140.56, -999
20141107, 141.5, 141.73, 139.73, 140.14, 1994800, 140.14, 0, 1, 140.82, -999
20141106, 142, 142.57, 141.36, 141.56, 1490900, 141.56, 0, 1, 141.78, -999
20141105, 141.14, 142.38, 140.27, 141.95, 1916200, 141.95, 0, 1, 141.545, -999
20141104, 139.65, 140.89, 139.3, 140.79, 1965200, 140.79, 0, 1, 140.22, -999
20141103, 139.76, 140.42, 138.72, 139.72, 2339100, 139.72, 0, 1, 139.74, -999
20141031, 139.79, 140.78, 138.63, 139.76, 2758600, 139.76, 0, 1, 139.775, -999
20141030, 135.56, 139.02, 134.67, 138.29, 2275000, 138.29, 0, 1, 136.925, -999
20141029, 136.42, 136.92, 135.6, 136.45, 1828900, 136.45, 0, 1, 136.435, -999
20141028, 133.8, 136.6, 133.74, 136.6, 2041100, 136.6, 0, 1, 135.2, -999
20141027, 132.33, 133.29, 131.84, 133.09, 1988500, 133.09, 0, 1, 132.71, -999
20141024, 130.34, 132.54, 129.86, 132.5, 1407800, 132.5, 0, 1, 131.42, -999
20141023, 128.59, 131.44, 128.47, 130.34, 2192400, 130.34, 0, 1, 129.465, -999
20141022, 127.18, 128.22, 125.59, 126.31, 2620900, 126.31, 0, 1, 126.745, -999
20141021, 121.19, 124.19, 121.19, 123.89, 1781000, 123.89, 0, 1, 122.54, -999
20141020, 120.51, 121.35, 120.28, 121.3, 1114000, 121.3, 0, 1, 120.905, -999
20141017, 119.01, 121.5, 119.01, 120.87, 1929900, 120.87, 0, 1, 119.94, -999
20141016, 115.99, 118.64, 115.63, 117.85, 2157100, 117.85, 0, 1, 116.92, -999
20141015, 117.6, 118.67, 114.73, 117.98, 2292700, 117.98, 0, 1, 117.79, -999
20141014, 118.53, 120.15, 118.13, 118.61, 2469000, 118.61, 0, 1, 118.57, -999
20141013, 122.19, 123.09, 118.16, 118.27, 2319600, 118.27, 0, 1, 120.23, -999
20141010, 121.67, 122.45, 120.55, 121.22, 2437300, 121.22, 0, 1, 121.445, -999
20141009, 123.19, 123.36, 120.96, 121.5, 2090900, 121.5, 0, 1, 122.345, -999
20141008, 120.27, 123.32, 119.54, 123.15, 1767100, 123.15, 0.62, 1, 121.71, -999
20141007, 122.8, 122.95, 120.66, 120.69, 1783700, 120.07, 0, 1, 121.435, -999
20141006, 124.16, 124.92, 122.39, 123.11, 1493700, 122.48, 0, 1, 123.32, -999
20141003, 122.62, 123.79, 122.43, 123.54, 2679800, 122.91, 0, 1, 122.765, -999
20141002, 123.08, 123.65, 120.56, 121.8, 5747200, 121.17, 0, 1, 122.125, -999
20141001, 126.17, 126.22, 124.11, 124.29, 1929300, 123.65, 0, 1, 124.91, -999
20140930, 127.5, 128.39, 126.89, 127.09, 1820500, 126.44, 0, 1, 126.97, -999
20140929, 126.8, 128.48, 126.59, 127.49, 1303600, 126.84, 0, 1, 126.82, -999
20140926, 125.47, 127.95, 125.24, 127.7, 1569300, 127.04, 0, 1, 126.255, -999
20140925, 126.87, 127, 124.7, 125.01, 1431100, 124.37, 0, 1, 125.62, -999
20140924, 126.14, 127.2, 125.9, 126.98, 1289300, 126.33, 0, 1, 126.235, -999
20140923, 127.62, 128.03, 125.88, 125.97, 1603700, 125.32, 0, 1, 126.47, -999
20140922, 129.27, 129.38, 127.89, 128.02, 1155900, 127.36, 0, 1, 128.315, -999
20140919, 130, 130.17, 129.01, 129.45, 2467400, 128.78, 0, 1, 129.39, -999
20140918, 128.6, 129.43, 128.56, 129.28, 1122600, 128.62, 0, 1, 128.61, -999
20140917, 128, 128.9, 127.33, 128.24, 985100, 127.58, 0, 1, 127.79, -999
20140916, 126.6, 128.34, 126.18, 127.75, 1253000, 127.09, 0, 1, 126.845, -999
20140915, 126.34, 127.13, 125.78, 126.85, 1099300, 126.2, 0, 1, 126.27, -999
20140912, 126.61, 126.69, 125.8, 126.4, 1027200, 125.75, 0, 1, 126.18, -999
20140911, 127.09, 127.2, 126.34, 126.62, 1241800, 125.97, 0, 1, 126.53, -999
20140910, 126.13, 127.69, 126.03, 127.42, 1203000, 126.77, 0, 1, 126.45, -999
20140909, 125.77, 127.02, 125.72, 126.26, 1607800, 125.61, 0, 1, 125.69, -999
20140908, 125.26, 126.45, 125.04, 125.77, 1479400, 125.12, 0, 1, 125.19, -999
20140905, 124.73, 125.5, 123.56, 125.45, 1459800, 124.81, 0, 1, 124.77, -999
20140904, 124.95, 126.22, 124.51, 124.7, 1493000, 124.06, 0, 1, 124.505, -999
20140903, 123.55, 124.98, 123.47, 124.93, 2142800, 124.29, 0, 1, 123.92, -999
20140902, 123.35, 123.84, 122.54, 122.66, 1711300, 122.03, 0, 1, 122.69, -999
20140829, 123.05, 123.6, 122.64, 123.25, 1140600, 122.62, 0, 1, 122.835, -999
20140828, 123.7, 123.79, 122.94, 123.39, 1083900, 122.76, 0, 1, 123.23, -999
20140827, 124.6, 124.76, 123.68, 123.99, 878500, 123.35, 0, 1, 123.975, -999
20140826, 124.66, 124.89, 124.26, 124.4, 760300, 123.76, 0, 1, 124.21, -999
20140825, 124.19, 124.85, 123.63, 124.42, 1167900, 123.78, 0, 1, 123.985, -999
20140822, 123.67, 124.38, 123.12, 123.85, 1121600, 123.21, 0, 1, 123.44, -999
20140821, 123.47, 124.25, 123.13, 123.68, 1254700, 123.04, 0, 1, 123.255, -999
20140820, 121.65, 123.75, 121.49, 123.48, 1220800, 122.85, 0, 1, 122.25, -999
20140819, 121.4, 121.98, 121.3, 121.81, 1054800, 121.18, 0, 1, 121.29, -999
20140818, 120.2, 121.49, 120.17, 121.18, 1079400, 120.56, 0, 1, 120.38, -999
20140815, 119.55, 120, 118.55, 119.34, 1879600, 118.73, 0, 1, 119.14, -999
20140814, 119.35, 119.93, 119.05, 119.12, 966000, 118.51, 0, 1, 118.93, -999
20140813, 117.85, 119.3, 117.64, 119.12, 921100, 118.51, 0, 1, 118.18, -999
20140812, 117.72, 118.6, 116.86, 117.22, 936800, 116.62, 0, 1, 117.17, -999
20140811, 117.86, 118.51, 117.42, 117.82, 1139000, 117.21, 0, 1, 117.535, -999
20140808, 114.6, 117.29, 114.6, 117.16, 1873500, 116.56, 0, 1, 115.58, -999
20140807, 114.74, 116.1, 114.1, 114.39, 1566300, 113.8, 0, 1, 114.27, -999
20140806, 115.56, 115.99, 114.6, 114.75, 1826600, 114.16, 0, 1, 114.86, -999
