Ticker: GGP  Created on: 12/6/2014 5:24:42 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 27.09, 27.3, 26.97, 27.28, 4074100, 27.28, 0, 1, 27.185, -999
20141204, 27.12, 27.15, 26.91, 27.13, 3725100, 27.13, 0, 1, 27.125, -999
20141203, 27.26, 27.31, 27.01, 27.1, 3216400, 27.1, 0, 1, 27.18, -999
20141202, 26.84, 27.31, 26.68, 27.3, 5067600, 27.3, 0, 1, 27.07, -999
20141201, 26.78, 27.02, 26.68, 26.84, 2463600, 26.84, 0, 1, 26.81, -999
20141128, 26.93, 27.11, 26.67, 26.76, 2105700, 26.76, 0, 1, 26.845, -999
20141126, 26.53, 26.86, 26.52, 26.83, 2217400, 26.83, 0, 1, 26.68, -999
20141125, 26.45, 26.67, 26.38, 26.59, 4554400, 26.59, 0, 1, 26.52, -999
20141124, 26.37, 26.57, 26.3, 26.47, 2108000, 26.47, 0, 1, 26.42, -999
20141121, 26.28, 26.43, 26.1, 26.27, 6365000, 26.27, 0, 1, 26.275, -999
20141120, 26.13, 26.29, 25.95, 26.04, 5622400, 26.04, 0, 1, 26.085, -999
20141119, 26.06, 26.48, 25.91, 26.17, 5351600, 26.17, 0, 1, 26.115, -999
20141118, 25.83, 26.02, 25.73, 25.91, 2506100, 25.91, 0, 1, 25.87, -999
20141117, 25.56, 25.85, 25.51, 25.85, 2716100, 25.85, 0, 1, 25.705, -999
20141114, 25.7, 25.71, 25.5, 25.56, 3536500, 25.56, 0, 1, 25.63, -999
20141113, 25.46, 25.71, 25.41, 25.69, 2584800, 25.69, 0, 1, 25.575, -999
20141112, 25.65, 25.7, 25.36, 25.4, 2466700, 25.4, 0, 1, 25.525, -999
20141111, 25.89, 25.89, 25.57, 25.64, 2520300, 25.64, 0, 1, 25.765, -999
20141110, 25.47, 25.86, 25.47, 25.76, 3709600, 25.76, 0, 1, 25.615, -999
20141107, 25.8, 25.81, 25.48, 25.55, 5879900, 25.55, 0, 1, 25.675, -999
20141106, 26.16, 26.26, 25.68, 25.77, 5151100, 25.77, 0, 1, 25.965, -999
20141105, 26.37, 26.48, 26, 26.14, 4228500, 26.14, 0, 1, 26.255, -999
20141104, 26.39, 26.49, 26.12, 26.38, 3709200, 26.38, 0, 1, 26.385, -999
20141103, 25.91, 26.41, 25.82, 26.4, 3679600, 26.4, 0, 1, 26.155, -999
