Ticker: GHC  Created on: 12/6/2014 5:24:45 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 930, 942.37, 930, 941.1, 23900, 941.1, 0, 1, 935.55, -999
20141204, 909.86, 932.76, 909.86, 928, 40500, 928, 0, 1, 918.93, -999
20141203, 896.69, 913.9, 894.93, 907.61, 27300, 907.61, 0, 1, 902.15, -999
20141202, 882.94, 899.32, 882.94, 894.89, 11900, 894.89, 0, 1, 888.915, -999
20141201, 881.9, 891.88, 881.5, 885.62, 18600, 885.62, 0, 1, 883.76, -999
20141128, 882.13, 896.18, 882.13, 887.49, 7300, 887.49, 0, 1, 884.81, -999
20141126, 874.75, 886.39, 872.55, 886.38, 13300, 886.38, 0, 1, 880.565, -999
20141125, 868.29, 872.49, 867.82, 871.99, 8900, 871.99, 0, 1, 870.14, -999
20141124, 859.47, 872.74, 854.01, 872.74, 18700, 872.74, 0, 1, 866.105, -999
20141121, 864.12, 866.39, 859, 861.4, 18200, 861.4, 0, 1, 862.76, -999
20141120, 868, 870.09, 859, 864.47, 12000, 864.47, 0, 1, 866.235, -999
20141119, 866.3, 879.78, 861, 868, 24400, 868, 0, 1, 867.15, -999
20141118, 862.88, 872.91, 859.26, 865, 37800, 865, 0, 1, 863.94, -999
20141117, 871.96, 879.66, 863.31, 865.01, 36300, 865.01, 0, 1, 868.485, -999
20141114, 825, 898.46, 825, 878.87, 67200, 878.87, 0, 1, 851.935, -999
20141113, 790.5, 793.29, 790.5, 793.29, 14500, 793.29, 0, 1, 791.895, -999
20141112, 782.13, 785.38, 778.92, 784.04, 12000, 784.04, 0, 1, 783.085, -999
20141111, 784.24, 784.24, 777.5, 782, 9500, 782, 0, 1, 783.12, -999
20141110, 772.61, 780.96, 772.09, 779.95, 13500, 779.95, 0, 1, 776.28, -999
20141107, 776.16, 778, 775.43, 777.66, 17300, 777.66, 0, 1, 776.91, -999
20141106, 780, 781.81, 776.06, 779, 16600, 779, 0, 1, 779.5, -999
20141105, 787, 787, 779.08, 780.25, 36000, 780.25, 0, 1, 783.625, -999
20141104, 787.39, 790.22, 779.97, 784.53, 19000, 784.53, 0, 1, 785.96, -999
20141103, 782.57, 789.8, 782.57, 787.75, 26300, 787.75, 0, 1, 785.16, -999
20141031, 750, 786.9, 750, 783.6, 26500, 783.6, 0, 1, 766.8, -999
20141030, 768.5, 773.47, 767.54, 770.8, 14400, 770.8, 0, 1, 769.65, -999
20141029, 760.86, 772.23, 759.04, 765.92, 14600, 765.92, 0, 1, 763.39, -999
20141028, 755, 764, 752, 764, 16300, 764, 0, 1, 759.5, -999
20141027, 736.87, 754.83, 730.58, 753, 23700, 753, 0, 1, 744.935, -999
20141024, 735.25, 740, 735.25, 738.15, 10100, 738.15, 0, 1, 736.7, -999
20141023, 737.5, 741, 734.37, 737.94, 12400, 737.94, 0, 1, 737.72, -999
20141022, 733.99, 738.05, 732.49, 737.52, 31800, 737.52, 0, 1, 735.755, -999
20141021, 717.96, 737.24, 702.02, 733.6, 22800, 733.6, 0, 1, 725.78, -999
20141020, 706.47, 718.69, 706.47, 717.91, 11500, 717.91, 0, 1, 712.19, -999
20141017, 700.5, 709.04, 699.5, 704.73, 26000, 704.73, 0, 1, 702.615, -999
20141016, 682, 692.93, 675.96, 689, 21700, 689, 0, 1, 685.5, -999
20141015, 675.3, 692.92, 671.16, 690, 41500, 690, 2.55, 1, 682.65, -999
20141014, 681.65, 690.62, 681.65, 688.13, 16500, 685.58, 0, 1, 683.615, -999
20141013, 688.5, 689.8, 680.22, 683.9, 35800, 681.37, 0, 1, 684.935, -999
20141010, 700, 700, 688.24, 691.69, 33600, 689.13, 0, 1, 694.565, -999
20141009, 703, 704.05, 695.71, 699, 38300, 696.41, 0, 1, 699.705, -999
20141008, 698.24, 712.65, 698.24, 707.75, 20400, 705.13, 0, 1, 701.685, -999
20141007, 698.92, 702.35, 696, 700.69, 29500, 698.09, 0, 1, 698.505, -999
20141006, 701, 704.26, 700.49, 700.49, 11900, 697.89, 0, 1, 699.445, -999
20141003, 700, 707.04, 700, 702.12, 26300, 699.52, 0, 1, 699.76, -999
20141002, 696.07, 708.67, 696.07, 700.23, 23500, 697.64, 0, 1, 696.855, -999
20141001, 694.36, 698.91, 692.84, 695.19, 58400, 692.61, 0, 1, 693.485, -999
20140930, 698, 702.28, 697.23, 699.59, 25400, 697, 0, 1, 697.5, -999
20140929, 696.53, 703.5, 696.53, 699.59, 23600, 697, 0, 1, 696.765, -999
20140926, 699.12, 702.29, 697.79, 700, 32800, 697.41, 0, 1, 698.265, -999
20140925, 701.75, 703.76, 697.92, 700.32, 52600, 697.72, 0, 1, 699.735, -999
20140924, 705.5, 706.94, 703.75, 705.01, 32800, 702.4, 0, 1, 703.95, -999
20140923, 711.04, 717.91, 706.94, 706.94, 60100, 704.32, 0, 1, 707.68, -999
20140922, 731.5, 735.07, 712.3, 712.75, 84600, 710.11, 0, 1, 720.805, -999
20140919, 738.5, 743.42, 729.84, 729.84, 731300, 727.14, 0, 1, 732.82, -999
20140918, 733.34, 741.24, 730.82, 733.01, 20200, 730.29, 0, 1, 731.815, -999
20140917, 739, 739, 731.84, 733.34, 21700, 730.62, 0, 1, 734.81, -999
20140916, 727.68, 735.11, 724.81, 731.14, 20300, 728.43, 0, 1, 728.055, -999
20140915, 708, 732, 708, 726.24, 73400, 723.55, 0, 1, 715.775, -999
