Ticker: GIS  Created on: 12/6/2014 5:24:42 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 53, 53.23, 52.87, 53.12, 2578800, 53.12, 0, 1, 53.06, -999
20141204, 52.95, 53.19, 52.74, 53, 2933100, 53, 0, 1, 52.975, -999
20141203, 52.9, 53.45, 52.66, 53.04, 4903100, 53.04, 0, 1, 52.97, -999
20141202, 52.79, 53.13, 52.67, 53.05, 3090600, 53.05, 0, 1, 52.92, -999
20141201, 52.53, 52.76, 52.22, 52.63, 2173000, 52.63, 0, 1, 52.58, -999
20141128, 52.13, 52.86, 52, 52.75, 1664500, 52.75, 0, 1, 52.44, -999
20141126, 51.72, 51.89, 51.64, 51.85, 1355500, 51.85, 0, 1, 51.785, -999
20141125, 51.5, 51.85, 51.39, 51.65, 3555200, 51.65, 0, 1, 51.575, -999
20141124, 51.79, 51.99, 51.37, 51.5, 2213600, 51.5, 0, 1, 51.645, -999
20141121, 52.23, 52.23, 51.6, 51.85, 2508700, 51.85, 0, 1, 52.04, -999
20141120, 51.82, 51.85, 51.55, 51.64, 1540100, 51.64, 0, 1, 51.73, -999
20141119, 51.4, 51.96, 51.37, 51.92, 1920600, 51.92, 0, 1, 51.66, -999
20141118, 51.42, 51.72, 51.26, 51.59, 2215300, 51.59, 0, 1, 51.505, -999
20141117, 50.82, 51.44, 50.8, 51.35, 2196300, 51.35, 0, 1, 51.085, -999
20141114, 50.99, 51.04, 50.64, 50.82, 2814100, 50.82, 0, 1, 50.905, -999
20141113, 51.11, 51.17, 50.61, 51, 3048200, 51, 0, 1, 51.055, -999
20141112, 50.6, 51.08, 50.53, 50.96, 2615800, 50.96, 0, 1, 50.78, -999
20141111, 50.83, 51.15, 50.67, 50.97, 2570600, 50.97, 0, 1, 50.9, -999
20141110, 51.3, 51.3, 50.43, 50.87, 4395400, 50.87, 0, 1, 51.085, -999
20141107, 51.46, 52.13, 51.1, 51.36, 6440300, 51.36, 0, 1, 51.41, -999
20141106, 53.21, 53.32, 52.77, 53.27, 1962600, 53.27, 0, 1, 53.24, -999
20141105, 53.13, 53.44, 52.92, 53.17, 2398200, 53.17, 0, 1, 53.15, -999
20141104, 52.72, 52.96, 52.59, 52.86, 3903800, 52.86, 0, 1, 52.79, -999
20141103, 52, 52.73, 51.89, 52.66, 3457700, 52.66, 0, 1, 52.33, -999
