Ticker: GMCR  Created on: 12/6/2014 5:25:04 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 134.07, 136.45, 133.91, 134.21, 1254700, 134.21, 0, 1, 134.14, -999
20141204, 136.17, 136.25, 133.65, 134.38, 1682000, 134.38, 0, 1, 135.275, -999
20141203, 137.73, 138.24, 135.16, 135.91, 1450200, 135.91, 0, 1, 136.82, -999
20141202, 139.21, 140.25, 135.57, 137.84, 1955700, 137.84, 0, 1, 138.525, -999
20141201, 141.39, 142.75, 138.41, 139.01, 1451100, 139.01, 0, 1, 140.2, -999
20141128, 142.76, 143.5, 141.51, 142.14, 740800, 142.14, 0, 1, 142.45, -999
20141126, 140.87, 144.25, 140.66, 142.05, 1333400, 142.05, 0, 1, 141.46, -999
20141125, 138.19, 141.92, 138.16, 139.93, 2149900, 139.93, 0, 1, 139.06, -999
20141124, 140.28, 140.58, 137.52, 138.39, 2155300, 138.39, 0, 1, 139.335, -999
20141121, 144.47, 144.47, 137.53, 140.37, 4382400, 140.37, 0, 1, 142.42, -999
20141120, 150.4, 150.57, 139.5, 142.5, 10185300, 142.5, 0, 1, 146.45, -999
20141119, 157.21, 157.74, 153.5, 153.95, 2648000, 153.95, 0, 1, 155.58, -999
20141118, 154.82, 158.87, 154.74, 157.1, 1302900, 157.1, 0, 1, 155.96, -999
20141117, 154.2, 155.23, 152.89, 154.5, 1232600, 154.5, 0, 1, 154.35, -999
20141114, 155, 156.92, 153.92, 154.27, 1639600, 154.27, 0, 1, 154.635, -999
20141113, 153.44, 154.24, 151.67, 153.91, 1439700, 153.91, 0, 1, 153.675, -999
20141112, 153.8, 154.94, 151.27, 152.73, 1283300, 152.73, 0, 1, 153.265, -999
20141111, 155.58, 156.24, 153.51, 154.69, 806600, 154.69, 0, 1, 155.135, -999
20141110, 153.48, 156.51, 152.22, 155.37, 1263600, 155.37, 0, 1, 154.425, -999
20141107, 153.55, 153.85, 150.72, 152.9, 972700, 152.9, 0, 1, 153.225, -999
20141106, 150.25, 153.61, 150.22, 153.06, 1198100, 153.06, 0, 1, 151.655, -999
20141105, 153.73, 153.9, 149.75, 150.46, 1860000, 150.46, 0, 1, 152.095, -999
20141104, 151.86, 152.94, 151, 152.11, 1352300, 152.11, 0, 1, 151.985, -999
20141103, 152.15, 153.3, 151.33, 151.9, 1532400, 151.9, 0, 1, 152.025, -999
20141031, 152.73, 155.09, 151.14, 151.75, 2166600, 151.75, 0, 1, 152.24, -999
20141030, 147.18, 150.62, 146.44, 149.98, 1061700, 149.98, 0, 1, 148.58, -999
20141029, 146.68, 147.9, 146.13, 147.87, 889600, 147.87, 0, 1, 147.275, -999
20141028, 143.51, 148.11, 143.31, 146.66, 1924800, 146.66, 0, 1, 145.085, -999
20141027, 145.14, 145.73, 142.55, 143.28, 1142300, 143.28, 0, 1, 144.21, -999
20141024, 143.98, 145.54, 143.43, 145.24, 1367100, 145.24, 0, 1, 144.61, -999
20141023, 146.01, 146.64, 142.94, 144, 1409800, 144, 0, 1, 145.005, -999
20141022, 145.29, 147.85, 144.02, 145.12, 1589500, 145.12, 0, 1, 145.205, -999
20141021, 142.99, 145.11, 141.88, 144.64, 1340100, 144.64, 0, 1, 143.815, -999
20141020, 137.62, 143.9, 136, 143.03, 1872100, 143.03, 0, 1, 140.325, -999
20141017, 138.82, 139.43, 135.36, 137.71, 1530900, 137.71, 0, 1, 138.265, -999
20141016, 137.14, 139.48, 135.9, 137.98, 1771400, 137.98, 0, 1, 137.56, -999
20141015, 137.02, 140.71, 136.75, 139.61, 1658400, 139.61, 0, 1, 138.315, -999
20141014, 139.62, 141.23, 137.6, 138.65, 1679200, 138.65, 0, 1, 139.135, -999
20141013, 140.1, 141.7, 137.85, 138.42, 1355500, 138.42, 0, 1, 139.26, -999
20141010, 143.25, 143.79, 138.4, 140.16, 1730900, 140.16, 0, 1, 141.705, -999
20141009, 143.46, 145.23, 143, 143.17, 2194300, 143.17, 0, 1, 143.315, -999
20141008, 139.37, 143.66, 138.32, 143.58, 2304000, 143.58, 0, 1, 141.475, -999
20141007, 136.62, 140.52, 135.62, 139.75, 4632400, 139.75, 0, 1, 138.185, -999
20141006, 133.08, 133.53, 131.57, 133.25, 1065600, 133.25, 0, 1, 133.165, -999
20141003, 131.09, 133.28, 130.49, 133.02, 942600, 133.02, 0, 1, 132.055, -999
20141002, 128.01, 130.28, 127.84, 130.05, 1116200, 130.05, 0, 1, 129.03, -999
20141001, 130.12, 130.34, 127.51, 128.3, 1515100, 128.3, 0.25, 1, 129.21, -999
20140930, 130.68, 132.66, 129.42, 130.13, 1178500, 129.88, 0, 1, 130.28, -999
20140929, 129.76, 131, 128.29, 130.4, 1770100, 130.15, 0, 1, 129.955, -999
20140926, 128.61, 130.87, 128.61, 130.63, 710100, 130.38, 0, 1, 129.495, -999
20140925, 132.08, 132.47, 127.61, 128.92, 1826900, 128.67, 0, 1, 130.375, -999
20140924, 132.1, 132.54, 131.32, 132.21, 887100, 131.96, 0, 1, 132.03, -999
20140923, 131.97, 132.99, 131.2, 131.64, 923400, 131.39, 0, 1, 131.68, -999
20140922, 134.8, 135, 131.95, 132.19, 966400, 131.94, 0, 1, 133.37, -999
20140919, 138.23, 138.84, 134.8, 134.96, 3418700, 134.7, 0, 1, 136.465, -999
20140918, 136.13, 137.57, 134.7, 137.48, 1125100, 137.22, 0, 1, 136.675, -999
20140917, 134.25, 135.82, 132.42, 135.39, 1368700, 135.13, 0, 1, 134.69, -999
20140916, 131.35, 134.78, 131.15, 134.25, 1569100, 133.99, 0, 1, 132.67, -999
20140915, 131.58, 131.63, 130.19, 131.42, 1113400, 131.17, 0, 1, 131.375, -999
20140912, 131.39, 132.98, 130.65, 131.11, 1273500, 130.86, 0, 1, 131.125, -999
20140911, 130.51, 131.97, 130, 131.85, 1054300, 131.6, 0, 1, 131.055, -999
20140910, 127.45, 131.25, 127.34, 131.19, 1141300, 130.94, 0, 1, 129.195, -999
20140909, 129.11, 129.99, 126.89, 127.27, 1238900, 127.03, 0, 1, 128.07, -999
20140908, 131.05, 131.83, 128.61, 129.34, 1473900, 129.09, 0, 1, 130.07, -999
20140905, 132.18, 132.5, 131.12, 131.5, 1174000, 131.25, 0, 1, 131.715, -999
20140904, 134, 134.98, 131.15, 131.64, 1025000, 131.39, 0, 1, 132.695, -999
20140903, 134.75, 135.5, 132.93, 133.96, 1046600, 133.7, 0, 1, 134.225, -999
20140902, 133.27, 134.98, 132.51, 133.3, 779000, 133.04, 0, 1, 133.155, -999
20140829, 134.85, 135.7, 133.27, 133.32, 886400, 133.06, 0, 1, 133.955, -999
20140828, 134.43, 135.14, 133.39, 134.45, 847600, 134.19, 0, 1, 134.31, -999
20140827, 136, 136.55, 134.36, 134.73, 1720500, 134.47, 0, 1, 135.235, -999
20140826, 134.23, 136.91, 133.26, 136.55, 1587400, 136.29, 0, 1, 135.26, -999
20140825, 132.31, 135.09, 131.5, 134.2, 2663900, 133.94, 0, 1, 133.125, -999
20140822, 125.65, 135.99, 125.4, 133.36, 10771700, 133.1, 0, 1, 129.375, -999
20140821, 117.56, 118.84, 117.37, 117.75, 1264200, 117.52, 0, 1, 117.54, -999
20140820, 117.62, 118.6, 116.99, 117.58, 973400, 117.35, 0, 1, 117.485, -999
20140819, 115.1, 117.87, 115.09, 117.43, 1382700, 117.2, 0, 1, 116.15, -999
20140818, 115.3, 115.9, 114.73, 115.09, 1013000, 114.87, 0, 1, 115.085, -999
20140815, 115.06, 115.17, 113.38, 115, 1521800, 114.78, 0, 1, 114.92, -999
20140814, 114.63, 117.16, 113.83, 114.3, 1886600, 114.08, 0, 1, 114.355, -999
20140813, 114.1, 115.18, 113.77, 114.05, 1275100, 113.83, 0, 1, 113.965, -999
20140812, 115.03, 115.86, 113.38, 114.07, 1985500, 113.85, 0, 1, 114.44, -999
20140811, 113.41, 116.31, 112.77, 115.43, 1768500, 115.21, 0, 1, 114.31, -999
20140808, 115.79, 116.14, 113.15, 113.2, 2875200, 112.98, 0, 1, 114.385, -999
20140807, 118.21, 119.94, 116.03, 116.39, 4658300, 116.17, 0, 1, 117.19, -999
