Ticker: GME  Created on: 12/6/2014 5:24:39 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 37.03, 37.48, 36.58, 37.42, 2813100, 37.42, 0, 1, 37.225, -999
20141204, 36.62, 37.14, 36.14, 37.07, 3148900, 37.07, 0, 1, 36.845, -999
20141203, 35.46, 36.71, 35.15, 36.61, 4531800, 36.61, 0, 1, 36.035, -999
20141202, 36, 36.75, 35.3, 35.54, 3671600, 35.54, 0, 1, 35.77, -999
20141201, 37.62, 37.67, 35.63, 35.83, 6784300, 35.83, 0, 1, 36.725, -999
20141128, 37.21, 37.98, 37.21, 37.81, 1920400, 37.81, 0, 1, 37.51, -999
20141126, 37.51, 37.71, 37.07, 37.2, 2570000, 37.2, 0, 1, 37.355, -999
20141125, 38.11, 38.27, 37.05, 37.4, 5171800, 37.4, 0, 1, 37.755, -999
20141124, 37.73, 38.23, 36.88, 37.76, 7868000, 37.76, 0, 1, 37.745, -999
20141121, 39.41, 39.95, 37.11, 37.86, 18759800, 37.86, 0, 1, 38.635, -999
20141120, 44.17, 44.7, 43.27, 43.87, 5961500, 43.54, 0, 1, 43.855, -999
20141119, 44.38, 44.46, 43.33, 43.61, 3780600, 43.28, 0, 1, 43.83, -999
20141118, 44.1, 44.4, 43.54, 44.02, 2006100, 43.69, 0, 1, 43.895, -999
20141117, 44.36, 44.7, 43.8, 44.1, 2020700, 43.77, 0, 1, 44.065, -999
20141114, 43.55, 44.49, 42.9, 44.4, 2790200, 44.07, 0, 1, 43.81, -999
20141113, 44.15, 44.7, 43.9, 44.46, 3045100, 44.13, 0, 1, 44.14, -999
20141112, 42.51, 43.69, 42.51, 43.41, 2278400, 43.08, 0, 1, 42.795, -999
20141111, 42.87, 43.21, 42.36, 42.5, 1797500, 42.18, 0, 1, 42.525, -999
20141110, 43.68, 44.01, 42.38, 42.74, 3847900, 42.42, 0, 1, 43.05, -999
20141107, 44.67, 44.78, 43.64, 43.69, 2354100, 43.36, 0, 1, 44.015, -999
20141106, 43.05, 44.84, 43.05, 44.73, 3184900, 44.39, 0, 1, 43.72, -999
20141105, 43.52, 43.85, 42.71, 43.04, 1385000, 42.72, 0, 1, 43.12, -999
20141104, 42.53, 42.81, 42.12, 42.73, 1477400, 42.41, 0, 1, 42.47, -999
20141103, 42.76, 43.14, 42.38, 42.71, 1508400, 42.39, 0, 1, 42.575, -999
20141031, 42.54, 43.89, 42.53, 42.76, 2996300, 42.44, 0, 1, 42.49, -999
20141030, 41.38, 42.35, 41.38, 42.08, 1483700, 41.76, 0, 1, 41.57, -999
20141029, 41.03, 41.83, 40.82, 41.53, 1518100, 41.22, 0, 1, 41.125, -999
20141028, 41.19, 41.29, 39.31, 41.03, 4116200, 40.72, 0, 1, 40.955, -999
20141027, 42, 42.45, 41.57, 41.81, 2074300, 41.5, 0, 1, 41.75, -999
20141024, 41.32, 42.39, 41.06, 42.03, 1898200, 41.71, 0, 1, 41.515, -999
20141023, 40.85, 41.65, 40.74, 41.26, 1419700, 40.95, 0, 1, 40.9, -999
20141022, 40.81, 41.17, 40.56, 40.6, 1655300, 40.29, 0, 1, 40.55, -999
20141021, 40.84, 41.18, 40.52, 40.71, 2467100, 40.4, 0, 1, 40.62, -999
20141020, 39.7, 41.01, 39.52, 40.66, 3004500, 40.35, 0, 1, 40.025, -999
20141017, 39.65, 40.36, 39.4, 39.86, 4078600, 39.56, 0, 1, 39.605, -999
20141016, 37.78, 40.16, 37.54, 39.23, 3861900, 38.93, 0, 1, 38.355, -999
20141015, 36.46, 38.81, 35.82, 38.46, 3705700, 38.17, 0, 1, 37.315, -999
20141014, 37.29, 37.55, 36.87, 37.2, 3018800, 36.92, 0, 1, 37.105, -999
20141013, 38.13, 38.39, 37.1, 37.2, 2457800, 36.92, 0, 1, 37.525, -999
20141010, 38.21, 39.47, 38.19, 38.31, 3107800, 38.02, 0, 1, 38.115, -999
20141009, 39.56, 39.86, 38.1, 38.3, 2375600, 38.01, 0, 1, 38.785, -999
20141008, 39.15, 39.73, 38.6, 39.64, 2645400, 39.34, 0, 1, 39.245, -999
20141007, 39.44, 40.03, 39, 39.01, 2526600, 38.72, 0, 1, 39.08, -999
20141006, 40.5, 40.59, 39.55, 39.56, 2483600, 39.26, 0, 1, 39.88, -999
20141003, 41.13, 41.49, 40.44, 40.46, 1854100, 40.16, 0, 1, 40.645, -999
20141002, 40.32, 41.12, 39.61, 40.88, 2509500, 40.57, 0, 1, 40.445, -999
20141001, 41.12, 41.14, 40.28, 40.38, 2326400, 40.08, 0, 1, 40.6, -999
