Ticker: GM  Created on: 12/6/2014 5:24:42 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 33.23, 34.09, 33.17, 33.93, 17540200, 33.93, 0, 1, 33.58, -999
20141204, 33.66, 33.67, 33.04, 33.09, 11632800, 33.09, 0, 1, 33.375, -999
20141203, 33.37, 33.78, 33.35, 33.64, 11619200, 33.64, 0, 1, 33.505, -999
20141202, 33.05, 33.62, 32.99, 33.26, 14759100, 33.26, 0, 1, 33.155, -999
20141201, 33.31, 33.47, 32.86, 32.94, 14205100, 32.94, 0, 1, 33.125, -999
20141128, 32.4, 33.54, 32.23, 33.43, 14039800, 33.43, 0, 1, 32.915, -999
20141126, 32.27, 32.3, 31.95, 32.07, 7414500, 32.07, 0, 1, 32.17, -999
20141125, 32.25, 32.38, 31.97, 32.23, 9269300, 32.23, 0, 1, 32.24, -999
20141124, 32.25, 32.35, 31.77, 32.19, 13311000, 32.19, 0, 1, 32.22, -999
20141121, 32.54, 32.55, 31.97, 32.13, 8566700, 32.13, 0, 1, 32.335, -999
20141120, 31.96, 32.26, 31.8, 32.13, 8052300, 32.13, 0, 1, 32.045, -999
20141119, 32.21, 32.31, 31.94, 32.15, 8290100, 32.15, 0, 1, 32.18, -999
20141118, 32.41, 32.49, 31.87, 32.27, 9766000, 32.27, 0, 1, 32.34, -999
20141117, 32, 32.49, 31.9, 32.31, 11898000, 32.31, 0, 1, 32.155, -999
20141114, 31.65, 32.01, 31.48, 31.79, 8495800, 31.79, 0, 1, 31.72, -999
20141113, 31.51, 31.9, 31.47, 31.65, 8353600, 31.65, 0, 1, 31.58, -999
20141112, 31.3, 31.55, 31.11, 31.42, 7455900, 31.42, 0, 1, 31.36, -999
20141111, 31.04, 31.4, 31, 31.35, 7492100, 31.35, 0, 1, 31.195, -999
20141110, 31.33, 31.5, 30.82, 31.12, 10234800, 31.12, 0, 1, 31.225, -999
20141107, 31.31, 31.74, 31.24, 31.59, 10070900, 31.59, 0, 1, 31.45, -999
20141106, 30.7, 31.46, 30.65, 31.37, 12729500, 31.37, 0, 1, 31.035, -999
20141105, 31.15, 31.18, 30.56, 30.73, 11109600, 30.73, 0, 1, 30.94, -999
20141104, 31.04, 31.31, 30.68, 30.82, 12058300, 30.82, 0, 1, 30.93, -999
20141103, 31.35, 31.46, 30.79, 31.18, 9931100, 31.18, 0, 1, 31.265, -999
20141031, 31.15, 31.62, 30.95, 31.4, 15539000, 31.4, 0, 1, 31.275, -999
20141030, 30.57, 31.03, 30.45, 30.78, 10073900, 30.78, 0, 1, 30.675, -999
20141029, 31.2, 31.33, 30.35, 30.72, 11638300, 30.72, 0, 1, 30.96, -999
20141028, 30.39, 31.22, 30.14, 31.17, 26034400, 31.17, 0, 1, 30.78, -999
20141027, 30.15, 30.49, 29.82, 30.08, 12790200, 30.08, 0, 1, 30.115, -999
20141024, 31.04, 31.28, 29.98, 30.04, 30313800, 30.04, 0, 1, 30.54, -999
