Ticker: GOOGL  Created on: 12/6/2014 5:24:44 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 536.7, 538.2, 527.26, 528.08, 3062400, 528.08, 0, 1, 532.39, -999
20141204, 537.64, 542.69, 534.89, 542.58, 1629900, 542.58, 0, 1, 540.11, -999
20141203, 537.5, 541.41, 535.21, 536.97, 1623800, 536.97, 0, 1, 537.235, -999
20141202, 539.45, 541.85, 534.66, 538.59, 2073600, 538.59, 0, 1, 539.02, -999
20141201, 545.09, 548.79, 538.62, 539.65, 1982600, 539.65, 0, 1, 542.37, -999
20141128, 547, 549.6, 544.48, 549.08, 1210100, 549.08, 0, 1, 548.04, -999
20141126, 549.23, 549.88, 545.23, 547.73, 1480200, 547.73, 0, 1, 548.48, -999
20141125, 547.21, 552.5, 546.91, 549.23, 1903600, 549.23, 0, 1, 548.22, -999
20141124, 546.57, 551.19, 544.15, 547.48, 1653800, 547.48, 0, 1, 547.025, -999
20141121, 551.04, 551.04, 545, 545.89, 2506000, 545.89, 0, 1, 548.465, -999
20141120, 542.09, 545.38, 541.5, 543.76, 1750400, 543.76, 0, 1, 542.925, -999
20141119, 544.75, 548.22, 539.19, 547.2, 1517100, 547.2, 0, 1, 545.975, -999
20141118, 547.93, 552.79, 543.8, 544.51, 1822000, 544.51, 0, 1, 546.22, -999
20141117, 555.19, 555.19, 544.44, 546.64, 1680500, 546.64, 0, 1, 550.915, -999
20141114, 558, 558, 552.51, 555.19, 1424900, 555.19, 0, 1, 556.595, -999
20141113, 560.81, 560.82, 554.09, 556.44, 1510200, 556.44, 0, 1, 558.625, -999
20141112, 561.15, 561.25, 555.5, 558.25, 1094000, 558.25, 0, 1, 559.7, -999
20141111, 558.52, 562.5, 556.24, 561.29, 1098300, 561.29, 0, 1, 559.905, -999
20141110, 552.4, 560.63, 551.62, 558.23, 1298900, 558.23, 0, 1, 555.315, -999
20141107, 555.6, 555.6, 549.35, 551.82, 1589100, 551.82, 0, 1, 553.71, -999
20141106, 555.5, 556.8, 550.58, 551.69, 1650700, 551.69, 0, 1, 553.595, -999
