Ticker: GOOG  Created on: 12/6/2014 5:24:44 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 531, 532.89, 524.28, 525.26, 2552700, 525.26, 0, 1, 528.13, -999
20141204, 531.16, 537.34, 528.59, 537.31, 1388300, 537.31, 0, 1, 534.235, -999
20141203, 531.44, 536, 529.26, 531.32, 1274500, 531.32, 0, 1, 531.38, -999
20141202, 533.51, 535.5, 529.8, 533.75, 1521600, 533.75, 0, 1, 533.63, -999
20141201, 538.9, 541.41, 531.86, 533.8, 2100000, 533.8, 0, 1, 536.35, -999
20141128, 540.62, 542, 536.6, 541.83, 1145200, 541.83, 0, 1, 541.225, -999
20141126, 540.88, 541.55, 537.04, 540.37, 1518800, 540.37, 0, 1, 540.625, -999
20141125, 539, 543.98, 538.6, 541.08, 1784200, 541.08, 0, 1, 540.04, -999
20141124, 537.65, 542.7, 535.62, 539.27, 1701300, 539.27, 0, 1, 538.46, -999
20141121, 541.61, 542.14, 536.56, 537.5, 2217600, 537.5, 0, 1, 539.555, -999
20141120, 531.25, 535.11, 531.08, 534.83, 1557700, 534.83, 0, 1, 533.04, -999
20141119, 535, 538.24, 530.08, 536.99, 1387800, 536.99, 0, 1, 535.995, -999
20141118, 537.5, 541.94, 534.17, 535.03, 1957300, 535.03, 0, 1, 536.265, -999
20141117, 543.58, 543.79, 534.06, 536.51, 1721100, 536.51, 0, 1, 540.045, -999
20141114, 546.68, 546.68, 542.15, 544.4, 1285700, 544.4, 0, 1, 545.54, -999
20141113, 549.8, 549.8, 543.48, 545.38, 1335700, 545.38, 0, 1, 547.59, -999
20141112, 550.39, 550.46, 545.17, 547.31, 1126300, 547.31, 0, 1, 548.85, -999
20141111, 548.49, 551.94, 546.3, 550.29, 962900, 550.29, 0, 1, 549.39, -999
20141110, 541.46, 549.59, 541.02, 547.49, 1131500, 547.49, 0, 1, 544.475, -999
20141107, 546.21, 546.21, 538.67, 541.01, 1629300, 541.01, 0, 1, 543.61, -999
20141106, 545.5, 546.89, 540.97, 542.04, 1329600, 542.04, 0, 1, 543.77, -999
20141105, 556.8, 556.8, 544.05, 545.92, 2026700, 545.92, 0, 1, 551.36, -999
20141104, 553, 555.5, 549.3, 554.11, 1240800, 554.11, 0, 1, 553.555, -999
20141103, 555.5, 557.9, 553.23, 555.22, 1378500, 555.22, 0, 1, 555.36, -999
20141031, 559.35, 559.57, 554.75, 559.08, 2029500, 559.08, 0, 1, 559.215, -999
20141030, 548.95, 552.8, 543.51, 550.31, 1451500, 550.31, 0, 1, 549.63, -999
20141029, 550, 554.19, 546.98, 549.33, 1765700, 549.33, 0, 1, 549.665, -999
20141028, 543, 548.98, 541.62, 548.9, 1267500, 548.9, 0, 1, 545.95, -999
20141027, 537.03, 544.41, 537.03, 540.77, 1182100, 540.77, 0, 1, 538.9, -999
20141024, 544.36, 544.88, 535.79, 539.78, 1967700, 539.78, 0, 1, 542.07, -999
20141023, 539.32, 547.22, 535.85, 543.98, 2342400, 543.98, 0, 1, 541.65, -999
20141022, 529.89, 539.8, 528.8, 532.71, 2911300, 532.71, 0, 1, 531.3, -999
20141021, 525.19, 526.79, 519.11, 526.54, 2329900, 526.54, 0, 1, 525.865, -999
20141020, 509.45, 521.76, 508.1, 520.84, 2600400, 520.84, 0, 1, 515.145, -999
20141017, 527.25, 530.98, 508.53, 511.17, 5524200, 511.17, 0, 1, 519.21, -999
20141016, 519, 529.43, 515, 524.51, 3698400, 524.51, 0, 1, 521.755, -999
20141015, 531.01, 532.8, 518.3, 530.03, 3709200, 530.03, 0, 1, 530.52, -999
20141014, 538.9, 547.19, 533.17, 537.94, 2216500, 537.94, 0, 1, 538.42, -999
20141013, 544.99, 549.5, 533.1, 533.21, 2574600, 533.21, 0, 1, 539.1, -999
20141010, 557.72, 565.13, 544.05, 544.49, 3073500, 544.49, 0, 1, 551.105, -999
20141009, 571.18, 571.49, 559.06, 560.88, 2517900, 560.88, 0, 1, 566.03, -999
20141008, 565.57, 573.88, 557.49, 572.5, 1985400, 572.5, 0, 1, 569.035, -999
20141007, 574.4, 575.27, 563.74, 563.74, 1906100, 563.74, 0, 1, 569.07, -999
20141006, 578.8, 581, 574.44, 577.35, 1211300, 577.35, 0, 1, 578.075, -999
20141003, 573.05, 577.22, 572.5, 575.28, 1138600, 575.28, 0, 1, 574.165, -999
20141002, 567.31, 571.91, 563.32, 570.08, 1175200, 570.08, 0, 1, 568.695, -999
20141001, 576.01, 577.58, 567.01, 568.27, 1441500, 568.27, 0, 1, 572.14, -999
20140930, 576.93, 579.85, 572.85, 577.36, 1617300, 577.36, 0, 1, 577.145, -999
20140929, 571.75, 578.19, 571.17, 576.36, 1278900, 576.36, 0, 1, 574.055, -999
20140926, 576.06, 579.25, 574.66, 577.1, 1439700, 577.1, 0, 1, 576.58, -999
20140925, 587.55, 587.98, 574.18, 575.06, 1920700, 575.06, 0, 1, 581.305, -999
20140924, 581.46, 589.63, 580.52, 587.99, 1723400, 587.99, 0, 1, 584.725, -999
20140923, 586.85, 586.85, 581, 581.13, 1467400, 581.13, 0, 1, 583.99, -999
20140922, 593.82, 593.95, 583.46, 587.37, 1684900, 587.37, 0, 1, 590.595, -999
